layer_names,pr
conv1,0.0
layer1.0.conv1_1x1,0.6052246
layer1.0.conv2_1x1,0.6816406
layer1.0.conv3_3x3,0.8120931
layer1.0.conv4_1x1,0.54956055
layer1.0.conv5_1x1,0.72766113
layer1.0.shortcut.0,0.50323486
layer2.0.conv1_1x1,0.59698486
layer2.0.conv2_1x1,0.51257324
layer2.0.conv3_3x3,0.81952584
layer2.0.conv4_1x1,0.6668091
layer2.0.conv5_1x1,0.9601288
layer2.0.shortcut.0,0.9375992
layer3.0.conv1_1x1,0.9798126
layer3.0.conv2_1x1,0.9668884
layer3.0.conv3_3x3,0.9941101
layer3.0.conv4_1x1,0.9678955
layer3.0.conv5_1x1,0.99897003
layer3.0.shortcut.0,0.99954414
layer3.1.conv1_1x1,1.0
layer3.1.conv2_1x1,1.0
layer3.1.conv3_3x3,1.0
layer3.1.conv4_1x1,1.0
layer3.1.conv5_1x1,1.0
layer4.0.conv1_1x1,1.0
layer4.0.conv2_1x1,1.0
layer4.0.conv3_3x3,1.0
layer4.0.conv4_1x1,1.0
layer4.0.conv5_1x1,1.0
layer4.0.shortcut.0,0.9999833
linear,0.0
