layer_names,pr
conv1,0.0
layer1.0.conv1_1x1,0.6669922
layer1.0.conv2_1x1,0.6699219
layer1.0.conv3_3x3,0.7138672
layer1.0.conv4_1x1,0.42285156
layer1.0.conv5_1x1,0.47131348
layer1.0.shortcut.0,0.57214355
layer2.0.conv1_1x1,0.4930725
layer2.0.conv2_1x1,0.44415283
layer2.0.conv3_3x3,0.5254991
layer2.0.conv4_1x1,0.29968262
layer2.0.conv5_1x1,0.5246124
layer2.0.shortcut.0,0.58678436
layer3.0.conv1_1x1,0.60570526
layer3.0.conv2_1x1,0.50035095
layer3.0.conv3_3x3,0.57812667
layer3.0.conv4_1x1,0.28901672
layer3.0.conv5_1x1,0.5119934
layer3.0.shortcut.0,0.6958351
layer3.1.conv1_1x1,0.47257996
layer3.1.conv2_1x1,0.20436096
layer3.1.conv3_3x3,0.27264065
layer3.1.conv4_1x1,0.16067505
layer3.1.conv5_1x1,0.4471016
layer4.0.conv1_1x1,0.84692764
layer4.0.conv2_1x1,0.9157486
layer4.0.conv3_3x3,0.9773339
layer4.0.conv4_1x1,0.9036522
layer4.0.conv5_1x1,0.98229504
layer4.0.shortcut.0,0.9638963
linear,0.0
