layer_names,pr
conv1,0.0
layer1.0.conv1_1x1,0.68530273
layer1.0.conv2_1x1,0.8391113
layer1.0.conv3_3x3,0.92141384
layer1.0.conv4_1x1,0.79907227
layer1.0.conv5_1x1,0.87628174
layer1.0.shortcut.0,0.5523071
layer2.0.conv1_1x1,0.7063904
layer2.0.conv2_1x1,0.57855225
layer2.0.conv3_3x3,0.78359646
layer2.0.conv4_1x1,0.45336914
layer2.0.conv5_1x1,0.8279114
layer2.0.shortcut.0,0.828804
layer3.0.conv1_1x1,0.8694153
layer3.0.conv2_1x1,0.8168335
layer3.0.conv3_3x3,0.9361827
layer3.0.conv4_1x1,0.64837646
layer3.0.conv5_1x1,0.83605576
layer3.0.shortcut.0,0.8990402
layer3.1.conv1_1x1,0.9372139
layer3.1.conv2_1x1,0.8182831
layer3.1.conv3_3x3,0.8983273
layer3.1.conv4_1x1,0.6096649
layer3.1.conv5_1x1,0.73791885
layer4.0.conv1_1x1,0.7599163
layer4.0.conv2_1x1,0.6745987
layer4.0.conv3_3x3,0.93908906
layer4.0.conv4_1x1,0.5926056
layer4.0.conv5_1x1,0.9658747
layer4.0.shortcut.0,0.9900174
linear,0.0
