layer_names,pr
conv1,0.0
layer1.0.conv1_1x1,0.24926758
layer1.0.conv2_1x1,0.24047852
layer1.0.conv3_3x3,0.47688803
layer1.0.conv4_1x1,0.2133789
layer1.0.conv5_1x1,0.24188232
layer1.0.shortcut.0,0.25238037
layer2.0.conv1_1x1,0.4621277
layer2.0.conv2_1x1,0.34954834
layer2.0.conv3_3x3,0.7050849
layer2.0.conv4_1x1,0.31829834
layer2.0.conv5_1x1,0.3605652
layer2.0.shortcut.0,0.4999771
layer3.0.conv1_1x1,0.6313019
layer3.0.conv2_1x1,0.46577454
layer3.0.conv3_3x3,0.8236118
layer3.0.conv4_1x1,0.41497803
layer3.0.conv5_1x1,0.4981346
layer3.0.shortcut.0,0.6912918
layer3.1.conv1_1x1,0.73498154
layer3.1.conv2_1x1,0.4311676
layer3.1.conv3_3x3,0.7464278
layer3.1.conv4_1x1,0.37304688
layer3.1.conv5_1x1,0.4930153
layer4.0.conv1_1x1,0.7105198
layer4.0.conv2_1x1,0.57235336
layer4.0.conv3_3x3,0.9496002
layer4.0.conv4_1x1,0.6729431
layer4.0.conv5_1x1,0.75764847
layer4.0.shortcut.0,0.9666605
linear,0.0
