layer_names,pr
conv1,0.0
layer1.0.conv1_1x1,0.7089844
layer1.0.conv2_1x1,0.74316406
layer1.0.conv3_3x3,0.6894531
layer1.0.conv4_1x1,0.3779297
layer1.0.conv5_1x1,0.6402588
layer1.0.shortcut.0,0.5626831
layer2.0.conv1_1x1,0.6722412
layer2.0.conv2_1x1,0.6876831
layer2.0.conv3_3x3,0.71177167
layer2.0.conv4_1x1,0.40325928
layer2.0.conv5_1x1,0.6399231
layer2.0.shortcut.0,0.71466064
layer3.0.conv1_1x1,0.7241821
layer3.0.conv2_1x1,0.6044159
layer3.0.conv3_3x3,0.7068363
layer3.0.conv4_1x1,0.35020447
layer3.0.conv5_1x1,0.56240463
layer3.0.shortcut.0,0.75914574
layer3.1.conv1_1x1,0.6308708
layer3.1.conv2_1x1,0.33972168
layer3.1.conv3_3x3,0.44302708
layer3.1.conv4_1x1,0.23260498
layer3.1.conv5_1x1,0.5051651
layer4.0.conv1_1x1,0.70342445
layer4.0.conv2_1x1,0.6941223
layer4.0.conv3_3x3,0.8714659
layer4.0.conv4_1x1,0.69651794
layer4.0.conv5_1x1,0.98000336
layer4.0.shortcut.0,0.99011517
linear,0.0
