layer_names,pr
conv1,0.0
layer1.0.conv1_1x1,1.0
layer1.0.conv2_1x1,1.0
layer1.0.conv3_3x3,1.0
layer1.0.conv4_1x1,1.0
layer1.0.conv5_1x1,1.0
layer1.0.shortcut.0,0.32714844
layer2.0.conv1_1x1,0.99313354
layer2.0.conv2_1x1,0.9998779
layer2.0.conv3_3x3,0.99975586
layer2.0.conv4_1x1,0.99261475
layer2.0.conv5_1x1,0.71258545
layer2.0.shortcut.0,0.31468964
layer3.0.conv1_1x1,0.49768066
layer3.0.conv2_1x1,0.6451874
layer3.0.conv3_3x3,0.774331
layer3.0.conv4_1x1,0.82632446
layer3.0.conv5_1x1,0.6830139
layer3.0.shortcut.0,0.3611641
layer3.1.conv1_1x1,0.85946655
layer3.1.conv2_1x1,0.9474335
layer3.1.conv3_3x3,0.97874284
layer3.1.conv4_1x1,0.9897003
layer3.1.conv5_1x1,0.8863182
layer4.0.conv1_1x1,0.8910675
layer4.0.conv2_1x1,0.944664
layer4.0.conv3_3x3,0.9482524
layer4.0.conv4_1x1,0.9725342
layer4.0.conv5_1x1,0.8797617
layer4.0.shortcut.0,0.6167288
linear,0.0
