layer_names,pr
conv1,0.0
layer1.0.conv1,0.234375
layer1.0.conv2,0.49343532
layer1.0.conv3,0.30871582
layer1.0.shortcut.0,0.29388428
layer1.1.conv1,0.41784668
layer1.1.conv2,0.5267741
layer1.1.conv3,0.3184204
layer1.2.conv1,0.47039795
layer1.2.conv2,0.5896267
layer1.2.conv3,0.32910156
layer2.0.conv1,0.4656067
layer2.0.conv2,0.72214764
layer2.0.conv3,0.45840454
layer2.0.shortcut.0,0.59908295
layer2.1.conv1,0.6210327
layer2.1.conv2,0.6392348
layer2.1.conv3,0.43251038
layer2.2.conv1,0.5771942
layer2.2.conv2,0.63450116
layer2.2.conv3,0.4467163
layer2.3.conv1,0.5666809
layer2.3.conv2,0.6542019
layer2.3.conv3,0.46316528
layer3.0.conv1,0.5923767
layer3.0.conv2,0.834944
layer3.0.conv3,0.62124634
layer3.0.shortcut.0,0.7833748
layer3.1.conv1,0.77872086
layer3.1.conv2,0.7697686
layer3.1.conv3,0.5949402
layer3.2.conv1,0.69719696
layer3.2.conv2,0.7473161
layer3.2.conv3,0.6209221
layer3.3.conv1,0.6993828
layer3.3.conv2,0.79482526
layer3.3.conv3,0.6673813
layer3.4.conv1,0.73563766
layer3.4.conv2,0.87427944
layer3.4.conv3,0.7151108
layer3.5.conv1,0.8315239
layer3.5.conv2,0.9459076
layer3.5.conv3,0.76436996
layer4.0.conv1,0.93354225
layer4.0.conv2,0.9991726
layer4.0.conv3,0.9762955
layer4.0.shortcut.0,0.9980421
layer4.1.conv1,0.99922657
layer4.1.conv2,0.99981433
layer4.1.conv3,0.98927975
layer4.2.conv1,0.99730206
layer4.2.conv2,0.9998902
layer4.2.conv3,0.98381805
linear,0.0
