layer_names,pr
conv1,0.0
layer1.0.conv1,0.6208496
layer1.0.conv2,0.6222331
layer1.0.conv3,0.43963623
layer1.0.shortcut.0,0.48638916
layer1.1.conv1,0.5397949
layer1.1.conv2,0.5850423
layer1.1.conv3,0.35217285
layer1.2.conv1,0.38861084
layer1.2.conv2,0.47583008
layer1.2.conv3,0.35791016
layer2.0.conv1,0.2770691
layer2.0.conv2,0.42952475
layer2.0.conv3,0.31939697
layer2.0.shortcut.0,0.41500854
layer2.1.conv1,0.45147705
layer2.1.conv2,0.41434732
layer2.1.conv3,0.34786987
layer2.2.conv1,0.3723755
layer2.2.conv2,0.3864678
layer2.2.conv3,0.37806702
layer2.3.conv1,0.36228943
layer2.3.conv2,0.39346653
layer2.3.conv3,0.42253113
layer3.0.conv1,0.35111237
layer3.0.conv2,0.5057644
layer3.0.conv3,0.4896698
layer3.0.shortcut.0,0.67204857
layer3.1.conv1,0.69124985
layer3.1.conv2,0.7129127
layer3.1.conv3,0.65091705
layer3.2.conv1,0.71442413
layer3.2.conv2,0.8152907
layer3.2.conv3,0.79719543
layer3.3.conv1,0.81941605
layer3.3.conv2,0.94129944
layer3.3.conv3,0.95900726
layer3.4.conv1,0.8956909
layer3.4.conv2,0.97824776
layer3.4.conv3,0.9879379
layer3.5.conv1,0.9469757
layer3.5.conv2,0.99291486
layer3.5.conv3,0.9940071
layer4.0.conv1,0.87044907
layer4.0.conv2,0.99371505
layer4.0.conv3,0.9997492
layer4.0.shortcut.0,0.9999628
layer4.1.conv1,1.0
layer4.1.conv2,0.9994113
layer4.1.conv3,0.99999523
layer4.2.conv1,1.0
layer4.2.conv2,0.99945617
layer4.2.conv3,0.99990463
linear,0.0
