layer_names,pr
conv1,0.0
layer1.0.conv1,0.18798828
layer1.0.conv2,0.36762154
layer1.0.conv3,0.28582764
layer1.0.shortcut.0,0.24786377
layer1.1.conv1,0.37243652
layer1.1.conv2,0.47740343
layer1.1.conv3,0.34381104
layer1.2.conv1,0.4081421
layer1.2.conv2,0.52764213
layer1.2.conv3,0.34875488
layer2.0.conv1,0.3607788
layer2.0.conv2,0.5590549
layer2.0.conv3,0.38298035
layer2.0.shortcut.0,0.5529022
layer2.1.conv1,0.5804138
layer2.1.conv2,0.6160414
layer2.1.conv3,0.44128418
layer2.2.conv1,0.5509033
layer2.2.conv2,0.6114231
layer2.2.conv3,0.4533844
layer2.3.conv1,0.51345825
layer2.3.conv2,0.5676744
layer2.3.conv3,0.4349823
layer3.0.conv1,0.47694397
layer3.0.conv2,0.64045036
layer3.0.conv3,0.5219879
layer3.0.shortcut.0,0.71661377
layer3.1.conv1,0.84664154
layer3.1.conv2,0.91292655
layer3.1.conv3,0.709713
layer3.2.conv1,0.8272133
layer3.2.conv2,0.93510604
layer3.2.conv3,0.74243164
layer3.3.conv1,0.90872955
layer3.3.conv2,0.9830543
layer3.3.conv3,0.79525757
layer3.4.conv1,0.94161224
layer3.4.conv2,0.99177045
layer3.4.conv3,0.8113136
layer3.5.conv1,0.94504166
layer3.5.conv2,0.99079216
layer3.5.conv3,0.8204613
layer4.0.conv1,0.7607479
layer4.0.conv2,0.941906
layer4.0.conv3,0.83693504
layer4.0.shortcut.0,0.9778433
layer4.1.conv1,0.980422
layer4.1.conv2,0.99285126
layer4.1.conv3,0.97303677
layer4.2.conv1,0.9978695
layer4.2.conv2,0.9989425
layer4.2.conv3,0.9932003
linear,0.0
