layer_names,pr
conv1,0.0
layer1.0.conv1_1x1,0.26049805
layer1.0.conv2_1x1,0.34326172
layer1.0.conv3_3x3,0.43600804
layer1.0.conv4_1x1,0.22363281
layer1.0.conv5_1x1,0.28515625
layer1.0.shortcut.0,0.22851562
layer2.0.conv1_1x1,0.20153809
layer2.0.conv2_1x1,0.2597046
layer2.0.conv3_3x3,0.41026476
layer2.0.conv4_1x1,0.25091553
layer2.0.conv5_1x1,0.5714569
layer2.0.shortcut.0,0.56598663
layer3.0.conv1_1x1,0.67375183
layer3.0.conv2_1x1,0.631485
layer3.0.conv3_3x3,0.88131714
layer3.0.conv4_1x1,0.6698761
layer3.0.conv5_1x1,0.9368477
layer3.0.shortcut.0,0.9481106
layer3.1.conv1_1x1,1.0
layer3.1.conv2_1x1,1.0
layer3.1.conv3_3x3,1.0
layer3.1.conv4_1x1,1.0
layer3.1.conv5_1x1,1.0
layer4.0.conv1_1x1,1.0
layer4.0.conv2_1x1,1.0
layer4.0.conv3_3x3,1.0
layer4.0.conv4_1x1,1.0
layer4.0.conv5_1x1,1.0
layer4.0.shortcut.0,0.9916148
linear,0.0
