layer_names,pr
conv1,0.0
layer1.0.conv1_1x1,0.91748047
layer1.0.conv2_1x1,0.9301758
layer1.0.conv3_3x3,0.8175185
layer1.0.conv4_1x1,0.5510254
layer1.0.conv5_1x1,0.66381836
layer1.0.shortcut.0,0.78466797
layer2.0.conv1_1x1,0.842926
layer2.0.conv2_1x1,0.8121338
layer2.0.conv3_3x3,0.7519667
layer2.0.conv4_1x1,0.44226074
layer2.0.conv5_1x1,0.6545563
layer2.0.shortcut.0,0.7054138
layer3.0.conv1_1x1,0.6722336
layer3.0.conv2_1x1,0.55581665
layer3.0.conv3_3x3,0.6493666
layer3.0.conv4_1x1,0.34783936
layer3.0.conv5_1x1,0.5755615
layer3.0.shortcut.0,0.7536659
layer3.1.conv1_1x1,0.62664413
layer3.1.conv2_1x1,0.34455872
layer3.1.conv3_3x3,0.41135153
layer3.1.conv4_1x1,0.18890381
layer3.1.conv5_1x1,0.4202881
layer4.0.conv1_1x1,0.59417343
layer4.0.conv2_1x1,0.5630188
layer4.0.conv3_3x3,0.7670615
layer4.0.conv4_1x1,0.56664276
layer4.0.conv5_1x1,0.9458914
layer4.0.shortcut.0,0.9779024
linear,0.0
