layer_names,pr
conv1,0.0
layer1.0.conv1_1x1,0.25610352
layer1.0.conv2_1x1,0.25
layer1.0.conv3_3x3,0.52701825
layer1.0.conv4_1x1,0.23461914
layer1.0.conv5_1x1,0.2498169
layer1.0.shortcut.0,0.25170898
layer2.0.conv1_1x1,0.47610474
layer2.0.conv2_1x1,0.3486328
layer2.0.conv3_3x3,0.74627006
layer2.0.conv4_1x1,0.33514404
layer2.0.conv5_1x1,0.3607483
layer2.0.shortcut.0,0.5045471
layer3.0.conv1_1x1,0.6412735
layer3.0.conv2_1x1,0.47538757
layer3.0.conv3_3x3,0.83910114
layer3.0.conv4_1x1,0.42381287
layer3.0.conv5_1x1,0.49943542
layer3.0.shortcut.0,0.69830704
layer3.1.conv1_1x1,0.75138474
layer3.1.conv2_1x1,0.43823242
layer3.1.conv3_3x3,0.75912476
layer3.1.conv4_1x1,0.3812561
layer3.1.conv5_1x1,0.49438095
layer4.0.conv1_1x1,0.7131157
layer4.0.conv2_1x1,0.5633774
layer4.0.conv3_3x3,0.93484074
layer4.0.conv4_1x1,0.65543747
layer4.0.conv5_1x1,0.75834846
layer4.0.shortcut.0,0.9672928
linear,0.0
