layer_names,pr
conv1,0.0
layer1.0.conv1_1x1,0.7788086
layer1.0.conv2_1x1,0.7890625
layer1.0.conv3_3x3,0.89746094
layer1.0.conv4_1x1,0.7434082
layer1.0.conv5_1x1,0.8743286
layer1.0.shortcut.0,0.6244507
layer2.0.conv1_1x1,0.8057556
layer2.0.conv2_1x1,0.6754761
layer2.0.conv3_3x3,0.8487956
layer2.0.conv4_1x1,0.55737305
layer2.0.conv5_1x1,0.8795624
layer2.0.shortcut.0,0.8768234
layer3.0.conv1_1x1,0.90636444
layer3.0.conv2_1x1,0.8616028
layer3.0.conv3_3x3,0.9678616
layer3.0.conv4_1x1,0.7524414
layer3.0.conv5_1x1,0.9085388
layer3.0.shortcut.0,0.95202446
layer3.1.conv1_1x1,0.98397446
layer3.1.conv2_1x1,0.92614746
layer3.1.conv3_3x3,0.9590386
layer3.1.conv4_1x1,0.74412537
layer3.1.conv5_1x1,0.8750763
layer4.0.conv1_1x1,0.8889828
layer4.0.conv2_1x1,0.8287697
layer4.0.conv3_3x3,0.98496205
layer4.0.conv4_1x1,0.75299454
layer4.0.conv5_1x1,0.98298264
layer4.0.shortcut.0,0.9967489
linear,0.0
