layer_names,pr
conv1,0.0
layer1.0.conv1_1x1,0.86938477
layer1.0.conv2_1x1,0.9682617
layer1.0.conv3_3x3,0.9403483
layer1.0.conv4_1x1,0.7536621
layer1.0.conv5_1x1,0.8109131
layer1.0.shortcut.0,0.40649414
layer2.0.conv1_1x1,0.5203247
layer2.0.conv2_1x1,0.37872314
layer2.0.conv3_3x3,0.6135254
layer2.0.conv4_1x1,0.3010254
layer2.0.conv5_1x1,0.67837524
layer2.0.shortcut.0,0.6879425
layer3.0.conv1_1x1,0.69911957
layer3.0.conv2_1x1,0.62657166
layer3.0.conv3_3x3,0.82484436
layer3.0.conv4_1x1,0.4514618
layer3.0.conv5_1x1,0.6551933
layer3.0.shortcut.0,0.7708092
layer3.1.conv1_1x1,0.838768
layer3.1.conv2_1x1,0.6734314
layer3.1.conv3_3x3,0.81565857
layer3.1.conv4_1x1,0.4600525
layer3.1.conv5_1x1,0.5708122
layer4.0.conv1_1x1,0.5998173
layer4.0.conv2_1x1,0.52692413
layer4.0.conv3_3x3,0.8248622
layer4.0.conv4_1x1,0.4375534
layer4.0.conv5_1x1,0.90473175
layer4.0.shortcut.0,0.9597783
linear,0.0
