layer_names,pr
conv1,0.0
layer1.0.conv1_1x1,0.82714844
layer1.0.conv2_1x1,0.8186035
layer1.0.conv3_3x3,0.9066026
layer1.0.conv4_1x1,0.7807617
layer1.0.conv5_1x1,0.8394165
layer1.0.shortcut.0,0.7974243
layer2.0.conv1_1x1,0.8862915
layer2.0.conv2_1x1,0.8742676
layer2.0.conv3_3x3,0.8922187
layer2.0.conv4_1x1,0.62976074
layer2.0.conv5_1x1,0.8788605
layer2.0.shortcut.0,0.8929901
layer3.0.conv1_1x1,0.91807556
layer3.0.conv2_1x1,0.842926
layer3.0.conv3_3x3,0.90427995
layer3.0.conv4_1x1,0.58787537
layer3.0.conv5_1x1,0.8278656
layer3.0.shortcut.0,0.94122314
layer3.1.conv1_1x1,0.90275955
layer3.1.conv2_1x1,0.64712524
layer3.1.conv3_3x3,0.7427724
layer3.1.conv4_1x1,0.42367554
layer3.1.conv5_1x1,0.7590828
layer4.0.conv1_1x1,0.84198
layer4.0.conv2_1x1,0.7416115
layer4.0.conv3_3x3,0.90172917
layer4.0.conv4_1x1,0.7802963
layer4.0.conv5_1x1,0.9930582
layer4.0.shortcut.0,0.99884987
linear,0.0
