layer_names,pr
conv1,0.0
layer1.0.conv1_1x1,0.48950195
layer1.0.conv2_1x1,0.57714844
layer1.0.conv3_3x3,0.6272244
layer1.0.conv4_1x1,0.3544922
layer1.0.conv5_1x1,0.51239014
layer1.0.shortcut.0,0.51464844
layer2.0.conv1_1x1,0.5991211
layer2.0.conv2_1x1,0.5515137
layer2.0.conv3_3x3,0.58388263
layer2.0.conv4_1x1,0.31427002
layer2.0.conv5_1x1,0.6884613
layer2.0.shortcut.0,0.6792526
layer3.0.conv1_1x1,0.75627136
layer3.0.conv2_1x1,0.6763458
layer3.0.conv3_3x3,0.7693465
layer3.0.conv4_1x1,0.402771
layer3.0.conv5_1x1,0.6142845
layer3.0.shortcut.0,0.7659588
layer3.1.conv1_1x1,0.6804695
layer3.1.conv2_1x1,0.3813324
layer3.1.conv3_3x3,0.47857326
layer3.1.conv4_1x1,0.24214172
layer3.1.conv5_1x1,0.51140213
layer4.0.conv1_1x1,0.7037487
layer4.0.conv2_1x1,0.6780586
layer4.0.conv3_3x3,0.84642625
layer4.0.conv4_1x1,0.67090225
layer4.0.conv5_1x1,0.9785242
layer4.0.shortcut.0,0.98976946
linear,0.0
