layer_names,pr
conv1,0.0
layer1.0.conv1,0.2734375
layer1.0.conv2,0.57747394
layer1.0.conv3,0.32702637
layer1.0.shortcut.0,0.3272705
layer1.1.conv1,0.5175171
layer1.1.conv2,0.6395942
layer1.1.conv3,0.33953857
layer1.2.conv1,0.52996826
layer1.2.conv2,0.65285915
layer1.2.conv3,0.3428955
layer2.0.conv1,0.51119995
layer2.0.conv2,0.78170437
layer2.0.conv3,0.46391296
layer2.0.shortcut.0,0.6303787
layer2.1.conv1,0.6819153
layer2.1.conv2,0.7164646
layer2.1.conv3,0.4524231
layer2.2.conv1,0.63752747
layer2.2.conv2,0.7088216
layer2.2.conv3,0.45703125
layer2.3.conv1,0.62783813
layer2.3.conv2,0.72090656
layer2.3.conv3,0.4632721
layer3.0.conv1,0.6401596
layer3.0.conv2,0.87520176
layer3.0.conv3,0.620018
layer3.0.shortcut.0,0.7950363
layer3.1.conv1,0.80737305
layer3.1.conv2,0.80689496
layer3.1.conv3,0.587986
layer3.2.conv1,0.7349777
layer3.2.conv2,0.7874298
layer3.2.conv3,0.60645676
layer3.3.conv1,0.7255287
layer3.3.conv2,0.8187934
layer3.3.conv3,0.63243866
layer3.4.conv1,0.7436714
layer3.4.conv2,0.85995317
layer3.4.conv3,0.6643219
layer3.5.conv1,0.7899246
layer3.5.conv2,0.91688704
layer3.5.conv3,0.69285583
layer4.0.conv1,0.8967171
layer4.0.conv2,0.9985068
layer4.0.conv3,0.9443073
layer4.0.shortcut.0,0.9959612
layer4.1.conv1,0.99801826
layer4.1.conv2,0.99959266
layer4.1.conv3,0.9646759
layer4.2.conv1,0.99641037
layer4.2.conv2,0.99989957
layer4.2.conv3,0.95910454
linear,0.0
