layer_names,pr
conv1,0.0
layer1.0.conv1,0.5571289
layer1.0.conv2,0.52452254
layer1.0.conv3,0.4066162
layer1.0.shortcut.0,0.51190186
layer1.1.conv1,0.4263916
layer1.1.conv2,0.45263672
layer1.1.conv3,0.3824463
layer1.2.conv1,0.37225342
layer1.2.conv2,0.41612414
layer1.2.conv3,0.3834839
layer2.0.conv1,0.32925415
layer2.0.conv2,0.49335396
layer2.0.conv3,0.38175964
layer2.0.shortcut.0,0.51447296
layer2.1.conv1,0.5193329
layer2.1.conv2,0.47348362
layer2.1.conv3,0.40821838
layer2.2.conv1,0.46073914
layer2.2.conv2,0.46891955
layer2.2.conv3,0.44380188
layer2.3.conv1,0.42803955
layer2.3.conv2,0.4701945
layer2.3.conv3,0.48869324
layer3.0.conv1,0.46172333
layer3.0.conv2,0.69763863
layer3.0.conv3,0.6066704
layer3.0.shortcut.0,0.78528595
layer3.1.conv1,0.7879715
layer3.1.conv2,0.70495266
layer3.1.conv3,0.67305756
layer3.2.conv1,0.76026535
layer3.2.conv2,0.73420036
layer3.2.conv3,0.75027466
layer3.3.conv1,0.7888222
layer3.3.conv2,0.811476
layer3.3.conv3,0.8384857
layer3.4.conv1,0.833519
layer3.4.conv2,0.8889262
layer3.4.conv3,0.915535
layer3.5.conv1,0.85637283
layer3.5.conv2,0.9320611
layer3.5.conv3,0.96097565
layer4.0.conv1,0.877758
layer4.0.conv2,0.9920803
layer4.0.conv3,0.99950886
layer4.0.shortcut.0,0.9999709
layer4.1.conv1,0.9998827
layer4.1.conv2,0.9997974
layer4.1.conv3,0.99991894
layer4.2.conv1,0.9999981
layer4.2.conv2,0.99977326
layer4.2.conv3,0.9998007
linear,0.0
