layer_names,pr
conv1,0.0
layer1.0.conv1,0.2331543
layer1.0.conv2,0.4115397
layer1.0.conv3,0.31256104
layer1.0.shortcut.0,0.26434326
layer1.1.conv1,0.33789062
layer1.1.conv2,0.4135471
layer1.1.conv3,0.28778076
layer1.2.conv1,0.35772705
layer1.2.conv2,0.44108072
layer1.2.conv3,0.31304932
layer2.0.conv1,0.34780884
layer2.0.conv2,0.51916504
layer2.0.conv3,0.3712921
layer2.0.shortcut.0,0.51917267
layer2.1.conv1,0.6204834
layer2.1.conv2,0.6756592
layer2.1.conv3,0.48936462
layer2.2.conv1,0.5924988
layer2.2.conv2,0.6489597
layer2.2.conv3,0.47654724
layer2.3.conv1,0.50460815
layer2.3.conv2,0.5481703
layer2.3.conv3,0.42567444
layer3.0.conv1,0.44263458
layer3.0.conv2,0.5859833
layer3.0.conv3,0.5101166
layer3.0.shortcut.0,0.7003498
layer3.1.conv1,0.9141197
layer3.1.conv2,0.9655202
layer3.1.conv3,0.8055496
layer3.2.conv1,0.91693115
layer3.2.conv2,0.96433854
layer3.2.conv3,0.8284874
layer3.3.conv1,0.8966141
layer3.3.conv2,0.9768677
layer3.3.conv3,0.87028885
layer3.4.conv1,0.9133072
layer3.4.conv2,0.98341876
layer3.4.conv3,0.86820984
layer3.5.conv1,0.94159317
layer3.5.conv2,0.9907345
layer3.5.conv3,0.8843498
layer4.0.conv1,0.72506714
layer4.0.conv2,0.9268413
layer4.0.conv3,0.8370199
layer4.0.shortcut.0,0.9774704
layer4.1.conv1,0.9492178
layer4.1.conv2,0.9821841
layer4.1.conv3,0.9618664
layer4.2.conv1,0.99778557
layer4.2.conv2,0.9983232
layer4.2.conv3,0.99617386
linear,0.0
