layer_names,pr
conv1,0.0
layer1.0.conv1,0.67211914
layer1.0.conv2,0.83013237
layer1.0.conv3,0.817749
layer1.0.shortcut.0,0.6766968
layer1.1.conv1,1.0
layer1.1.conv2,1.0
layer1.1.conv3,1.0
layer1.2.conv1,1.0
layer1.2.conv2,1.0
layer1.2.conv3,1.0
layer2.0.conv1,0.9154968
layer2.0.conv2,0.9045342
layer2.0.conv3,0.8202667
layer2.0.shortcut.0,0.83869934
layer2.1.conv1,0.984848
layer2.1.conv2,0.99491376
layer2.1.conv3,0.9806366
layer2.2.conv1,0.7842407
layer2.2.conv2,0.76712376
layer2.2.conv3,0.8667755
layer2.3.conv1,0.6932068
layer2.3.conv2,0.63467747
layer2.3.conv3,0.8222351
layer3.0.conv1,0.62553406
layer3.0.conv2,0.6927083
layer3.0.conv3,0.75668335
layer3.0.shortcut.0,0.84905815
layer3.1.conv1,0.9446831
layer3.1.conv2,0.9563497
layer3.1.conv3,0.9648361
layer3.2.conv1,0.7993202
layer3.2.conv2,0.78101265
layer3.2.conv3,0.7507248
layer3.3.conv1,0.87709427
layer3.3.conv2,0.9312405
layer3.3.conv3,0.9206734
layer3.4.conv1,0.6991272
layer3.4.conv2,0.7380473
layer3.4.conv3,0.72434616
layer3.5.conv1,0.6944275
layer3.5.conv2,0.68511623
layer3.5.conv3,0.7351227
layer4.0.conv1,0.5208893
layer4.0.conv2,0.7577913
layer4.0.conv3,0.77622986
layer4.0.shortcut.0,0.91952753
layer4.1.conv1,0.70053387
layer4.1.conv2,0.72461915
layer4.1.conv3,0.83456135
layer4.2.conv1,0.7598171
layer4.2.conv2,0.8321016
layer4.2.conv3,0.9407873
linear,0.0
