Epoch,test accuracy,training accuracy
0,20.21,"(16.794, 8397, 50000)"
1,33.3,"(27.336, 13668, 50000)"
2,34.55,"(37.294, 18647, 50000)"
3,46.94,"(43.998, 21999, 50000)"
4,47.85,"(50.468, 25234, 50000)"
5,47.87,"(54.99, 27495, 50000)"
6,58.73,"(59.716, 29858, 50000)"
7,63.95,"(63.108, 31554, 50000)"
8,65.6,"(65.634, 32817, 50000)"
9,64.68,"(68.324, 34162, 50000)"
10,63.68,"(69.452, 34726, 50000)"
11,68.15,"(71.44, 35720, 50000)"
12,67.75,"(72.604, 36302, 50000)"
13,70.62,"(73.878, 36939, 50000)"
14,67.31,"(75.648, 37824, 50000)"
15,68.09,"(76.786, 38393, 50000)"
16,68.77,"(78.042, 39021, 50000)"
17,61.84,"(78.82, 39410, 50000)"
18,73.6,"(79.432, 39716, 50000)"
19,69.53,"(80.162, 40081, 50000)"
20,70.64,"(80.608, 40304, 50000)"
21,77.33,"(80.98, 40490, 50000)"
22,74.99,"(81.764, 40882, 50000)"
23,69.93,"(82.018, 41009, 50000)"
24,76.05,"(82.202, 41101, 50000)"
25,76.54,"(82.602, 41301, 50000)"
26,78.75,"(82.97, 41485, 50000)"
27,70.16,"(83.08, 41540, 50000)"
28,73.04,"(83.434, 41717, 50000)"
29,78.6,"(84.0, 42000, 50000)"
30,80.03,"(84.168, 42084, 50000)"
31,80.83,"(84.466, 42233, 50000)"
32,82.09,"(84.688, 42344, 50000)"
33,81.57,"(85.206, 42603, 50000)"
34,79.13,"(85.292, 42646, 50000)"
35,82.54,"(85.604, 42802, 50000)"
36,82.41,"(85.93, 42965, 50000)"
37,82.03,"(86.05, 43025, 50000)"
38,80.29,"(86.626, 43313, 50000)"
39,80.63,"(86.586, 43293, 50000)"
40,82.24,"(87.104, 43552, 50000)"
41,83.07,"(87.204, 43602, 50000)"
42,82.22,"(87.412, 43706, 50000)"
43,84.31,"(87.868, 43934, 50000)"
44,82.05,"(87.908, 43954, 50000)"
45,78.56,"(88.412, 44206, 50000)"
46,83.73,"(88.322, 44161, 50000)"
47,84.28,"(88.74, 44370, 50000)"
48,84.16,"(89.094, 44547, 50000)"
49,83.53,"(88.814, 44407, 50000)"
50,82.19,"(89.224, 44612, 50000)"
51,87.64,"(89.71, 44855, 50000)"
52,86.0,"(89.656, 44828, 50000)"
53,84.11,"(90.19, 45095, 50000)"
54,84.31,"(90.59, 45295, 50000)"
55,86.75,"(90.722, 45361, 50000)"
56,85.37,"(90.924, 45462, 50000)"
57,88.48,"(91.348, 45674, 50000)"
58,85.87,"(91.414, 45707, 50000)"
59,87.38,"(91.818, 45909, 50000)"
60,85.37,"(92.03, 46015, 50000)"
61,88.25,"(92.468, 46234, 50000)"
62,85.72,"(92.362, 46181, 50000)"
63,89.1,"(92.818, 46409, 50000)"
64,86.68,"(92.936, 46468, 50000)"
65,89.22,"(93.536, 46768, 50000)"
66,87.7,"(93.6, 46800, 50000)"
67,89.87,"(94.004, 47002, 50000)"
68,89.26,"(94.448, 47224, 50000)"
69,90.37,"(94.832, 47416, 50000)"
70,89.59,"(95.116, 47558, 50000)"
71,90.72,"(95.412, 47706, 50000)"
72,89.05,"(95.726, 47863, 50000)"
73,91.27,"(95.938, 47969, 50000)"
74,90.9,"(96.28, 48140, 50000)"
75,91.17,"(96.614, 48307, 50000)"
76,91.93,"(97.082, 48541, 50000)"
77,92.13,"(97.194, 48597, 50000)"
78,92.54,"(97.654, 48827, 50000)"
79,92.56,"(98.048, 49024, 50000)"
80,92.56,"(98.278, 49139, 50000)"
81,93.04,"(98.494, 49247, 50000)"
82,93.3,"(98.72, 49360, 50000)"
83,93.65,"(99.044, 49522, 50000)"
84,93.74,"(99.268, 49634, 50000)"
85,94.12,"(99.374, 49687, 50000)"
86,94.33,"(99.466, 49733, 50000)"
87,94.16,"(99.588, 49794, 50000)"
88,94.45,"(99.698, 49849, 50000)"
89,94.51,"(99.758, 49879, 50000)"
90,94.78,"(99.796, 49898, 50000)"
91,94.74,"(99.864, 49932, 50000)"
92,94.6,"(99.9, 49950, 50000)"
93,94.93,"(99.9, 49950, 50000)"
94,94.9,"(99.876, 49938, 50000)"
95,94.84,"(99.946, 49973, 50000)"
96,94.9,"(99.928, 49964, 50000)"
97,94.91,"(99.934, 49967, 50000)"
98,94.91,"(99.938, 49969, 50000)"
99,94.98,"(99.94, 49970, 50000)"
