;Epoch;test_accuracy;train-saturation_conv1;train-saturation_layer1-0-conv1;train-saturation_layer1-0-conv2;train-saturation_layer1-0-conv3;train-saturation_layer1-0-shortcut-0;train-saturation_layer1-1-conv1;train-saturation_layer1-1-conv2;train-saturation_layer1-1-conv3;train-saturation_layer1-2-conv1;train-saturation_layer1-2-conv2;train-saturation_layer1-2-conv3;train-saturation_layer2-0-conv1;train-saturation_layer2-0-conv2;train-saturation_layer2-0-conv3;train-saturation_layer2-0-shortcut-0;train-saturation_layer2-1-conv1;train-saturation_layer2-1-conv2;train-saturation_layer2-1-conv3;train-saturation_layer2-2-conv1;train-saturation_layer2-2-conv2;train-saturation_layer2-2-conv3;train-saturation_layer2-3-conv1;train-saturation_layer2-3-conv2;train-saturation_layer2-3-conv3;train-saturation_layer3-0-conv1;train-saturation_layer3-0-conv2;train-saturation_layer3-0-conv3;train-saturation_layer3-0-shortcut-0;train-saturation_layer3-1-conv1;train-saturation_layer3-1-conv2;train-saturation_layer3-1-conv3;train-saturation_layer3-2-conv1;train-saturation_layer3-2-conv2;train-saturation_layer3-2-conv3;train-saturation_layer3-3-conv1;train-saturation_layer3-3-conv2;train-saturation_layer3-3-conv3;train-saturation_layer3-4-conv1;train-saturation_layer3-4-conv2;train-saturation_layer3-4-conv3;train-saturation_layer3-5-conv1;train-saturation_layer3-5-conv2;train-saturation_layer3-5-conv3;train-saturation_layer4-0-conv1;train-saturation_layer4-0-conv2;train-saturation_layer4-0-conv3;train-saturation_layer4-0-shortcut-0;train-saturation_layer4-1-conv1;train-saturation_layer4-1-conv2;train-saturation_layer4-1-conv3;train-saturation_layer4-2-conv1;train-saturation_layer4-2-conv2;train-saturation_layer4-2-conv3;train-saturation_linear;eval-saturation_conv1;eval-saturation_layer1-0-conv1;eval-saturation_layer1-0-conv2;eval-saturation_layer1-0-conv3;eval-saturation_layer1-0-shortcut-0;eval-saturation_layer1-1-conv1;eval-saturation_layer1-1-conv2;eval-saturation_layer1-1-conv3;eval-saturation_layer1-2-conv1;eval-saturation_layer1-2-conv2;eval-saturation_layer1-2-conv3;eval-saturation_layer2-0-conv1;eval-saturation_layer2-0-conv2;eval-saturation_layer2-0-conv3;eval-saturation_layer2-0-shortcut-0;eval-saturation_layer2-1-conv1;eval-saturation_layer2-1-conv2;eval-saturation_layer2-1-conv3;eval-saturation_layer2-2-conv1;eval-saturation_layer2-2-conv2;eval-saturation_layer2-2-conv3;eval-saturation_layer2-3-conv1;eval-saturation_layer2-3-conv2;eval-saturation_layer2-3-conv3;eval-saturation_layer3-0-conv1;eval-saturation_layer3-0-conv2;eval-saturation_layer3-0-conv3;eval-saturation_layer3-0-shortcut-0;eval-saturation_layer3-1-conv1;eval-saturation_layer3-1-conv2;eval-saturation_layer3-1-conv3;eval-saturation_layer3-2-conv1;eval-saturation_layer3-2-conv2;eval-saturation_layer3-2-conv3;eval-saturation_layer3-3-conv1;eval-saturation_layer3-3-conv2;eval-saturation_layer3-3-conv3;eval-saturation_layer3-4-conv1;eval-saturation_layer3-4-conv2;eval-saturation_layer3-4-conv3;eval-saturation_layer3-5-conv1;eval-saturation_layer3-5-conv2;eval-saturation_layer3-5-conv3;eval-saturation_layer4-0-conv1;eval-saturation_layer4-0-conv2;eval-saturation_layer4-0-conv3;eval-saturation_layer4-0-shortcut-0;eval-saturation_layer4-1-conv1;eval-saturation_layer4-1-conv2;eval-saturation_layer4-1-conv3;eval-saturation_layer4-2-conv1;eval-saturation_layer4-2-conv2;eval-saturation_layer4-2-conv3;eval-saturation_linear
0;0;34.69;0.046875;0.078125;0.140625;0.03125;0.01953125;0.078125;0.109375;0.015625;0.046875;0.046875;0.00390625;0.0078125;0.015625;0.00390625;0.0078125;0.0078125;0.015625;0.005859375;0.0078125;0.03125;0.009765625;0.0078125;0.015625;0.0078125;0.00390625;0.0078125;0.0029296875;0.00390625;0.00390625;0.02734375;0.017578125;0.00390625;0.01171875;0.0068359375;0.00390625;0.0078125;0.00390625;0.0;0.0078125;0.0029296875;0.00390625;0.0078125;0.0029296875;0.001953125;0.001953125;0.00048828125;0.0009765625;0.005859375;0.0078125;0.00048828125;0.0;0.005859375;0.00048828125;0.4;0.03125;0.0625;0.125;0.0234375;0.015625;0.078125;0.109375;0.01953125;0.0625;0.046875;0.0078125;0.015625;0.0234375;0.005859375;0.009765625;0.0078125;0.015625;0.005859375;0.0078125;0.0234375;0.009765625;0.0078125;0.015625;0.015625;0.0078125;0.01171875;0.0087890625;0.005859375;0.015625;0.04296875;0.033203125;0.03125;0.04296875;0.03515625;0.0546875;0.08203125;0.056640625;0.05859375;0.19140625;0.064453125;0.10546875;0.3046875;0.08203125;0.12109375;0.087890625;0.0224609375;0.0283203125;0.0390625;0.111328125;0.0263671875;0.12890625;0.1328125;0.013671875;0.3
1;1;44.74;0.0625;0.09375;0.21875;0.04296875;0.03125;0.109375;0.125;0.01953125;0.0625;0.046875;0.0078125;0.0078125;0.0234375;0.005859375;0.013671875;0.0078125;0.0234375;0.005859375;0.015625;0.03125;0.01171875;0.0078125;0.015625;0.009765625;0.01171875;0.015625;0.0068359375;0.0087890625;0.015625;0.0703125;0.0458984375;0.01953125;0.03515625;0.01953125;0.015625;0.01953125;0.0087890625;0.00390625;0.01171875;0.0048828125;0.00390625;0.0078125;0.00390625;0.00390625;0.00390625;0.0;0.0029296875;0.013671875;0.01953125;0.00146484375;0.001953125;0.0078125;0.00048828125;0.5;0.046875;0.09375;0.203125;0.0390625;0.02734375;0.109375;0.15625;0.03125;0.078125;0.09375;0.015625;0.0234375;0.046875;0.01171875;0.02734375;0.015625;0.0234375;0.005859375;0.03125;0.0234375;0.0078125;0.0078125;0.015625;0.013671875;0.01171875;0.01953125;0.0146484375;0.0107421875;0.0234375;0.078125;0.0576171875;0.05078125;0.07421875;0.056640625;0.11328125;0.1484375;0.06640625;0.1171875;0.2734375;0.087890625;0.1953125;0.39453125;0.10546875;0.21484375;0.123046875;0.02294921875;0.04638671875;0.052734375;0.119140625;0.046875;0.2421875;0.255859375;0.04248046875;0.4
2;2;55.31;0.0625;0.125;0.25;0.05078125;0.03515625;0.125;0.125;0.015625;0.0625;0.046875;0.00390625;0.0078125;0.0234375;0.005859375;0.017578125;0.0078125;0.015625;0.005859375;0.0234375;0.0390625;0.01171875;0.0078125;0.015625;0.0078125;0.01171875;0.01953125;0.0087890625;0.01171875;0.01953125;0.1015625;0.0634765625;0.02734375;0.046875;0.0263671875;0.0234375;0.01953125;0.01171875;0.00390625;0.01171875;0.0048828125;0.0078125;0.0078125;0.00390625;0.005859375;0.001953125;0.0;0.00341796875;0.017578125;0.0390625;0.00341796875;0.001953125;0.005859375;0.00048828125;0.5;0.046875;0.125;0.25;0.05859375;0.03515625;0.171875;0.203125;0.046875;0.109375;0.15625;0.03125;0.0546875;0.1171875;0.02734375;0.0625;0.0625;0.0390625;0.015625;0.0859375;0.046875;0.01953125;0.0390625;0.0546875;0.04296875;0.04296875;0.05859375;0.0341796875;0.044921875;0.05078125;0.1171875;0.0888671875;0.11328125;0.1015625;0.068359375;0.1796875;0.16015625;0.0703125;0.1796875;0.2421875;0.0908203125;0.2734375;0.3984375;0.1103515625;0.3125;0.115234375;0.01123046875;0.06396484375;0.048828125;0.10546875;0.0576171875;0.283203125;0.185546875;0.0263671875;0.4
3;3;58.0;0.0625;0.125;0.265625;0.0546875;0.0390625;0.140625;0.140625;0.01953125;0.0625;0.046875;0.00390625;0.015625;0.0234375;0.005859375;0.0234375;0.0078125;0.0234375;0.005859375;0.03125;0.0390625;0.013671875;0.015625;0.015625;0.009765625;0.01953125;0.03515625;0.0126953125;0.0166015625;0.03125;0.12890625;0.080078125;0.046875;0.078125;0.0390625;0.04296875;0.03515625;0.015625;0.01171875;0.01953125;0.0078125;0.01171875;0.01171875;0.0048828125;0.009765625;0.00390625;0.0;0.00439453125;0.021484375;0.05078125;0.00439453125;0.001953125;0.005859375;0.00048828125;0.6;0.046875;0.140625;0.265625;0.0625;0.0390625;0.1875;0.21875;0.0546875;0.140625;0.171875;0.03515625;0.078125;0.125;0.03125;0.072265625;0.0703125;0.0390625;0.013671875;0.1015625;0.0625;0.02734375;0.0546875;0.0703125;0.048828125;0.0546875;0.07421875;0.04296875;0.046875;0.05859375;0.1328125;0.103515625;0.14453125;0.14453125;0.0830078125;0.22265625;0.1953125;0.078125;0.265625;0.33984375;0.1015625;0.375;0.4296875;0.111328125;0.3828125;0.154296875;0.01220703125;0.0859375;0.0546875;0.123046875;0.06396484375;0.314453125;0.216796875;0.03125;0.6
4;4;60.11;0.078125;0.140625;0.3125;0.06640625;0.0390625;0.171875;0.15625;0.01953125;0.0625;0.046875;0.0078125;0.015625;0.03125;0.0078125;0.029296875;0.0078125;0.015625;0.005859375;0.0390625;0.046875;0.013671875;0.0234375;0.0234375;0.009765625;0.0234375;0.04296875;0.0146484375;0.021484375;0.04296875;0.15234375;0.091796875;0.0703125;0.1015625;0.0439453125;0.06640625;0.0546875;0.0224609375;0.02734375;0.03515625;0.01171875;0.02734375;0.0234375;0.0087890625;0.01953125;0.001953125;0.0;0.0078125;0.02734375;0.064453125;0.00634765625;0.005859375;0.005859375;0.00048828125;0.6;0.0625;0.15625;0.328125;0.08203125;0.04296875;0.25;0.3125;0.078125;0.234375;0.265625;0.05859375;0.15625;0.171875;0.041015625;0.103515625;0.1328125;0.0703125;0.0234375;0.140625;0.078125;0.02734375;0.0703125;0.0859375;0.052734375;0.0703125;0.0859375;0.0517578125;0.052734375;0.06640625;0.1640625;0.115234375;0.17578125;0.1875;0.0947265625;0.27734375;0.296875;0.1044921875;0.35546875;0.35546875;0.1025390625;0.4375;0.40234375;0.107421875;0.4296875;0.31640625;0.05029296875;0.09912109375;0.05078125;0.12109375;0.0654296875;0.30078125;0.18359375;0.0263671875;0.6
5;5;66.91;0.078125;0.15625;0.328125;0.0703125;0.04296875;0.203125;0.171875;0.01953125;0.078125;0.046875;0.0078125;0.0234375;0.03125;0.0078125;0.033203125;0.015625;0.0234375;0.005859375;0.046875;0.0546875;0.017578125;0.0234375;0.03125;0.009765625;0.02734375;0.05078125;0.0166015625;0.0283203125;0.05078125;0.16796875;0.095703125;0.0859375;0.1328125;0.0576171875;0.0859375;0.07421875;0.0302734375;0.04296875;0.0546875;0.0166015625;0.04296875;0.0390625;0.01171875;0.03125;0.00390625;0.0;0.00927734375;0.033203125;0.07421875;0.00732421875;0.0078125;0.005859375;0.00048828125;0.6;0.0625;0.15625;0.328125;0.07421875;0.04296875;0.25;0.296875;0.0703125;0.21875;0.265625;0.05859375;0.1484375;0.15625;0.037109375;0.09375;0.1015625;0.0390625;0.013671875;0.109375;0.078125;0.025390625;0.0546875;0.0625;0.033203125;0.0625;0.0859375;0.0517578125;0.0478515625;0.0703125;0.1796875;0.1201171875;0.17578125;0.2265625;0.1103515625;0.25390625;0.23828125;0.1005859375;0.32421875;0.36328125;0.11328125;0.40625;0.37109375;0.1103515625;0.423828125;0.2578125;0.0419921875;0.095703125;0.05078125;0.125;0.06689453125;0.30078125;0.166015625;0.01806640625;0.7
6;6;69.6;0.078125;0.15625;0.34375;0.0703125;0.04296875;0.203125;0.1875;0.01953125;0.078125;0.0625;0.0078125;0.0234375;0.046875;0.009765625;0.0390625;0.0234375;0.0234375;0.0078125;0.0625;0.0859375;0.0234375;0.03125;0.0390625;0.01171875;0.03515625;0.0625;0.0234375;0.033203125;0.05859375;0.1875;0.1083984375;0.10546875;0.16015625;0.064453125;0.109375;0.09765625;0.033203125;0.0625;0.0703125;0.0185546875;0.0625;0.0546875;0.017578125;0.05078125;0.00390625;0.0;0.01416015625;0.037109375;0.08203125;0.0087890625;0.009765625;0.005859375;0.00048828125;0.7;0.078125;0.171875;0.34375;0.078125;0.046875;0.28125;0.34375;0.0859375;0.265625;0.3125;0.0703125;0.1953125;0.1875;0.04296875;0.09765625;0.140625;0.078125;0.025390625;0.1484375;0.125;0.046875;0.109375;0.125;0.060546875;0.09375;0.10546875;0.0576171875;0.0576171875;0.078125;0.18359375;0.1162109375;0.1640625;0.22265625;0.109375;0.25;0.2578125;0.1025390625;0.32421875;0.31640625;0.1083984375;0.375;0.34375;0.1044921875;0.421875;0.240234375;0.044921875;0.09423828125;0.048828125;0.123046875;0.06298828125;0.279296875;0.169921875;0.02197265625;0.7
7;7;66.29;0.078125;0.15625;0.359375;0.07421875;0.04296875;0.21875;0.21875;0.0234375;0.078125;0.0625;0.0078125;0.03125;0.046875;0.01171875;0.04296875;0.0234375;0.0234375;0.0078125;0.0703125;0.0859375;0.0234375;0.0390625;0.046875;0.01171875;0.046875;0.07421875;0.0244140625;0.037109375;0.06640625;0.2109375;0.1123046875;0.1171875;0.203125;0.0771484375;0.125;0.12109375;0.0380859375;0.07421875;0.08984375;0.021484375;0.0703125;0.0703125;0.01953125;0.0546875;0.00390625;0.00048828125;0.0185546875;0.041015625;0.08984375;0.01025390625;0.01171875;0.005859375;0.00048828125;0.7;0.078125;0.171875;0.34375;0.0703125;0.046875;0.265625;0.296875;0.0625;0.203125;0.25;0.0546875;0.140625;0.1484375;0.03515625;0.078125;0.078125;0.0390625;0.013671875;0.1015625;0.09375;0.03125;0.0703125;0.0703125;0.029296875;0.0703125;0.10546875;0.0595703125;0.0478515625;0.08203125;0.21484375;0.125;0.1796875;0.26171875;0.1240234375;0.2578125;0.26953125;0.1142578125;0.32421875;0.3203125;0.1162109375;0.3671875;0.29296875;0.1015625;0.419921875;0.201171875;0.0390625;0.095703125;0.048828125;0.126953125;0.06591796875;0.26953125;0.1640625;0.02099609375;0.7
8;8;72.39;0.078125;0.15625;0.359375;0.0703125;0.04296875;0.234375;0.234375;0.0234375;0.09375;0.078125;0.0078125;0.03125;0.0546875;0.01171875;0.046875;0.0390625;0.03125;0.009765625;0.078125;0.1015625;0.025390625;0.046875;0.0625;0.015625;0.05859375;0.0859375;0.02734375;0.0400390625;0.0703125;0.21875;0.111328125;0.125;0.22265625;0.083984375;0.14453125;0.15234375;0.048828125;0.09765625;0.1171875;0.0283203125;0.09765625;0.1015625;0.029296875;0.08203125;0.009765625;0.00048828125;0.0224609375;0.04296875;0.09765625;0.01220703125;0.015625;0.005859375;0.00048828125;0.7;0.078125;0.171875;0.359375;0.07421875;0.046875;0.28125;0.34375;0.0859375;0.265625;0.328125;0.07421875;0.1875;0.171875;0.037109375;0.08203125;0.109375;0.0625;0.01953125;0.125;0.125;0.041015625;0.09375;0.1015625;0.041015625;0.08984375;0.125;0.0634765625;0.05078125;0.0859375;0.21484375;0.1220703125;0.1640625;0.26171875;0.1171875;0.23046875;0.28515625;0.1123046875;0.3046875;0.30859375;0.115234375;0.3359375;0.29296875;0.1083984375;0.400390625;0.181640625;0.03564453125;0.087890625;0.05078125;0.1328125;0.06396484375;0.259765625;0.154296875;0.02001953125;0.7
9;9;72.96;0.09375;0.171875;0.375;0.07421875;0.046875;0.25;0.21875;0.0234375;0.09375;0.078125;0.0078125;0.0390625;0.0625;0.01171875;0.048828125;0.046875;0.03125;0.0078125;0.0859375;0.1171875;0.0234375;0.0546875;0.0703125;0.015625;0.05859375;0.09765625;0.029296875;0.0380859375;0.078125;0.234375;0.111328125;0.125;0.234375;0.0771484375;0.1328125;0.15625;0.0439453125;0.09375;0.125;0.0263671875;0.09765625;0.109375;0.0263671875;0.08203125;0.009765625;0.00048828125;0.02099609375;0.04296875;0.1015625;0.01171875;0.015625;0.005859375;0.00048828125;0.7;0.09375;0.171875;0.375;0.07421875;0.046875;0.28125;0.328125;0.0703125;0.25;0.296875;0.06640625;0.1640625;0.1640625;0.037109375;0.076171875;0.1171875;0.0703125;0.021484375;0.140625;0.140625;0.04296875;0.125;0.140625;0.052734375;0.09765625;0.1328125;0.064453125;0.052734375;0.08984375;0.23046875;0.1201171875;0.16796875;0.28515625;0.1298828125;0.234375;0.29296875;0.1142578125;0.29296875;0.296875;0.1142578125;0.3125;0.28125;0.1064453125;0.392578125;0.171875;0.03955078125;0.0869140625;0.048828125;0.1328125;0.0595703125;0.228515625;0.189453125;0.02880859375;0.7
