Epoch,flops
0,1504193040384
1,3008386080768
2,4512579121152
3,6016772161536
4,7520965201920
5,9025158242304
6,10529351282688
7,12033544323072
8,13537737363456
9,15041930403840
10,16546123444224
11,18050316484608
12,19554509524992
13,21058702565376
14,22562895605760
15,24067088646144
16,25571281686528
17,27075474726912
18,28579667767296
19,30083860807680
20,31588053848064
21,33092246888448
22,34596439928832
23,36100632969216
24,37604826009600
25,39109019049984
26,40613212090368
27,42117405130752
28,43621598171136
29,45125791211520
30,46629984251904
31,48134177292288
32,49638370332672
33,51142563373056
34,52646756413440
35,54150949453824
36,55655142494208
37,57159335534592
38,58663528574976
39,60167721615360
40,61671914655744
41,63176107696128
42,64680300736512
43,66184493776896
44,67688686817280
45,69192879857664
46,70697072898048
47,72201265938432
48,73705458978816
49,75209652019200
50,76713845059584
51,78218038099968
52,79722231140352
53,81226424180736
54,82730617221120
55,84234810261504
56,85739003301888
57,87243196342272
58,88747389382656
59,90251582423040
60,91755775463424
61,93259968503808
62,94764161544192
63,96268354584576
64,97772547624960
65,99276740665344
66,100780933705728
67,102285126746112
68,103789319786496
69,105293512826880
70,106797705867264
71,108301898907648
72,109806091948032
73,111310284988416
74,112814478028800
75,114318671069184
76,115822864109568
77,117327057149952
78,118831250190336
79,120335443230720
80,121839636271104
81,123343829311488
82,124848022351872
83,126352215392256
84,127856408432640
85,129360601473024
86,130864794513408
87,132368987553792
88,133873180594176
89,135377373634560
90,136881566674944
91,138385759715328
92,139889952755712
93,141394145796096
94,142898338836480
95,144402531876864
96,145906724917248
97,147410917957632
98,148915110998016
99,150419304038400
