Epoch,test accuracy,training accuracy
0,26.83,"(21.382, 10691, 50000)"
1,32.5,"(33.11, 16555, 50000)"
2,39.1,"(45.138, 22569, 50000)"
3,50.71,"(52.318, 26159, 50000)"
4,53.63,"(59.01, 29505, 50000)"
5,51.5,"(63.668, 31834, 50000)"
6,62.52,"(67.184, 33592, 50000)"
7,61.18,"(69.42, 34710, 50000)"
8,62.75,"(70.844, 35422, 50000)"
9,68.64,"(72.236, 36118, 50000)"
10,61.14,"(72.692, 36346, 50000)"
11,64.59,"(73.736, 36868, 50000)"
12,70.58,"(74.028, 37014, 50000)"
13,66.74,"(74.668, 37334, 50000)"
14,58.62,"(75.268, 37634, 50000)"
15,73.83,"(75.566, 37783, 50000)"
16,64.08,"(75.996, 37998, 50000)"
17,54.61,"(76.068, 38034, 50000)"
18,58.18,"(76.016, 38008, 50000)"
19,68.08,"(76.824, 38412, 50000)"
20,71.81,"(77.058, 38529, 50000)"
21,63.05,"(77.066, 38533, 50000)"
22,68.73,"(77.592, 38796, 50000)"
23,65.44,"(77.92, 38960, 50000)"
24,66.67,"(77.8, 38900, 50000)"
25,68.47,"(77.928, 38964, 50000)"
26,64.8,"(78.328, 39164, 50000)"
27,70.6,"(78.474, 39237, 50000)"
28,57.11,"(78.742, 39371, 50000)"
29,62.48,"(79.248, 39624, 50000)"
30,70.74,"(79.356, 39678, 50000)"
31,72.59,"(79.68, 39840, 50000)"
32,73.77,"(79.406, 39703, 50000)"
33,75.19,"(80.046, 40023, 50000)"
34,71.94,"(80.41, 40205, 50000)"
35,72.24,"(80.544, 40272, 50000)"
36,77.53,"(80.648, 40324, 50000)"
37,69.98,"(81.038, 40519, 50000)"
38,76.16,"(81.25, 40625, 50000)"
39,68.47,"(81.698, 40849, 50000)"
40,76.76,"(81.854, 40927, 50000)"
41,77.88,"(81.764, 40882, 50000)"
42,75.98,"(82.332, 41166, 50000)"
43,75.29,"(82.178, 41089, 50000)"
44,67.24,"(83.07, 41535, 50000)"
45,73.58,"(82.908, 41454, 50000)"
46,79.99,"(83.148, 41574, 50000)"
47,77.85,"(83.7, 41850, 50000)"
48,79.32,"(83.904, 41952, 50000)"
49,80.83,"(84.322, 42161, 50000)"
50,79.05,"(84.496, 42248, 50000)"
51,78.32,"(84.836, 42418, 50000)"
52,78.91,"(85.156, 42578, 50000)"
53,79.78,"(85.31, 42655, 50000)"
54,78.64,"(86.074, 43037, 50000)"
55,76.85,"(85.922, 42961, 50000)"
56,82.49,"(86.174, 43087, 50000)"
57,84.95,"(86.646, 43323, 50000)"
58,84.81,"(86.994, 43497, 50000)"
59,79.57,"(86.776, 43388, 50000)"
60,82.55,"(87.458, 43729, 50000)"
61,80.8,"(88.132, 44066, 50000)"
62,85.86,"(88.104, 44052, 50000)"
63,81.58,"(88.704, 44352, 50000)"
64,80.48,"(88.854, 44427, 50000)"
65,84.45,"(89.366, 44683, 50000)"
66,81.0,"(89.39, 44695, 50000)"
67,84.18,"(89.846, 44923, 50000)"
68,84.37,"(90.19, 45095, 50000)"
69,86.3,"(90.882, 45441, 50000)"
70,85.04,"(91.286, 45643, 50000)"
71,86.25,"(91.478, 45739, 50000)"
72,87.61,"(91.842, 45921, 50000)"
73,88.35,"(92.532, 46266, 50000)"
74,86.07,"(92.926, 46463, 50000)"
75,87.76,"(93.232, 46616, 50000)"
76,87.16,"(93.612, 46806, 50000)"
77,86.69,"(93.982, 46991, 50000)"
78,89.21,"(94.436, 47218, 50000)"
79,88.29,"(94.956, 47478, 50000)"
80,89.58,"(95.428, 47714, 50000)"
81,89.7,"(95.908, 47954, 50000)"
82,89.11,"(96.254, 48127, 50000)"
83,89.83,"(96.61, 48305, 50000)"
84,90.03,"(97.064, 48532, 50000)"
85,91.48,"(97.508, 48754, 50000)"
86,90.45,"(97.882, 48941, 50000)"
87,91.37,"(98.25, 49125, 50000)"
88,91.67,"(98.648, 49324, 50000)"
89,91.68,"(98.896, 49448, 50000)"
90,92.43,"(99.146, 49573, 50000)"
91,92.16,"(99.208, 49604, 50000)"
92,92.18,"(99.404, 49702, 50000)"
93,92.6,"(99.474, 49737, 50000)"
94,92.61,"(99.61, 49805, 50000)"
95,92.73,"(99.69, 49845, 50000)"
96,92.75,"(99.732, 49866, 50000)"
97,92.81,"(99.76, 49880, 50000)"
98,92.82,"(99.792, 49896, 50000)"
99,92.9,"(99.768, 49884, 50000)"
