Epoch,flops
0,407470396416
1,814940792832
2,1222411189248
3,1629881585664
4,2037351982080
5,2444822378496
6,2852292774912
7,3259763171328
8,3667233567744
9,4074703964160
10,4482174360576
11,4889644756992
12,5297115153408
13,5704585549824
14,6112055946240
15,6519526342656
16,6926996739072
17,7334467135488
18,7741937531904
19,8149407928320
20,8556878324736
21,8964348721152
22,9371819117568
23,9779289513984
24,10186759910400
25,10594230306816
26,11001700703232
27,11409171099648
28,11816641496064
29,12224111892480
30,12631582288896
31,13039052685312
32,13446523081728
33,13853993478144
34,14261463874560
35,14668934270976
36,15076404667392
37,15483875063808
38,15891345460224
39,16298815856640
40,16706286253056
41,17113756649472
42,17521227045888
43,17928697442304
44,18336167838720
45,18743638235136
46,19151108631552
47,19558579027968
48,19966049424384
49,20373519820800
50,20780990217216
51,21188460613632
52,21595931010048
53,22003401406464
54,22410871802880
55,22818342199296
56,23225812595712
57,23633282992128
58,24040753388544
59,24448223784960
60,24855694181376
61,25263164577792
62,25670634974208
63,26078105370624
64,26485575767040
65,26893046163456
66,27300516559872
67,27707986956288
68,28115457352704
69,28522927749120
70,28930398145536
71,29337868541952
72,29745338938368
73,30152809334784
74,30560279731200
75,30967750127616
76,31375220524032
77,31782690920448
78,32190161316864
79,32597631713280
80,33005102109696
81,33412572506112
82,33820042902528
83,34227513298944
84,34634983695360
85,35042454091776
86,35449924488192
87,35857394884608
88,36264865281024
89,36672335677440
90,37079806073856
91,37487276470272
92,37894746866688
93,38302217263104
94,38709687659520
95,39117158055936
96,39524628452352
97,39932098848768
98,40339569245184
99,40747039641600
