;Epoch;test_accuracy;train-saturation_features-0;train-saturation_features-4;train-saturation_features-8;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-31;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_classifier;eval-saturation_features-0;eval-saturation_features-4;eval-saturation_features-8;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-31;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_classifier
0;0;47.64;0.140625;0.5;0.625;0.734375;0.70703125;0.7890625;0.78515625;0.76171875;0.4765625;0.46875;0.3828125;0.2890625;0.2109375;0.16796875;0.146484375;0.126953125;0.5;0.15625;0.546875;0.640625;0.7265625;0.6953125;0.76953125;0.75;0.71875;0.470703125;0.4609375;0.3671875;0.2734375;0.203125;0.162109375;0.140625;0.1171875;0.4
1;1;61.47;0.140625;0.453125;0.59375;0.703125;0.67578125;0.76953125;0.7734375;0.75;0.47265625;0.462890625;0.3671875;0.267578125;0.197265625;0.158203125;0.140625;0.126953125;0.5;0.15625;0.484375;0.609375;0.6875;0.66796875;0.765625;0.76171875;0.71875;0.47265625;0.46484375;0.36328125;0.259765625;0.1875;0.15625;0.142578125;0.126953125;0.5
2;2;73.67;0.15625;0.4375;0.5859375;0.6796875;0.65234375;0.74609375;0.76171875;0.734375;0.466796875;0.455078125;0.3515625;0.24609375;0.171875;0.140625;0.130859375;0.123046875;0.6;0.15625;0.484375;0.5859375;0.6640625;0.640625;0.7421875;0.75390625;0.7109375;0.4765625;0.47265625;0.357421875;0.23828125;0.162109375;0.13671875;0.126953125;0.12109375;0.6
3;3;78.28;0.15625;0.453125;0.59375;0.6796875;0.63671875;0.72265625;0.73046875;0.70703125;0.44921875;0.431640625;0.328125;0.22265625;0.154296875;0.1328125;0.126953125;0.125;0.7;0.15625;0.484375;0.5859375;0.6484375;0.62890625;0.71875;0.73828125;0.69921875;0.46484375;0.443359375;0.322265625;0.203125;0.146484375;0.130859375;0.126953125;0.123046875;0.7
4;4;77.63;0.15625;0.453125;0.5859375;0.671875;0.6328125;0.7109375;0.72265625;0.6953125;0.44921875;0.423828125;0.31640625;0.21484375;0.15234375;0.1328125;0.126953125;0.123046875;0.7;0.171875;0.46875;0.578125;0.6484375;0.62109375;0.7109375;0.71875;0.6796875;0.453125;0.42578125;0.302734375;0.1875;0.138671875;0.126953125;0.12109375;0.1171875;0.7
5;5;79.02;0.15625;0.453125;0.5703125;0.65625;0.625;0.703125;0.71484375;0.6796875;0.42578125;0.39453125;0.29296875;0.197265625;0.146484375;0.134765625;0.12890625;0.126953125;0.7;0.171875;0.484375;0.5703125;0.6328125;0.6171875;0.703125;0.71484375;0.671875;0.439453125;0.4140625;0.2890625;0.1796875;0.13671875;0.125;0.12109375;0.119140625;0.7
6;6;82.12;0.15625;0.453125;0.5625;0.65625;0.6171875;0.69140625;0.703125;0.66796875;0.427734375;0.396484375;0.296875;0.197265625;0.142578125;0.12890625;0.125;0.125;0.7;0.171875;0.484375;0.5625;0.640625;0.61328125;0.6875;0.7109375;0.6640625;0.431640625;0.39453125;0.26953125;0.169921875;0.134765625;0.125;0.12109375;0.119140625;0.7
7;7;83.19;0.15625;0.46875;0.5703125;0.65625;0.62890625;0.69140625;0.703125;0.66796875;0.43359375;0.39453125;0.28515625;0.1875;0.140625;0.130859375;0.126953125;0.125;0.8;0.171875;0.484375;0.5625;0.6328125;0.6171875;0.6875;0.703125;0.65625;0.44140625;0.404296875;0.283203125;0.17578125;0.138671875;0.12890625;0.125;0.123046875;0.8
8;8;83.29;0.171875;0.46875;0.5625;0.6640625;0.62109375;0.68359375;0.6953125;0.66015625;0.4296875;0.380859375;0.279296875;0.1875;0.142578125;0.130859375;0.125;0.125;0.8;0.171875;0.484375;0.5546875;0.640625;0.6171875;0.6796875;0.69921875;0.65234375;0.4453125;0.396484375;0.275390625;0.177734375;0.140625;0.130859375;0.126953125;0.125;0.8
9;9;84.14;0.15625;0.46875;0.5625;0.6640625;0.625;0.68359375;0.69140625;0.65234375;0.4375;0.38671875;0.27734375;0.1796875;0.138671875;0.130859375;0.125;0.125;0.8;0.171875;0.5;0.5546875;0.6484375;0.61328125;0.68359375;0.69140625;0.64453125;0.435546875;0.37890625;0.251953125;0.16015625;0.1328125;0.125;0.12109375;0.119140625;0.8
10;10;84.03;0.171875;0.46875;0.5625;0.65625;0.609375;0.66796875;0.68359375;0.63671875;0.419921875;0.369140625;0.2578125;0.1640625;0.134765625;0.126953125;0.123046875;0.12109375;0.7;0.171875;0.5;0.546875;0.640625;0.60546875;0.66796875;0.6875;0.640625;0.427734375;0.376953125;0.25;0.16015625;0.1328125;0.125;0.12109375;0.12109375;0.8
11;11;86.24;0.15625;0.453125;0.5546875;0.6640625;0.6171875;0.67578125;0.68359375;0.63671875;0.431640625;0.375;0.267578125;0.173828125;0.13671875;0.126953125;0.12109375;0.123046875;0.8;0.171875;0.5;0.546875;0.6484375;0.61328125;0.671875;0.6875;0.640625;0.439453125;0.384765625;0.2578125;0.158203125;0.130859375;0.123046875;0.119140625;0.119140625;0.8
12;12;85.92;0.15625;0.46875;0.5546875;0.6640625;0.6171875;0.671875;0.68359375;0.625;0.423828125;0.361328125;0.251953125;0.169921875;0.134765625;0.126953125;0.119140625;0.1171875;0.8;0.171875;0.5;0.546875;0.6484375;0.609375;0.6640625;0.68359375;0.625;0.4296875;0.375;0.25;0.158203125;0.130859375;0.123046875;0.119140625;0.115234375;0.8
13;13;85.49;0.15625;0.46875;0.546875;0.671875;0.609375;0.6640625;0.671875;0.61328125;0.419921875;0.3515625;0.236328125;0.15625;0.130859375;0.123046875;0.119140625;0.1171875;0.8;0.171875;0.5;0.5390625;0.65625;0.609375;0.6640625;0.6796875;0.62890625;0.435546875;0.361328125;0.23046875;0.146484375;0.125;0.1171875;0.11328125;0.111328125;0.8
