Epoch,test accuracy,training accuracy
-1,10.0,10.03111111111111
0,10.0,10.28
1,10.16,10.126666666666667
2,10.0,10.193333333333333
3,10.0,10.08
4,18.04,10.26
5,10.0,16.293333333333333
6,16.19,10.106666666666667
7,12.58,14.72
8,10.14,12.153333333333334
9,16.7,10.52
-1,10.0,10.03111111111111
0,10.0,10.28
1,10.17,10.126666666666667
2,10.0,10.2
3,10.0,10.066666666666666
4,18.06,10.26
5,10.0,16.313333333333333
6,16.3,10.113333333333333
7,12.66,14.806666666666667
8,10.14,12.206666666666667
9,16.66,10.513333333333334
