Epoch,test accuracy,training accuracy
-1,28.72,28.31111111111111
0,58.15,52.54
1,89.69,68.15333333333334
2,90.8,92.43333333333334
3,91.27,93.26666666666667
4,91.04,93.89333333333333
5,91.32,93.70666666666666
6,91.56,93.94666666666667
7,91.49,94.23333333333333
8,91.52,94.0
9,90.77,94.0
-1,28.72,28.31111111111111
0,58.14,52.54
1,89.7,68.14666666666666
2,90.8,92.44
3,91.26,93.26666666666667
4,91.08,93.88666666666667
5,91.29,93.72
6,91.55,93.90666666666667
7,91.42,94.22666666666667
8,91.55,93.95333333333333
9,90.51,93.98666666666666
