layer_names,pr
conv1,0.0
layer1.0.conv1,0.107666016
layer1.0.conv2,0.306505
layer1.0.conv3,0.11859131
layer1.0.shortcut.0,0.11639404
layer1.1.conv1,0.21569824
layer1.1.conv2,0.31974283
layer1.1.conv3,0.113586426
layer1.2.conv1,0.22473145
layer1.2.conv2,0.32948133
layer1.2.conv3,0.11859131
layer2.0.conv1,0.22677612
layer2.0.conv2,0.46975368
layer2.0.conv3,0.16673279
layer2.0.shortcut.0,0.23401642
layer2.1.conv1,0.32141113
layer2.1.conv2,0.44666883
layer2.1.conv3,0.16329956
layer2.2.conv1,0.31803894
layer2.2.conv2,0.45387778
layer2.2.conv3,0.16345215
layer2.3.conv1,0.3197937
layer2.3.conv2,0.46187338
layer2.3.conv3,0.16485596
layer3.0.conv1,0.3223343
layer3.0.conv2,0.638131
layer3.0.conv3,0.23311234
layer3.0.shortcut.0,0.33177376
layer3.1.conv1,0.4566307
layer3.1.conv2,0.6133965
layer3.1.conv3,0.23183823
layer3.2.conv1,0.4501953
layer3.2.conv2,0.6225908
layer3.2.conv3,0.23265076
layer3.3.conv1,0.44808197
layer3.3.conv2,0.63591003
layer3.3.conv3,0.23161697
layer3.4.conv1,0.45446396
layer3.4.conv2,0.654953
layer3.4.conv3,0.23501205
layer3.5.conv1,0.45516586
layer3.5.conv2,0.6667209
layer3.5.conv3,0.23397446
layer4.0.conv1,0.46236038
layer4.0.conv2,0.89949924
layer4.0.conv3,0.33125114
layer4.0.shortcut.0,0.4685359
layer4.1.conv1,0.6589842
layer4.1.conv2,0.92418885
layer4.1.conv3,0.33207417
layer4.2.conv1,0.6580248
layer4.2.conv2,0.9383418
layer4.2.conv3,0.33198547
linear,0.0
