layer_names,pr
conv1,0.0
layer1.0.conv1,0.7661133
layer1.0.conv2,0.84209526
layer1.0.conv3,0.88427734
layer1.0.shortcut.0,0.7069702
layer1.1.conv1,0.8532715
layer1.1.conv2,0.9394531
layer1.1.conv3,0.9312744
layer1.2.conv1,0.92303467
layer1.2.conv2,0.948622
layer1.2.conv3,0.8925781
layer2.0.conv1,0.7403259
layer2.0.conv2,0.8321669
layer2.0.conv3,0.74420166
layer2.0.shortcut.0,0.71778107
layer2.1.conv1,0.82154846
layer2.1.conv2,0.826355
layer2.1.conv3,0.7468567
layer2.2.conv1,0.6285248
layer2.2.conv2,0.57539874
layer2.2.conv3,0.5403595
layer2.3.conv1,0.6211853
layer2.3.conv2,0.6327854
layer2.3.conv3,0.63523865
layer3.0.conv1,0.56456757
layer3.0.conv2,0.7295244
layer3.0.conv3,0.61912537
layer3.0.shortcut.0,0.7499809
layer3.1.conv1,0.78163147
layer3.1.conv2,0.70791626
layer3.1.conv3,0.6008377
layer3.2.conv1,0.7143822
layer3.2.conv2,0.7113478
layer3.2.conv3,0.6470337
layer3.3.conv1,0.68250656
layer3.3.conv2,0.7651435
layer3.3.conv3,0.7604904
layer3.4.conv1,0.65799713
layer3.4.conv2,0.80618453
layer3.4.conv3,0.8456116
layer3.5.conv1,0.7401581
layer3.5.conv2,0.9037747
layer3.5.conv3,0.91890335
layer4.0.conv1,0.8554535
layer4.0.conv2,0.98918915
layer4.0.conv3,0.9875698
layer4.0.shortcut.0,0.9881301
layer4.1.conv1,0.9925022
layer4.1.conv2,0.9974526
layer4.1.conv3,0.9923401
layer4.2.conv1,0.9983568
layer4.2.conv2,0.99979657
layer4.2.conv3,0.99832726
linear,0.0
