95 Percentile,Optimiser,Learning Rate,Receptive Field
0.0104517471045255,SGD,0.01,110
0.0107119474560022,SAM,0.01,110
0.0226898174732923,EKFAC,0.1,110
0.0112566836178302,SGD,0.01,213
0.0115292705595493,SAM,0.01,213
0.0228120870888233,EKFAC,0.1,213
0.0111592644825577,SGD,0.01,318
0,SAM,0.01,318
0.0223430208861827,EKFAC,0.1,318
0.0126297650858759,SGD,0.01,423
0.0128280678763985,SAM,0.01,423
0.0219820104539394,EKFAC,0.1,423
0.009752,SGD,0.1,110
0.00943,SAM,0.1,110
0.036638,EKFAC,0.01,110
0.009937,SGD,0.1,213
0.009696,SAM,0.1,213
0.036795,EKFAC,0.01,213
0.009009,SGD,0.1,318
0.008641,SAM,0.1,318
0.036901,EKFAC,0.01,318
0.006986,SGD,0.1,423
0.008604,SAM,0.1,423
0.037339,EKFAC,0.01,423
