layer_names,pr
conv1,0.0
dense1.0.conv1,0.6743827
dense1.1.conv1,0.6993313
dense1.2.conv1,0.75424385
dense1.3.conv1,0.89058644
dense1.4.conv1,0.9373714
dense1.5.conv1,0.91578484
dense1.6.conv1,0.919946
dense1.7.conv1,0.900463
dense1.8.conv1,0.93587965
dense1.9.conv1,0.9232604
dense1.10.conv1,0.9520319
dense1.11.conv1,0.94895536
trans1.conv1,0.62436223
dense2.0.conv1,0.9085648
dense2.1.conv1,0.90951645
dense2.2.conv1,0.9114583
dense2.3.conv1,0.9058642
dense2.4.conv1,0.90625
dense2.5.conv1,0.8967268
dense2.6.conv1,0.9178241
dense2.7.conv1,0.90410054
dense2.8.conv1,0.91708755
dense2.9.conv1,0.90559584
dense2.10.conv1,0.9247364
dense2.11.conv1,0.9254321
trans2.conv1,0.75329757
dense3.0.conv1,0.910019
dense3.1.conv1,0.91941017
dense3.2.conv1,0.91465497
dense3.3.conv1,0.8996381
dense3.4.conv1,0.91049385
dense3.5.conv1,0.92398447
dense3.6.conv1,0.9209105
dense3.7.conv1,0.9183735
dense3.8.conv1,0.94473946
dense3.9.conv1,0.978836
dense3.10.conv1,0.97241515
dense3.11.conv1,0.98262846
fc,0.927193
