layer_names,pr
conv1,0.0
dense1.0.conv1,0.693287
dense1.1.conv1,0.50900203
dense1.2.conv1,0.6383102
dense1.3.conv1,0.5776235
dense1.4.conv1,0.57394546
dense1.5.conv1,0.6753748
dense1.6.conv1,0.763696
dense1.7.conv1,0.69298697
dense1.8.conv1,0.6875
dense1.9.conv1,0.73905724
dense1.10.conv1,0.75533694
dense1.11.conv1,0.80709875
trans1.conv1,0.35551304
dense2.0.conv1,0.75424385
dense2.1.conv1,0.80056584
dense2.2.conv1,0.7732446
dense2.3.conv1,0.79992735
dense2.4.conv1,0.76731825
dense2.5.conv1,0.7642544
dense2.6.conv1,0.7646991
dense2.7.conv1,0.7513595
dense2.8.conv1,0.8035564
dense2.9.conv1,0.7609031
dense2.10.conv1,0.75331146
dense2.11.conv1,0.7690432
trans2.conv1,0.42449456
dense3.0.conv1,0.94533473
dense3.1.conv1,0.9008345
dense3.2.conv1,0.87841713
dense3.3.conv1,0.9247552
dense3.4.conv1,0.93984056
dense3.5.conv1,0.93849564
dense3.6.conv1,0.97417533
dense3.7.conv1,0.91189677
dense3.8.conv1,0.9608297
dense3.9.conv1,0.9618386
dense3.10.conv1,0.95143175
dense3.11.conv1,0.97754
fc,0.0
