layer_names,pr
conv1,0.0
layers.0.conv1,0.8105469
layers.0.conv2,0.65625
layers.0.conv3,0.6953125
layers.0.shortcut.0,0.453125
layers.1.conv1,0.56380206
layers.1.conv2,0.5486111
layers.1.conv3,0.5737847
layers.1.shortcut.0,0.140625
layers.2.conv1,0.5844907
layers.2.conv2,0.56635803
layers.2.conv3,0.5946181
layers.3.conv1,0.46614584
layers.3.conv2,0.43904322
layers.3.conv3,0.4652778
layers.4.conv1,0.65999347
layers.4.conv2,0.6302083
layers.4.conv3,0.65983075
layers.5.conv1,0.73567706
layers.5.conv2,0.7291667
layers.5.conv3,0.74527997
layers.6.conv1,0.7166341
layers.6.conv2,0.7019676
layers.6.conv3,0.73079425
layers.7.conv1,0.8319499
layers.7.conv2,0.8090278
layers.7.conv3,0.8404541
layers.8.conv1,0.9350179
layers.8.conv2,0.9291088
layers.8.conv3,0.94470215
layers.9.conv1,0.9479167
layers.9.conv2,0.9412616
layers.9.conv3,0.95218915
layers.10.conv1,0.87593585
layers.10.conv2,0.8689236
layers.10.conv3,0.8864746
layers.10.shortcut.0,0.13639323
layers.11.conv1,0.9346788
layers.11.conv2,0.9282407
layers.11.conv3,0.93943506
layers.12.conv1,0.9586046
layers.12.conv2,0.9544753
layers.12.conv3,0.9624204
layers.13.conv1,0.9042607
layers.13.conv2,0.8952546
layers.13.conv3,0.9097656
layers.14.conv1,0.9097526
layers.14.conv2,0.883912
layers.14.conv3,0.9193815
layers.15.conv1,0.9525391
layers.15.conv2,0.944213
layers.15.conv3,0.9575977
layers.16.conv1,0.9451497
layers.16.conv2,0.93854165
layers.16.conv3,0.95427734
layers.16.shortcut.0,0.62179685
conv2,0.8493897
linear,0.0
