layer_names,pr
conv1,0.0
layers.0.conv1,0.99609375
layers.0.conv2,0.96875
layers.0.conv3,0.9902344
layers.0.shortcut.0,0.8730469
layers.1.conv1,0.9798177
layers.1.conv2,0.9791667
layers.1.conv3,0.98480904
layers.1.shortcut.0,0.125
layers.2.conv1,1.0
layers.2.conv2,1.0
layers.2.conv3,1.0
layers.3.conv1,0.8686343
layers.3.conv2,0.85030866
layers.3.conv3,0.87109375
layers.4.conv1,0.84733075
layers.4.conv2,0.791088
layers.4.conv3,0.8068034
layers.5.conv1,0.81722003
layers.5.conv2,0.7980324
layers.5.conv3,0.82877606
layers.6.conv1,0.5782878
layers.6.conv2,0.537037
layers.6.conv3,0.5854492
layers.7.conv1,0.88081867
layers.7.conv2,0.8576389
layers.7.conv3,0.88635254
layers.8.conv1,0.93395996
layers.8.conv2,0.927662
layers.8.conv3,0.93880206
layers.9.conv1,0.976888
layers.9.conv2,0.9730903
layers.9.conv3,0.97875977
layers.10.conv1,0.79939777
layers.10.conv2,0.7809606
layers.10.conv3,0.81895614
layers.10.shortcut.0,0.25032553
layers.11.conv1,0.89791304
layers.11.conv2,0.8819444
layers.11.conv3,0.90925205
layers.12.conv1,0.930429
layers.12.conv2,0.9220679
layers.12.conv3,0.94359446
layers.13.conv1,0.83517796
layers.13.conv2,0.82021606
layers.13.conv3,0.84352213
layers.14.conv1,0.84397787
layers.14.conv2,0.8019676
layers.14.conv3,0.83925784
layers.15.conv1,0.9122396
layers.15.conv2,0.9042824
layers.15.conv3,0.9263411
layers.16.conv1,0.9217253
layers.16.conv2,0.91631943
layers.16.conv3,0.93471026
layers.16.shortcut.0,0.49267578
conv2,0.44146973
linear,0.0
