Ranks,Rf_level,sample,jacob_cov,jacob_cov_rank,snip,snip_rank,synflow,synflow_rank,grad_norm,grad_norm_rank,fisher,fisher_rank
3,3,0,3456.7564500918365,8.0,37.19965362548828,7.0,123940261797.46948,2.0,5.327399730682373,7.0,0.003215681528672576,7.0
2,4,0,3706.7894368742477,3.0,34.19009780883789,8.0,126192443000.03061,1.0,4.827335834503174,8.0,0.002847337396815419,8.0
1,5,0,3672.214604582383,7.0,40.40304946899414,6.0,103996102059.51099,3.0,5.521022319793701,6.0,0.003455236554145813,6.0
4,6,0,3683.740087491614,4.0,43.97661590576172,5.0,86333670188.13242,4.0,6.142861843109131,5.0,0.003676949068903923,5.0
5,7,0,3726.124738889447,2.0,51.780487060546875,3.0,47372627070.71366,5.0,7.183957576751709,4.0,0.004418662283569574,3.0
6,8,0,3680.9818194514683,6.0,51.6331787109375,4.0,37988118204.63054,6.0,7.246284008026123,3.0,0.004218693822622299,4.0
7,9,0,3743.37937503442,1.0,90.3392333984375,2.0,34574275518.80467,7.0,13.589823722839355,2.0,0.014590205624699593,2.0
8,10,0,3682.9614373763347,5.0,92.53462982177734,1.0,20340565228.339462,8.0,14.193252563476562,1.0,0.014623736962676048,1.0
3,3,1,3692.1261905993833,3.0,34.15678405761719,8.0,129457460898.52307,1.0,4.848402976989746,8.0,0.003052870277315378,7.0
2,4,1,3897.923836380896,1.0,36.12322235107422,7.0,127940703429.61932,2.0,5.1393537521362305,7.0,0.0028932548593729734,8.0
1,5,1,3673.826698312951,5.0,38.979400634765625,6.0,106389069956.696,3.0,5.467219352722168,6.0,0.003373746294528246,6.0
4,6,1,3678.811730359043,4.0,43.34025192260742,5.0,86610311674.2064,4.0,6.033519744873047,5.0,0.003632247680798173,5.0
5,7,1,3649.9268696783442,6.0,52.59709930419922,3.0,47348424295.82274,5.0,7.351396083831787,3.0,0.004427892155945301,3.0
6,8,1,2601.354383274911,8.0,51.30042266845703,4.0,38561805110.1301,6.0,7.226417541503906,4.0,0.004168352112174034,4.0
7,9,1,3732.0251109276983,2.0,91.89923858642578,1.0,32721660210.072067,7.0,14.012815475463867,1.0,0.015113279223442078,1.0
8,10,1,3645.719085513426,7.0,91.46568298339844,2.0,21126517948.654945,8.0,13.98816204071045,2.0,0.014784596860408783,2.0
3,3,2,3777.2344087382917,2.0,34.2983283996582,7.0,126940522878.85207,2.0,4.812610626220703,8.0,0.002953452756628394,7.0
2,4,2,3610.0698609332785,7.0,34.179832458496094,8.0,131493712986.80438,1.0,4.873849868774414,7.0,0.002778551308438182,8.0
1,5,2,3659.6934583374295,5.0,40.85381317138672,6.0,102274776873.0501,3.0,5.782829761505127,6.0,0.0033139355946332216,6.0
4,6,2,3651.2106567857772,6.0,43.275909423828125,5.0,88975442968.11818,4.0,6.010045051574707,5.0,0.003707779571413994,5.0
5,7,2,3806.7527027060473,1.0,51.89933776855469,3.0,47136590858.01317,5.0,7.331085205078125,4.0,0.004251750651746988,3.0
6,8,2,3593.1553863651043,8.0,51.35720443725586,4.0,37869120609.653206,6.0,7.3456034660339355,3.0,0.004118652082979679,4.0
7,9,2,3769.425664993999,3.0,91.47977447509766,1.0,33440381904.758232,7.0,13.95785140991211,2.0,0.014449027366936207,2.0
8,10,2,3728.8315695880783,4.0,91.32894134521484,2.0,20638266340.43015,8.0,14.144516944885254,1.0,0.01450030505657196,1.0
3,3,3,3718.473756908031,2.0,35.319454193115234,8.0,130121304430.5209,1.0,4.951077938079834,8.0,0.0030996815767139196,8.0
2,4,3,3616.589953676855,8.0,37.97296142578125,7.0,125727964442.0214,2.0,5.210049152374268,7.0,0.0032297151628881693,7.0
1,5,3,3707.883932169502,3.0,39.28329086303711,6.0,106275935158.76706,3.0,5.48969841003418,6.0,0.003345414064824581,6.0
4,6,3,3689.994729272371,4.0,43.288795471191406,5.0,88874080246.03307,4.0,6.056240558624268,5.0,0.003563209902495146,5.0
5,7,3,3890.7796073283425,1.0,51.697269439697266,3.0,47165899323.02472,5.0,7.155154228210449,4.0,0.004567382391542196,3.0
6,8,3,3655.330191838147,6.0,51.506256103515625,4.0,37204366184.02039,6.0,7.200050354003906,3.0,0.0043396963737905025,4.0
7,9,3,3681.362148563278,5.0,92.56439208984375,1.0,32395993190.417072,7.0,14.109926223754883,1.0,0.014629107899963856,2.0
8,10,3,3646.5396311163036,7.0,91.6954116821289,2.0,20792056037.49732,8.0,14.059925079345703,2.0,0.014945652335882187,1.0
3,3,4,3730.182360213783,3.0,37.10788345336914,7.0,129205872042.34843,2.0,5.335263252258301,7.0,0.0029668393544852734,8.0
2,4,4,3674.1738956979225,7.0,35.114158630371094,8.0,129274154112.6286,1.0,4.900517463684082,8.0,0.0030687053222209215,7.0
1,5,4,3710.3438415096552,5.0,39.02545166015625,6.0,105512177854.09155,3.0,5.447771072387695,6.0,0.003459814004600048,6.0
4,6,4,3831.725129058541,1.0,43.692832946777344,5.0,85025495442.73758,4.0,6.0994415283203125,5.0,0.0035655710380524397,5.0
5,7,4,3736.0701694634863,2.0,52.35700988769531,3.0,44958882718.46753,5.0,7.29802131652832,3.0,0.004666861146688461,3.0
6,8,4,3666.0592494024886,8.0,51.47396469116211,4.0,38044754218.1472,6.0,7.276427268981934,4.0,0.004136022180318832,4.0
7,9,4,3684.8982964145816,6.0,92.42550659179688,1.0,34011757486.154324,7.0,14.07893180847168,1.0,0.01482123788446188,2.0
8,10,4,3718.154227621578,4.0,91.66107177734375,2.0,20678471276.427746,8.0,14.072741508483887,2.0,0.01500113308429718,1.0
