;name;train_acc;eval_acc
0;train-conv1;0.05568479668207034;0.06
1;train-layer1-0-conv1_1x1;0.08313771723912883;0.0944
2;train-layer1-0-conv2_1x1;0.08297982084021938;0.0945
3;train-layer1-0-conv3_3x3;0.08208507457973242;0.0923
4;train-layer1-0-conv4_1x1;0.08315877009231676;0.0885
5;train-layer1-0-conv5_1x1;0.11298013663301719;0.1239
6;train-layer1-0-shortcut-0;0.12328550826850809;0.1396
7;train-layer2-0-conv1_1x1;0.21703386351435278;0.2317
8;train-layer2-0-conv2_1x1;0.17044389940946747;0.1924
9;train-layer2-0-conv3_3x3;0.20539163570142843;0.204
10;train-layer2-0-conv4_1x1;0.20332845608901146;0.219
11;train-layer2-0-conv5_1x1;0.22404446362593292;0.2342
12;train-layer2-0-shortcut-0;0.2073706039010937;0.2167
13;train-layer3-0-conv1_1x1;0.3513615932799293;0.3446
14;train-layer3-0-conv2_1x1;0.31310855903746354;0.318
15;train-layer3-0-conv3_3x3;0.3452036337224602;0.3441
16;train-layer3-0-conv4_1x1;0.3489720944430994;0.3586
17;train-layer3-0-conv5_1x1;0.3903093716775966;0.3852
18;train-layer3-0-shortcut-0;0.31896125222370764;0.2999
19;train-layer3-1-conv1_1x1;0.38560405899009464;0.3724
20;train-layer3-1-conv2_1x1;0.31863493299929474;0.3231
21;train-layer3-1-conv3_3x3;0.3238139348835251;0.3231
22;train-layer3-1-conv4_1x1;0.33939304624259203;0.3341
23;train-layer3-1-conv5_1x1;0.38553037400393686;0.3728
24;train-layer4-0-conv1_1x1;0.5617848608932725;0.5086
25;train-layer4-0-conv2_1x1;0.5466162801713702;0.518
26;train-layer4-0-conv3_3x3;0.6408804303203192;0.5823
27;train-layer4-0-conv4_1x1;0.6365119632838241;0.5954
28;train-layer4-0-conv5_1x1;0.7793660985905114;0.6555
29;train-layer4-0-shortcut-0;0.6195538900409479;0.493
30;train-linear;0.7341129906630596;0.6638
