;name;train_acc;eval_acc
0;train-conv1;0.35915555555555556;0.3761
1;train-layer1-0-conv1;0.6115111111111111;0.6276
2;train-layer1-0-conv2;0.596;0.6241
3;train-layer1-0-conv3;0.5872444444444445;0.6075
4;train-layer1-0-shortcut-0;0.6311333333333333;0.6474
5;train-layer1-1-conv1;0.6963333333333334;0.6985
6;train-layer1-1-conv2;0.6976888888888889;0.7041
7;train-layer1-1-conv3;0.7119555555555556;0.7119
8;train-layer1-2-conv1;0.7408444444444444;0.7393
9;train-layer1-2-conv2;0.7303333333333333;0.7315
10;train-layer1-2-conv3;0.7295777777777778;0.7272
11;train-layer2-0-conv1;0.8428666666666667;0.8122
12;train-layer2-0-conv2;0.8919777777777778;0.8254
13;train-layer2-0-conv3;0.8955333333333333;0.8371
14;train-layer2-0-shortcut-0;0.8361111111111111;0.7768
15;train-layer2-1-conv1;0.9079555555555555;0.8439
16;train-layer2-1-conv2;0.8763333333333333;0.8386
17;train-layer2-1-conv3;0.8826444444444445;0.8361
18;train-layer2-2-conv1;0.9486;0.8721
19;train-layer2-2-conv2;0.9120666666666667;0.854
20;train-layer2-2-conv3;0.9105777777777778;0.85
21;train-layer2-3-conv1;0.9743777777777778;0.8892
22;train-layer2-3-conv2;0.9405333333333333;0.8755
23;train-layer2-3-conv3;0.9092;0.8469
24;train-layer3-0-conv1;0.9965555555555555;0.9014
25;train-layer3-0-conv2;0.9948666666666667;0.9037
26;train-layer3-0-conv3;0.9931111111111111;0.9035
27;train-layer3-0-shortcut-0;0.9519333333333333;0.8753
28;train-layer3-1-conv1;0.9877777777777778;0.8991
29;train-layer3-1-conv2;0.8206666666666667;0.7374
30;train-layer3-1-conv3;0.7211777777777778;0.6469
31;train-layer3-2-conv1;0.9902888888888889;0.8998
32;train-layer3-2-conv2;0.8108888888888889;0.7271
33;train-layer3-2-conv3;0.7527555555555555;0.6734
34;train-layer3-3-conv1;0.9869111111111111;0.8962
35;train-layer3-3-conv2;0.5190222222222223;0.4818
36;train-layer3-3-conv3;0.4885555555555556;0.4552
37;train-layer3-4-conv1;0.9836;0.8924
38;train-layer3-4-conv2;0.5274444444444445;0.4925
39;train-layer3-4-conv3;0.47946666666666665;0.4569
40;train-layer3-5-conv1;0.9888888888888889;0.9011
41;train-layer3-5-conv2;0.6326222222222222;0.5838
42;train-layer3-5-conv3;0.5254;0.4791
43;train-layer4-0-conv1;0.9938888888888889;0.9089
44;train-layer4-0-conv2;0.9768;0.8898
45;train-layer4-0-conv3;0.9534;0.8727
46;train-layer4-0-shortcut-0;0.9896666666666667;0.8992
47;train-layer4-1-conv1;0.10044444444444445;0.1
48;train-layer4-1-conv2;0.10055555555555555;0.1
49;train-layer4-1-conv3;0.10055555555555555;0.1
50;train-layer4-2-conv1;0.10055555555555555;0.1
51;train-layer4-2-conv2;0.10055555555555555;0.1
52;train-layer4-2-conv3;0.10055555555555555;0.1
53;train-linear;0.9943777777777778;0.9087
