;name;train_acc;eval_acc
0;train-classifier;0.9512222222222222;0.8592
1;train-features-0;0.35973333333333335;0.3784
2;train-features-11;0.8833333333333333;0.8201
3;train-features-15;0.9320444444444445;0.8553
4;train-features-18;0.9516444444444444;0.8661
5;train-features-21;0.9510888888888889;0.8612
6;train-features-24;0.9509555555555556;0.8593
7;train-features-28;0.9489333333333333;0.8591
8;train-features-31;0.9441111111111111;0.8559
9;train-features-34;0.9443555555555555;0.856
10;train-features-37;0.9446888888888889;0.8561
11;train-features-4;0.6849555555555555;0.685
12;train-features-40;0.9464888888888889;0.8575
13;train-features-43;0.9475333333333333;0.8593
14;train-features-46;0.9479777777777778;0.8596
15;train-features-49;0.9507555555555556;0.8594
16;train-features-8;0.7864888888888889;0.7642
