layer_names,pr
conv1,0.0
layer1.0.conv1,0.6418457
layer1.0.conv2,0.6635742
layer1.0.conv3,0.7825928
layer1.0.shortcut.0,0.6055298
layer1.1.conv1,0.9019165
layer1.1.conv2,0.9838325
layer1.1.conv3,0.9851074
layer1.2.conv1,0.6876221
layer1.2.conv2,0.8251953
layer1.2.conv3,0.8102417
layer2.0.conv1,0.6928406
layer2.0.conv2,0.73811847
layer2.0.conv3,0.70695496
layer2.0.shortcut.0,0.66976166
layer2.1.conv1,0.6877899
layer2.1.conv2,0.72056746
layer2.1.conv3,0.7497406
layer2.2.conv1,0.57318115
layer2.2.conv2,0.58650714
layer2.2.conv3,0.71318054
layer2.3.conv1,0.7368469
layer2.3.conv2,0.83445233
layer2.3.conv3,0.8310394
layer3.0.conv1,0.40478516
layer3.0.conv2,0.49381003
layer3.0.conv3,0.42469406
layer3.0.shortcut.0,0.60533714
layer3.1.conv1,0.604187
layer3.1.conv2,0.48788792
layer3.1.conv3,0.4174385
layer3.2.conv1,0.5490837
layer3.2.conv2,0.51032
layer3.2.conv3,0.43450928
layer3.3.conv1,0.45988083
layer3.3.conv2,0.50553215
layer3.3.conv3,0.517025
layer3.4.conv1,0.43659973
layer3.4.conv2,0.5681339
layer3.4.conv3,0.6440697
layer3.5.conv1,0.4224472
layer3.5.conv2,0.61610246
layer3.5.conv3,0.74624634
layer4.0.conv1,0.5253105
layer4.0.conv2,0.87551796
layer4.0.conv3,0.9351435
layer4.0.shortcut.0,0.9669771
layer4.1.conv1,0.9468851
layer4.1.conv2,0.94257694
layer4.1.conv3,0.9477024
layer4.2.conv1,0.99201775
layer4.2.conv2,0.99787563
layer4.2.conv3,0.9893856
linear,0.0
