layer_names,pr
conv1,0.0
layer1.0.conv1,0.6237793
layer1.0.conv2,0.62190753
layer1.0.conv3,0.7344971
layer1.0.shortcut.0,0.7157593
layer1.1.conv1,1.0
layer1.1.conv2,1.0
layer1.1.conv3,1.0
layer1.2.conv1,1.0
layer1.2.conv2,1.0
layer1.2.conv3,1.0
layer2.0.conv1,0.81314087
layer2.0.conv2,0.85706246
layer2.0.conv3,0.84906006
layer2.0.shortcut.0,0.8709488
layer2.1.conv1,0.95121765
layer2.1.conv2,0.9590522
layer2.1.conv3,0.95500183
layer2.2.conv1,0.9528656
layer2.2.conv2,0.959059
layer2.2.conv3,0.9680939
layer2.3.conv1,0.88375854
layer2.3.conv2,0.8613078
layer2.3.conv3,0.90560913
layer3.0.conv1,0.801857
layer3.0.conv2,0.892668
layer3.0.conv3,0.8232422
layer3.0.shortcut.0,0.91638756
layer3.1.conv1,0.98659515
layer3.1.conv2,0.9874641
layer3.1.conv3,0.9739647
layer3.2.conv1,0.96110916
layer3.2.conv2,0.96498275
layer3.2.conv3,0.92466736
layer3.3.conv1,0.92941666
layer3.3.conv2,0.9370219
layer3.3.conv3,0.8773804
layer3.4.conv1,0.9122391
layer3.4.conv2,0.944163
layer3.4.conv3,0.8958435
layer3.5.conv1,0.8758011
layer3.5.conv2,0.8866696
layer3.5.conv3,0.86258316
layer4.0.conv1,0.6609001
layer4.0.conv2,0.87680775
layer4.0.conv3,0.8900242
layer4.0.shortcut.0,0.9730425
layer4.1.conv1,0.90077686
layer4.1.conv2,0.87486947
layer4.1.conv3,0.90100193
layer4.2.conv1,0.8338003
layer4.2.conv2,0.89384586
layer4.2.conv3,0.9179077
linear,0.0
