layer_names,pr
conv1,0.0
layer1.0.conv1,0.40649414
layer1.0.conv2,0.7029351
layer1.0.conv3,0.74560547
layer1.0.shortcut.0,0.5515137
layer1.1.conv1,0.86157227
layer1.1.conv2,0.9720595
layer1.1.conv3,0.8897095
layer1.2.conv1,0.8548584
layer1.2.conv2,0.99335396
layer1.2.conv3,0.9732666
layer2.0.conv1,0.54345703
layer2.0.conv2,0.6156006
layer2.0.conv3,0.37457275
layer2.0.shortcut.0,0.25764465
layer2.1.conv1,0.6080475
layer2.1.conv2,0.9767185
layer2.1.conv3,0.98117065
layer2.2.conv1,0.5063324
layer2.2.conv2,0.8317193
layer2.2.conv3,0.9003906
layer2.3.conv1,0.35220337
layer2.3.conv2,0.80497235
layer2.3.conv3,0.81181335
layer3.0.conv1,0.27805328
layer3.0.conv2,0.7098796
layer3.0.conv3,0.13421631
layer3.0.shortcut.0,0.044487
layer3.1.conv1,1.0
layer3.1.conv2,1.0
layer3.1.conv3,1.0
layer3.2.conv1,1.0
layer3.2.conv2,1.0
layer3.2.conv3,1.0
layer3.3.conv1,1.0
layer3.3.conv2,1.0
layer3.3.conv3,1.0
layer3.4.conv1,1.0
layer3.4.conv2,1.0
layer3.4.conv3,1.0
layer3.5.conv1,1.0
layer3.5.conv2,1.0
layer3.5.conv3,1.0
layer4.0.conv1,0.9999733
layer4.0.conv2,0.99998516
layer4.0.conv3,0.99986935
layer4.0.shortcut.0,0.5853567
layer4.1.conv1,0.9998026
layer4.1.conv2,1.0
layer4.1.conv3,0.9999943
layer4.2.conv1,0.9509258
layer4.2.conv2,0.99675584
layer4.2.conv3,0.99884796
linear,0.0
