layer_names,pr
conv1,0.0
layer1.0.conv1,0.7991536
layer1.0.conv2,0.7753635
layer1.1.conv1,0.78255206
layer1.1.conv2,0.8008355
layer2.0.conv1,0.7352159
layer2.0.conv2,0.7872111
layer2.0.shortcut.0,0.6636963
layer2.1.conv1,0.88880754
layer2.1.conv2,0.8942803
layer3.0.conv1,0.7947557
layer3.0.conv2,0.8495704
layer3.0.shortcut.0,0.6309509
layer3.1.conv1,0.9184859
layer3.1.conv2,0.91999984
layer4.0.conv1,0.84555817
layer4.0.conv2,0.89110523
layer4.0.shortcut.0,0.7621994
layer4.1.conv1,0.89858586
layer4.1.conv2,0.986048
linear,0.0
