layer_names,pr
conv1,0.0
layer1.0.conv1,0.6924913
layer1.0.conv2,0.5626628
layer1.1.conv1,0.55422634
layer1.1.conv2,0.6439616
layer2.0.conv1,0.53356934
layer2.0.conv2,0.63117814
layer2.0.shortcut.0,0.50354004
layer2.1.conv1,0.7843221
layer2.1.conv2,0.7897475
layer3.0.conv1,0.55281234
layer3.0.conv2,0.6164262
layer3.0.shortcut.0,0.44647217
layer3.1.conv1,0.73232186
layer3.1.conv2,0.7348548
layer4.0.conv1,0.5788133
layer4.0.conv2,0.6259808
layer4.0.shortcut.0,0.5082474
layer4.1.conv1,0.6395467
layer4.1.conv2,0.9364594
linear,0.0
