layer_names,pr
conv1,0.0
layer1.0.conv1,0.4031304
layer1.0.conv2,0.24514431
layer1.1.conv1,0.25613064
layer1.1.conv2,0.31334093
layer2.0.conv1,0.17042372
layer2.0.conv2,0.2758857
layer2.0.shortcut.0,0.22644043
layer2.1.conv1,0.53914386
layer2.1.conv2,0.5442708
layer3.0.conv1,0.16742621
layer3.0.conv2,0.19517857
layer3.0.shortcut.0,0.13339233
layer3.1.conv1,0.44052634
layer3.1.conv2,0.44196403
layer4.0.conv1,0.20053779
layer4.0.conv2,0.2246259
layer4.0.shortcut.0,0.15258789
layer4.1.conv1,0.21069676
layer4.1.conv2,0.47238752
linear,0.0
