Epoch,test accuracy,training accuracy
0,5.64,"(4.823157894736842, 4582, 95000)"
1,11.62,"(11.796842105263158, 11207, 95000)"
2,17.93,"(18.006315789473685, 17106, 95000)"
3,21.26,"(23.324210526315788, 22158, 95000)"
4,27.54,"(27.94, 26543, 95000)"
5,24.08,"(30.992631578947368, 29443, 95000)"
6,29.51,"(33.8378947368421, 32146, 95000)"
7,33.97,"(36.22736842105263, 34416, 95000)"
8,33.09,"(37.66, 35777, 95000)"
9,37.79,"(38.82947368421053, 36888, 95000)"
10,36.1,"(40.12315789473684, 38117, 95000)"
11,40.91,"(41.218947368421055, 39158, 95000)"
12,36.26,"(41.932631578947365, 39836, 95000)"
13,40.04,"(42.67052631578947, 40537, 95000)"
14,40.28,"(43.15894736842105, 41001, 95000)"
15,42.57,"(43.78, 41591, 95000)"
16,41.18,"(44.009473684210526, 41809, 95000)"
17,40.73,"(44.72736842105263, 42491, 95000)"
18,42.37,"(45.025263157894734, 42774, 95000)"
19,41.43,"(45.38315789473684, 43114, 95000)"
20,35.69,"(45.58842105263158, 43309, 95000)"
21,41.75,"(46.07684210526316, 43773, 95000)"
22,44.1,"(46.183157894736844, 43874, 95000)"
23,41.55,"(46.49894736842105, 44174, 95000)"
24,38.45,"(46.77157894736842, 44433, 95000)"
25,41.31,"(46.80105263157895, 44461, 95000)"
26,41.0,"(47.130526315789474, 44774, 95000)"
27,39.23,"(47.334736842105265, 44968, 95000)"
28,46.19,"(47.55263157894737, 45175, 95000)"
29,41.47,"(47.806315789473686, 45416, 95000)"
30,40.19,"(47.86, 45467, 95000)"
31,43.09,"(48.21052631578947, 45800, 95000)"
32,45.24,"(48.15263157894737, 45745, 95000)"
33,44.4,"(48.59684210526316, 46167, 95000)"
34,42.25,"(48.794736842105266, 46355, 95000)"
35,44.23,"(48.84842105263158, 46406, 95000)"
36,46.46,"(48.96, 46512, 95000)"
37,46.41,"(49.24315789473684, 46781, 95000)"
38,42.37,"(49.25578947368421, 46793, 95000)"
39,45.35,"(49.12105263157895, 46665, 95000)"
40,47.16,"(49.550526315789476, 47073, 95000)"
41,39.99,"(49.834736842105265, 47343, 95000)"
42,42.62,"(49.706315789473685, 47221, 95000)"
43,43.34,"(49.96526315789474, 47467, 95000)"
44,46.1,"(49.94421052631579, 47447, 95000)"
45,48.75,"(50.415789473684214, 47895, 95000)"
46,46.45,"(50.08315789473684, 47579, 95000)"
47,46.25,"(50.44842105263158, 47926, 95000)"
48,46.1,"(50.71368421052632, 48178, 95000)"
49,46.04,"(50.70421052631579, 48169, 95000)"
50,43.39,"(50.64, 48108, 95000)"
51,41.85,"(51.03052631578947, 48479, 95000)"
52,46.46,"(50.88947368421053, 48345, 95000)"
53,46.84,"(51.37684210526316, 48808, 95000)"
