layer_names,pr
conv1,0.0
layer1.0.conv1,0.32006836
layer1.0.conv2,0.36043295
layer1.0.conv3,0.40625
layer1.0.shortcut.0,0.43841553
layer1.1.conv1,0.44873047
layer1.1.conv2,0.4965278
layer1.1.conv3,0.585022
layer1.2.conv1,0.5498657
layer1.2.conv2,0.6691081
layer1.2.conv3,0.729187
layer2.0.conv1,0.31655884
layer2.0.conv2,0.4460856
layer2.0.conv3,0.5602112
layer2.0.shortcut.0,0.50733185
layer2.1.conv1,0.76116943
layer2.1.conv2,0.81255424
layer2.1.conv3,0.8656769
layer2.2.conv1,0.75219727
layer2.2.conv2,0.7829997
layer2.2.conv3,0.84376526
layer2.3.conv1,0.7105713
layer2.3.conv2,0.82578534
layer2.3.conv3,0.899704
layer3.0.conv1,0.39598846
layer3.0.conv2,0.50331116
layer3.0.conv3,0.5072708
layer3.0.shortcut.0,0.62729645
layer3.1.conv1,0.8310547
layer3.1.conv2,0.8607686
layer3.1.conv3,0.82169724
layer3.2.conv1,0.8556099
layer3.2.conv2,0.8942735
layer3.2.conv3,0.8000488
layer3.3.conv1,0.6423683
layer3.3.conv2,0.6842973
layer3.3.conv3,0.7093468
layer3.4.conv1,0.67697906
layer3.4.conv2,0.75384355
layer3.4.conv3,0.7173195
layer3.5.conv1,0.45692825
layer3.5.conv2,0.46368408
layer3.5.conv3,0.5491562
layer4.0.conv1,0.27293205
layer4.0.conv2,0.43301773
layer4.0.conv3,0.5324669
layer4.0.shortcut.0,0.7367697
layer4.1.conv1,0.5130129
layer4.1.conv2,0.4569414
layer4.1.conv3,0.5604696
layer4.2.conv1,0.5708103
layer4.2.conv2,0.6443859
layer4.2.conv3,0.6635332
linear,0.0
