layer_names,pr
conv1,0.0
layer1.0.conv1,0.56689453
layer1.0.conv2,0.67304146
layer1.0.conv3,0.7145386
layer1.0.shortcut.0,0.6654053
layer1.1.conv1,0.63586426
layer1.1.conv2,0.5568305
layer1.1.conv3,0.64575195
layer1.2.conv1,0.7626953
layer1.2.conv2,0.8217231
layer1.2.conv3,0.8399658
layer2.0.conv1,0.5534363
layer2.0.conv2,0.7215576
layer2.0.conv3,0.7290802
layer2.0.shortcut.0,0.76888275
layer2.1.conv1,0.907959
layer2.1.conv2,0.91548663
layer2.1.conv3,0.9073334
layer2.2.conv1,0.84872437
layer2.2.conv2,0.8189223
layer2.2.conv3,0.8486481
layer2.3.conv1,0.8530121
layer2.3.conv2,0.8863051
layer2.3.conv3,0.88749695
layer3.0.conv1,0.56225586
layer3.0.conv2,0.7471195
layer3.0.conv3,0.6233597
layer3.0.shortcut.0,0.8139763
layer3.1.conv1,0.95771027
layer3.1.conv2,0.96306527
layer3.1.conv3,0.88420105
layer3.2.conv1,0.9272499
layer3.2.conv2,0.9367557
layer3.2.conv3,0.8355522
layer3.3.conv1,0.8394966
layer3.3.conv2,0.8636525
layer3.3.conv3,0.7891121
layer3.4.conv1,0.87974167
layer3.4.conv2,0.9453871
layer3.4.conv3,0.8813858
layer3.5.conv1,0.92931366
layer3.5.conv2,0.9853804
layer3.5.conv3,0.9718437
layer4.0.conv1,0.57463264
layer4.0.conv2,0.81042695
layer4.0.conv3,0.8755989
layer4.0.shortcut.0,0.97063875
layer4.1.conv1,0.9351587
layer4.1.conv2,0.9452057
layer4.1.conv3,0.94514465
layer4.2.conv1,0.9734669
layer4.2.conv2,0.98686814
layer4.2.conv3,0.97879887
linear,0.0
