layer_names,pr
conv1,0.0
layer1.0.conv1,0.46289062
layer1.0.conv2,0.609375
layer1.0.conv3,0.5385742
layer1.0.shortcut.0,0.36553955
layer1.1.conv1,0.55010986
layer1.1.conv2,0.5698242
layer1.1.conv3,0.41070557
layer1.2.conv1,0.38458252
layer1.2.conv2,0.5065918
layer1.2.conv3,0.34381104
layer2.0.conv1,0.33102417
layer2.0.conv2,0.7828776
layer2.0.conv3,0.31776428
layer2.0.shortcut.0,0.06726074
layer2.1.conv1,1.0
layer2.1.conv2,1.0
layer2.1.conv3,1.0
layer2.2.conv1,1.0
layer2.2.conv2,1.0
layer2.2.conv3,1.0
layer2.3.conv1,1.0
layer2.3.conv2,1.0
layer2.3.conv3,1.0
layer3.0.conv1,0.5867233
layer3.0.conv2,0.99928963
layer3.0.conv3,0.9994087
layer3.0.shortcut.0,0.14615631
layer3.1.conv1,1.0
layer3.1.conv2,1.0
layer3.1.conv3,1.0
layer3.2.conv1,1.0
layer3.2.conv2,1.0
layer3.2.conv3,1.0
layer3.3.conv1,1.0
layer3.3.conv2,1.0
layer3.3.conv3,1.0
layer3.4.conv1,1.0
layer3.4.conv2,1.0
layer3.4.conv3,1.0
layer3.5.conv1,1.0
layer3.5.conv2,1.0
layer3.5.conv3,1.0
layer4.0.conv1,1.0
layer4.0.conv2,1.0
layer4.0.conv3,1.0
layer4.0.shortcut.0,0.27769613
layer4.1.conv1,1.0
layer4.1.conv2,1.0
layer4.1.conv3,1.0
layer4.2.conv1,1.0
layer4.2.conv2,1.0
layer4.2.conv3,1.0
linear,0.0
