Epoch,test accuracy,training accuracy
0,15.22,"(14.8, 7400, 50000)"
1,19.47,"(17.704, 8852, 50000)"
2,22.22,"(20.816, 10408, 50000)"
3,23.29,"(22.104, 11052, 50000)"
4,24.77,"(24.054, 12027, 50000)"
5,22.25,"(25.304, 12652, 50000)"
6,26.86,"(27.022, 13511, 50000)"
7,28.38,"(29.128, 14564, 50000)"
8,27.8,"(30.184, 15092, 50000)"
9,30.96,"(31.718, 15859, 50000)"
10,26.66,"(32.636, 16318, 50000)"
11,29.73,"(33.63, 16815, 50000)"
12,31.89,"(34.578, 17289, 50000)"
13,34.82,"(35.886, 17943, 50000)"
14,31.86,"(35.686, 17843, 50000)"
15,34.32,"(36.038, 18019, 50000)"
16,32.27,"(37.632, 18816, 50000)"
17,35.36,"(37.722, 18861, 50000)"
18,33.37,"(37.828, 18914, 50000)"
19,29.62,"(38.442, 19221, 50000)"
20,33.68,"(39.656, 19828, 50000)"
21,35.55,"(39.962, 19981, 50000)"
22,34.13,"(39.932, 19966, 50000)"
23,33.04,"(40.462, 20231, 50000)"
24,34.58,"(40.372, 20186, 50000)"
25,36.3,"(40.674, 20337, 50000)"
26,37.31,"(40.814, 20407, 50000)"
27,39.01,"(41.332, 20666, 50000)"
28,38.23,"(41.804, 20902, 50000)"
29,34.08,"(41.942, 20971, 50000)"
30,30.72,"(42.058, 21029, 50000)"
31,34.43,"(41.808, 20904, 50000)"
32,35.73,"(42.188, 21094, 50000)"
33,35.14,"(42.316, 21158, 50000)"
34,38.75,"(42.658, 21329, 50000)"
35,30.43,"(42.386, 21193, 50000)"
36,36.65,"(42.382, 21191, 50000)"
37,31.68,"(42.938, 21469, 50000)"
38,35.88,"(42.668, 21334, 50000)"
39,37.57,"(43.184, 21592, 50000)"
40,32.05,"(43.138, 21569, 50000)"
41,38.83,"(43.3, 21650, 50000)"
42,40.08,"(43.518, 21759, 50000)"
43,36.55,"(43.04, 21520, 50000)"
44,41.33,"(44.022, 22011, 50000)"
45,37.71,"(43.658, 21829, 50000)"
46,37.69,"(43.816, 21908, 50000)"
47,31.58,"(44.172, 22086, 50000)"
48,36.09,"(44.32, 22160, 50000)"
49,37.65,"(44.27, 22135, 50000)"
50,38.62,"(44.124, 22062, 50000)"
51,32.23,"(44.098, 22049, 50000)"
52,36.84,"(44.22, 22110, 50000)"
53,37.7,"(44.874, 22437, 50000)"
54,39.66,"(44.598, 22299, 50000)"
55,34.26,"(44.814, 22407, 50000)"
56,36.9,"(45.032, 22516, 50000)"
57,38.98,"(44.996, 22498, 50000)"
58,36.47,"(44.76, 22380, 50000)"
59,39.55,"(45.058, 22529, 50000)"
60,37.56,"(45.194, 22597, 50000)"
61,36.77,"(45.69, 22845, 50000)"
62,39.46,"(45.692, 22846, 50000)"
63,30.1,"(45.656, 22828, 50000)"
64,42.92,"(46.078, 23039, 50000)"
65,37.5,"(45.97, 22985, 50000)"
66,43.33,"(46.264, 23132, 50000)"
67,42.28,"(46.044, 23022, 50000)"
68,43.53,"(46.492, 23246, 50000)"
69,39.77,"(46.248, 23124, 50000)"
70,38.89,"(46.408, 23204, 50000)"
71,35.95,"(46.396, 23198, 50000)"
72,42.91,"(46.776, 23388, 50000)"
73,39.44,"(46.994, 23497, 50000)"
74,39.09,"(46.908, 23454, 50000)"
75,41.8,"(47.056, 23528, 50000)"
76,39.78,"(46.866, 23433, 50000)"
77,39.49,"(47.268, 23634, 50000)"
78,35.51,"(46.95, 23475, 50000)"
79,35.49,"(47.138, 23569, 50000)"
80,34.62,"(47.186, 23593, 50000)"
81,38.28,"(47.704, 23852, 50000)"
82,35.99,"(47.626, 23813, 50000)"
83,35.82,"(47.52, 23760, 50000)"
84,39.46,"(47.594, 23797, 50000)"
85,41.29,"(48.176, 24088, 50000)"
86,42.26,"(47.908, 23954, 50000)"
87,38.58,"(48.254, 24127, 50000)"
88,39.26,"(47.986, 23993, 50000)"
89,38.11,"(47.976, 23988, 50000)"
90,38.17,"(48.15, 24075, 50000)"
91,44.81,"(48.448, 24224, 50000)"
92,41.32,"(48.568, 24284, 50000)"
93,40.84,"(48.66, 24330, 50000)"
94,38.14,"(49.078, 24539, 50000)"
95,44.03,"(49.178, 24589, 50000)"
96,40.95,"(48.84, 24420, 50000)"
97,43.35,"(49.196, 24598, 50000)"
98,37.31,"(49.252, 24626, 50000)"
99,44.15,"(48.984, 24492, 50000)"
100,42.39,"(49.42, 24710, 50000)"
101,41.73,"(49.472, 24736, 50000)"
102,38.6,"(49.666, 24833, 50000)"
103,43.99,"(49.954, 24977, 50000)"
104,41.67,"(49.568, 24784, 50000)"
105,42.34,"(49.79, 24895, 50000)"
106,41.09,"(49.816, 24908, 50000)"
107,42.81,"(50.132, 25066, 50000)"
108,43.46,"(50.35, 25175, 50000)"
109,45.04,"(50.352, 25176, 50000)"
110,40.06,"(50.474, 25237, 50000)"
111,42.11,"(50.744, 25372, 50000)"
112,44.26,"(50.882, 25441, 50000)"
113,39.46,"(50.908, 25454, 50000)"
114,44.74,"(51.018, 25509, 50000)"
115,45.19,"(51.01, 25505, 50000)"
116,43.19,"(51.542, 25771, 50000)"
117,45.25,"(51.53, 25765, 50000)"
118,46.22,"(52.044, 26022, 50000)"
119,44.9,"(51.812, 25906, 50000)"
120,46.01,"(52.05, 26025, 50000)"
121,42.42,"(51.94, 25970, 50000)"
122,45.5,"(52.568, 26284, 50000)"
123,42.6,"(52.28, 26140, 50000)"
124,43.07,"(52.76, 26380, 50000)"
125,43.17,"(52.72, 26360, 50000)"
126,45.4,"(52.654, 26327, 50000)"
127,45.73,"(52.966, 26483, 50000)"
128,45.57,"(53.226, 26613, 50000)"
129,46.41,"(53.68, 26840, 50000)"
