Epoch,test accuracy,training accuracy
0,10.13,10.304444444444444
1,10.81,10.986666666666666
2,11.35,12.157777777777778
3,17.86,18.213333333333335
4,23.59,23.775555555555556
5,30.29,30.968888888888888
6,34.88,35.035555555555554
7,38.96,38.72222222222222
8,41.29,41.126666666666665
9,43.71,42.775555555555556
10,44.93,43.86888888888889
11,45.22,45.10444444444445
12,46.35,45.88
13,47.17,46.65111111111111
14,47.69,47.49333333333333
15,47.98,47.94888888888889
16,48.02,48.153333333333336
17,48.98,48.446666666666665
18,49.13,48.44
19,49.04,48.72666666666667
20,49.37,49.03333333333333
21,49.22,48.96666666666667
22,49.28,48.91777777777778
23,49.36,48.76888888888889
24,49.39,48.56444444444445
25,49.47,48.51777777777778
26,49.13,48.53777777777778
27,48.89,48.61555555555555
28,48.88,48.19777777777778
29,48.64,48.14888888888889
30,48.63,48.22
31,48.53,47.9
32,48.55,47.85777777777778
33,48.32,48.03111111111111
34,48.41,47.297777777777775
35,48.47,47.602222222222224
36,47.91,47.53777777777778
37,47.81,47.32666666666667
38,47.95,47.15555555555556
39,47.92,46.94222222222222
40,47.69,46.94444444444444
41,47.5,46.83555555555556
42,47.44,46.477777777777774
43,47.53,46.71333333333333
44,47.25,46.373333333333335
45,47.29,46.217777777777776
46,46.99,46.224444444444444
47,47.09,46.35333333333333
48,47.2,46.068888888888885
49,47.07,46.022222222222226
50,47.01,46.22222222222222
51,47.01,45.74444444444445
52,46.61,45.784444444444446
53,46.89,45.73777777777778
54,46.66,45.84222222222222
55,46.64,45.60666666666667
56,46.56,45.94222222222222
57,46.39,45.526666666666664
58,46.49,45.69777777777778
59,46.31,45.75333333333333
60,46.04,45.44222222222222
61,46.01,45.208888888888886
62,46.16,45.59111111111111
63,46.3,45.306666666666665
64,45.88,45.25555555555555
65,45.87,45.464444444444446
66,45.81,45.2
67,46.01,45.193333333333335
68,45.66,44.96888888888889
69,45.81,45.24888888888889
70,45.77,45.34444444444444
71,45.56,45.004444444444445
72,45.73,45.275555555555556
73,45.59,45.25111111111111
74,45.53,44.94
75,45.64,44.88444444444445
76,45.47,45.23777777777778
77,45.4,44.92444444444445
78,45.51,44.96666666666667
79,45.48,45.013333333333335
80,45.37,44.882222222222225
81,45.34,44.82
82,45.55,44.83777777777778
83,45.37,44.68666666666667
84,45.44,44.77333333333333
85,45.29,44.94444444444444
86,45.24,44.96666666666667
87,45.34,45.01111111111111
88,45.31,45.16444444444444
89,45.28,45.10666666666667
90,45.26,45.20666666666666
91,45.31,45.09777777777778
92,45.3,44.90888888888889
93,45.26,45.05777777777778
94,45.28,44.98222222222222
95,45.26,44.98
96,45.28,45.11555555555555
97,45.25,44.784444444444446
98,45.27,45.05777777777778
99,45.27,45.04666666666667
