Epoch,test accuracy,training accuracy
0,42.8,42.95111111111111
1,46.63,45.09111111111111
2,51.22,51.37555555555556
3,56.73,56.33111111111111
4,61.94,62.08
5,64.59,64.62666666666667
6,66.15,66.64888888888889
7,68.76,70.08444444444444
8,70.88,72.75555555555556
9,72.54,74.03333333333333
10,72.54,73.68444444444444
11,73.76,76.27111111111111
12,74.44,77.43555555555555
13,77.52,79.90666666666667
14,77.18,79.75333333333333
15,79.88,82.45333333333333
16,79.24,82.1511111111111
17,79.39,83.24
18,80.47,83.56666666666666
19,82.1,85.58666666666667
20,83.29,87.19333333333333
21,83.4,87.45333333333333
22,82.92,86.86444444444444
23,83.27,87.33777777777777
24,83.66,88.19111111111111
25,85.41,90.43111111111111
26,84.36,89.66222222222223
27,85.58,90.50666666666666
28,86.34,91.74444444444444
29,85.77,91.25777777777778
30,86.95,92.93333333333334
31,87.01,93.39555555555556
32,87.33,93.51777777777778
33,86.47,93.21777777777778
34,87.51,94.4
35,87.63,94.51333333333334
36,87.3,94.43777777777778
37,88.28,95.66222222222223
38,87.92,95.89333333333333
39,88.07,96.31333333333333
40,88.37,96.18222222222222
41,87.65,96.18444444444444
42,88.62,97.1288888888889
43,87.84,96.43777777777778
44,88.89,97.47111111111111
45,89.04,97.90444444444445
46,89.02,98.2311111111111
47,88.32,98.13777777777777
48,88.77,98.13555555555556
49,89.08,98.06666666666666
50,89.16,98.69333333333333
51,89.55,98.7911111111111
52,89.55,98.99111111111111
53,89.56,99.07333333333334
54,89.31,99.16
55,89.46,99.11777777777777
56,89.93,99.45555555555555
57,89.47,99.39333333333333
58,89.62,99.41333333333333
59,89.54,99.37777777777778
60,89.45,99.50222222222222
61,89.87,99.72444444444444
62,89.83,99.72222222222223
63,89.78,99.72666666666667
64,89.89,99.74666666666667
65,89.88,99.74666666666667
66,90.07,99.83777777777777
67,89.69,99.85555555555555
68,89.94,99.85333333333334
69,89.71,99.89333333333333
70,89.97,99.94888888888889
71,90.11,99.89333333333333
72,89.72,99.90444444444445
73,89.88,99.96888888888888
74,89.89,99.96
75,90.11,99.95111111111112
76,90.29,99.96666666666667
77,89.99,99.97777777777777
78,90.19,99.96444444444444
79,90.46,99.97777777777777
80,90.22,99.97333333333333
81,90.24,99.98
82,90.26,99.99333333333334
83,90.2,99.98222222222222
84,90.48,99.98666666666666
85,90.36,99.99111111111111
86,90.4,99.9888888888889
87,90.27,99.99111111111111
88,90.49,99.98
89,90.4,99.99555555555555
90,90.34,99.99333333333334
91,90.48,99.9888888888889
92,90.38,99.99333333333334
93,90.44,99.99111111111111
94,90.38,99.9888888888889
95,90.45,99.99111111111111
96,90.46,99.99555555555555
97,90.45,99.99333333333334
98,90.34,99.99555555555555
99,90.34,99.99111111111111
