Epoch,test accuracy,training accuracy
0,9.98,10.011111111111111
1,10.0,9.977777777777778
2,10.0,9.977777777777778
3,10.0,9.977777777777778
4,10.0,9.977777777777778
5,10.0,9.977777777777778
6,10.0,9.977777777777778
7,10.0,9.977777777777778
8,10.0,9.977777777777778
9,10.0,9.977777777777778
10,10.0,9.977777777777778
11,10.0,9.977777777777778
12,10.0,9.977777777777778
13,10.0,9.977777777777778
14,10.0,9.977777777777778
15,10.0,9.977777777777778
16,10.0,9.977777777777778
17,10.0,9.977777777777778
18,10.0,9.977777777777778
19,10.0,9.977777777777778
20,10.0,9.977777777777778
21,10.0,9.977777777777778
22,10.0,9.977777777777778
23,10.0,9.977777777777778
24,10.0,9.977777777777778
25,10.0,9.977777777777778
26,10.0,9.977777777777778
27,10.0,9.977777777777778
28,10.0,9.977777777777778
29,10.0,9.977777777777778
30,10.0,9.977777777777778
31,10.0,9.977777777777778
32,10.0,9.977777777777778
33,10.0,9.977777777777778
34,10.0,9.977777777777778
35,10.0,9.977777777777778
36,10.0,9.977777777777778
37,10.0,9.977777777777778
38,10.0,9.977777777777778
39,10.0,9.977777777777778
40,10.0,9.977777777777778
41,10.0,9.977777777777778
42,10.0,9.977777777777778
43,10.0,9.977777777777778
44,10.0,9.977777777777778
45,10.0,9.977777777777778
46,10.0,9.977777777777778
47,10.0,9.977777777777778
48,10.0,9.977777777777778
49,10.0,9.977777777777778
50,10.0,9.977777777777778
51,10.0,9.977777777777778
52,10.0,9.977777777777778
53,10.0,9.977777777777778
54,10.0,9.977777777777778
55,10.0,9.977777777777778
56,10.0,9.977777777777778
57,10.0,9.977777777777778
58,10.0,9.977777777777778
59,10.0,9.977777777777778
60,10.0,9.977777777777778
61,10.0,9.977777777777778
62,10.0,9.977777777777778
63,10.0,9.977777777777778
64,10.0,9.977777777777778
65,10.0,9.977777777777778
66,10.0,9.977777777777778
67,10.0,9.977777777777778
68,10.0,9.977777777777778
69,10.0,9.977777777777778
70,10.0,9.977777777777778
71,10.0,9.977777777777778
72,10.0,9.977777777777778
73,10.0,9.977777777777778
74,10.0,9.977777777777778
75,10.0,9.977777777777778
76,10.0,9.977777777777778
77,10.0,9.977777777777778
78,10.0,9.977777777777778
79,10.0,9.977777777777778
80,10.0,9.977777777777778
81,10.0,9.977777777777778
82,10.0,9.977777777777778
83,10.0,9.977777777777778
84,10.0,9.977777777777778
85,10.0,9.977777777777778
86,10.0,9.977777777777778
87,10.0,9.977777777777778
88,10.0,9.977777777777778
89,10.0,9.977777777777778
90,10.0,9.977777777777778
91,10.0,9.977777777777778
92,10.0,9.977777777777778
93,10.0,9.977777777777778
94,10.0,9.977777777777778
95,10.0,9.977777777777778
96,10.0,9.977777777777778
97,10.0,9.977777777777778
98,10.0,9.977777777777778
99,10.0,9.977777777777778
