Epoch,test accuracy,training accuracy
0,10.65,10.66
1,11.33,11.615555555555556
2,11.59,12.04888888888889
3,13.24,12.84
4,13.85,14.11111111111111
5,15.71,15.446666666666667
6,18.27,17.313333333333333
7,19.21,17.795555555555556
8,20.42,19.477777777777778
9,20.97,19.573333333333334
10,22.26,20.83111111111111
11,23.11,21.17111111111111
12,22.82,22.084444444444443
13,25.08,22.966666666666665
14,24.89,23.25777777777778
15,27.22,24.966666666666665
16,28.06,26.044444444444444
17,28.59,27.27777777777778
18,29.34,27.54222222222222
19,30.52,28.837777777777777
20,31.2,29.26222222222222
21,32.14,30.057777777777776
22,33.13,30.626666666666665
23,34.43,31.697777777777777
24,34.6,32.25333333333333
25,34.71,32.72222222222222
26,35.71,33.20666666666666
27,36.63,34.49777777777778
28,37.41,35.15777777777778
29,38.17,35.92666666666667
30,38.7,36.71111111111111
31,39.07,37.32222222222222
32,40.06,37.66444444444444
33,40.17,38.03333333333333
34,42.09,38.904444444444444
35,40.89,38.715555555555554
36,42.08,39.797777777777775
37,42.16,39.504444444444445
38,42.44,40.59777777777778
39,42.81,40.92444444444445
40,43.07,41.093333333333334
41,43.92,41.76888888888889
42,43.38,41.90222222222222
43,44.38,42.611111111111114
44,44.43,41.82666666666667
45,44.88,42.806666666666665
46,45.06,42.78666666666667
47,45.34,43.64
48,45.84,43.85333333333333
49,45.98,44.32666666666667
50,45.82,44.40222222222222
51,46.94,44.62888888888889
52,47.2,45.28666666666667
53,47.12,45.495555555555555
54,47.72,45.35111111111111
55,47.84,45.66888888888889
56,47.68,46.14888888888889
57,47.85,46.522222222222226
58,48.4,46.715555555555554
59,47.77,46.57555555555555
60,48.62,46.74888888888889
61,48.81,47.15555555555556
62,48.88,47.284444444444446
63,49.28,47.46
64,49.29,47.602222222222224
65,49.5,47.553333333333335
66,49.78,48.044444444444444
67,49.37,48.13777777777778
68,49.69,48.19111111111111
69,49.92,48.24444444444445
70,49.98,48.373333333333335
71,50.32,48.88666666666666
72,50.3,48.68222222222222
73,50.52,48.92
74,50.62,48.94888888888889
75,50.73,48.75111111111111
76,50.93,49.01111111111111
77,50.96,49.04222222222222
78,50.66,49.382222222222225
79,50.86,49.01777777777778
80,50.66,49.34888888888889
81,51.33,49.41555555555556
82,51.15,49.18666666666667
83,51.16,49.34888888888889
84,51.07,49.19777777777778
85,51.09,49.64222222222222
86,51.2,49.42
87,51.2,49.57111111111111
88,51.35,49.60444444444445
89,51.45,49.568888888888885
90,51.43,49.693333333333335
91,51.45,49.65777777777778
92,51.47,49.68
93,51.41,50.00888888888889
94,51.47,49.64666666666667
95,51.38,49.71111111111111
96,51.32,49.62222222222222
97,51.31,49.71333333333333
98,51.34,49.45111111111111
99,51.32,49.79333333333334
