Epoch,test accuracy,training accuracy
0,42.43,41.333333333333336
1,49.22,46.44888888888889
2,52.51,50.73777777777778
3,59.37,58.06666666666667
4,60.49,59.16444444444444
5,63.5,61.81777777777778
6,65.01,63.717777777777776
7,67.8,66.82222222222222
8,68.08,66.81111111111112
9,70.52,69.75333333333333
10,70.44,70.22
11,71.48,71.25111111111111
12,72.81,72.64444444444445
13,73.2,73.55555555555556
14,73.31,73.94444444444444
15,74.28,74.92
16,74.96,76.13111111111111
17,76.16,76.88666666666667
18,74.59,75.26666666666667
19,75.59,76.74444444444444
20,75.12,76.58222222222223
21,76.05,77.69555555555556
22,75.86,77.99777777777778
23,76.77,78.96444444444444
24,77.18,79.48
25,76.46,78.91111111111111
26,77.95,80.62222222222222
27,78.19,80.88
28,78.38,81.33333333333333
29,78.15,81.12
30,78.05,81.53777777777778
31,77.81,81.82444444444444
32,78.79,82.58444444444444
33,79.16,83.09333333333333
34,79.46,83.82666666666667
35,79.39,83.88
36,79.58,84.41555555555556
37,79.59,83.90222222222222
38,80.48,85.21333333333334
39,80.42,85.43777777777778
40,80.43,85.74222222222222
41,80.13,85.66222222222223
42,80.82,86.16444444444444
43,80.18,86.37777777777778
44,80.38,86.06
45,81.02,86.86666666666666
46,81.53,87.6511111111111
47,81.29,87.7911111111111
48,81.06,87.73777777777778
49,81.03,87.78444444444445
50,81.11,87.78222222222222
51,80.64,87.99555555555555
52,81.54,89.05111111111111
53,81.56,89.17777777777778
54,82.15,89.7
55,82.19,90.04888888888888
56,82.2,90.0111111111111
57,82.12,90.28444444444445
58,81.97,90.5
59,82.12,90.64666666666666
60,82.37,90.91111111111111
61,82.07,90.7911111111111
62,82.09,91.14888888888889
63,82.57,91.65777777777778
64,82.48,91.7
65,82.58,91.77333333333333
66,82.33,92.23555555555555
67,82.52,92.19555555555556
68,82.65,92.2911111111111
69,82.67,92.56
70,82.5,92.76444444444445
71,82.78,93.05555555555556
72,82.85,93.14666666666666
73,82.85,93.23333333333333
74,82.96,93.56666666666666
75,82.68,93.43777777777778
76,82.85,93.7
77,82.74,93.64
78,82.81,93.98444444444445
79,82.86,93.95111111111112
80,83.0,94.07333333333334
81,83.09,93.92
82,82.9,93.98666666666666
83,83.18,94.21111111111111
84,83.05,94.43777777777778
85,83.06,94.22222222222223
86,83.05,94.34
87,83.22,94.53777777777778
88,83.26,94.55777777777777
89,83.27,94.53333333333333
90,83.26,94.50222222222222
91,83.24,94.55333333333333
92,83.19,94.66444444444444
93,83.11,94.7088888888889
94,83.34,94.69777777777777
95,83.19,94.67777777777778
96,83.18,94.68666666666667
97,83.16,94.74444444444444
98,83.12,94.55555555555556
99,83.14,94.78222222222222
