Epoch,flops
0,17574969409536
1,35149938819072
2,52724908228608
3,70299877638144
4,87874847047680
5,105449816457216
6,123024785866752
7,140599755276288
8,158174724685824
9,175749694095360
10,193324663504896
11,210899632914432
12,228474602323968
13,246049571733504
14,263624541143040
15,281199510552576
16,298774479962112
17,316349449371648
18,333924418781184
19,351499388190720
20,369074357600256
21,386649327009792
22,404224296419328
23,421799265828864
24,439374235238400
25,456949204647936
26,474524174057472
27,492099143467008
28,509674112876544
29,527249082286080
30,544824051695616
31,562399021105152
32,579973990514688
33,597548959924224
34,615123929333760
35,632698898743296
36,650273868152832
37,667848837562368
38,685423806971904
39,702998776381440
40,720573745790976
41,738148715200512
42,755723684610048
43,773298654019584
44,790873623429120
45,808448592838656
46,826023562248192
47,843598531657728
48,861173501067264
49,878748470476800
50,896323439886336
51,913898409295872
52,931473378705408
53,949048348114944
54,966623317524480
55,984198286934016
56,1001773256343552
57,1019348225753088
58,1036923195162624
59,1054498164572160
60,1072073133981696
61,1089648103391232
62,1107223072800768
63,1124798042210304
64,1142373011619840
65,1159947981029376
66,1177522950438912
67,1195097919848448
68,1212672889257984
69,1230247858667520
70,1247822828077056
71,1265397797486592
72,1282972766896128
73,1300547736305664
74,1318122705715200
75,1335697675124736
76,1353272644534272
77,1370847613943808
78,1388422583353344
79,1405997552762880
80,1423572522172416
81,1441147491581952
82,1458722460991488
83,1476297430401024
84,1493872399810560
85,1511447369220096
86,1529022338629632
87,1546597308039168
88,1564172277448704
89,1581747246858240
90,1599322216267776
91,1616897185677312
92,1634472155086848
93,1652047124496384
94,1669622093905920
95,1687197063315456
96,1704772032724992
97,1722347002134528
98,1739921971544064
99,1757496940953600
