Epoch,test accuracy,training accuracy
0,1.71,"(1.0589473684210526, 1006, 95000)"
1,2.08,"(1.8410526315789473, 1749, 95000)"
2,3.43,"(2.7778947368421054, 2639, 95000)"
3,5.29,"(4.567368421052632, 4339, 95000)"
4,5.27,"(5.824210526315789, 5533, 95000)"
5,6.18,"(7.081052631578947, 6727, 95000)"
6,6.81,"(7.671578947368421, 7288, 95000)"
7,8.44,"(7.916842105263158, 7521, 95000)"
8,6.36,"(8.968421052631578, 8520, 95000)"
9,5.51,"(9.285263157894736, 8821, 95000)"
10,7.95,"(9.594736842105263, 9115, 95000)"
11,9.68,"(9.943157894736842, 9446, 95000)"
12,8.28,"(10.338947368421053, 9822, 95000)"
13,7.43,"(10.574736842105263, 10046, 95000)"
14,6.64,"(10.749473684210527, 10212, 95000)"
15,8.66,"(10.891578947368421, 10347, 95000)"
16,8.22,"(11.208421052631579, 10648, 95000)"
17,8.27,"(11.192631578947369, 10633, 95000)"
18,8.71,"(11.527368421052632, 10951, 95000)"
19,9.05,"(11.801052631578948, 11211, 95000)"
20,7.06,"(12.018947368421053, 11418, 95000)"
21,8.2,"(11.990526315789474, 11391, 95000)"
22,11.05,"(12.156842105263157, 11549, 95000)"
23,6.6,"(12.142105263157895, 11535, 95000)"
24,9.58,"(11.97578947368421, 11377, 95000)"
25,9.58,"(12.368421052631579, 11750, 95000)"
26,9.44,"(12.402105263157894, 11782, 95000)"
27,10.96,"(12.489473684210527, 11865, 95000)"
28,7.82,"(12.523157894736842, 11897, 95000)"
29,9.48,"(12.743157894736843, 12106, 95000)"
30,9.43,"(12.707368421052632, 12072, 95000)"
31,10.52,"(12.681052631578947, 12047, 95000)"
32,12.16,"(12.9, 12255, 95000)"
33,10.43,"(12.825263157894737, 12184, 95000)"
34,10.33,"(13.062105263157894, 12409, 95000)"
35,10.86,"(13.198947368421052, 12539, 95000)"
36,10.51,"(13.147368421052631, 12490, 95000)"
37,10.06,"(13.176842105263157, 12518, 95000)"
38,10.58,"(13.22421052631579, 12563, 95000)"
39,10.66,"(13.263157894736842, 12600, 95000)"
40,9.97,"(13.214736842105264, 12554, 95000)"
41,8.79,"(13.421052631578947, 12750, 95000)"
42,11.69,"(13.561052631578947, 12883, 95000)"
43,8.73,"(13.472631578947368, 12799, 95000)"
44,10.14,"(13.601052631578947, 12921, 95000)"
45,12.55,"(13.530526315789473, 12854, 95000)"
46,10.24,"(13.733684210526317, 13047, 95000)"
47,8.67,"(13.628421052631579, 12947, 95000)"
48,8.84,"(13.771578947368422, 13083, 95000)"
49,10.66,"(14.051578947368421, 13349, 95000)"
50,10.8,"(13.885263157894737, 13191, 95000)"
51,13.35,"(14.031578947368422, 13330, 95000)"
52,10.97,"(14.067368421052631, 13364, 95000)"
53,11.53,"(14.173684210526316, 13465, 95000)"
54,9.58,"(14.103157894736842, 13398, 95000)"
55,9.74,"(14.134736842105264, 13428, 95000)"
56,10.91,"(14.07578947368421, 13372, 95000)"
57,10.99,"(14.16842105263158, 13460, 95000)"
58,11.75,"(14.323157894736843, 13607, 95000)"
59,10.44,"(14.013684210526316, 13313, 95000)"
60,9.28,"(14.473684210526315, 13750, 95000)"
61,10.77,"(14.546315789473685, 13819, 95000)"
62,12.17,"(14.407368421052631, 13687, 95000)"
63,11.23,"(14.714736842105264, 13979, 95000)"
64,11.47,"(14.56842105263158, 13840, 95000)"
65,11.96,"(14.717894736842105, 13982, 95000)"
66,8.57,"(14.713684210526315, 13978, 95000)"
67,13.49,"(14.727368421052631, 13991, 95000)"
68,14.94,"(15.06421052631579, 14311, 95000)"
69,13.88,"(15.113684210526316, 14358, 95000)"
70,13.12,"(14.866315789473685, 14123, 95000)"
71,12.72,"(15.052631578947368, 14300, 95000)"
72,13.02,"(15.061052631578947, 14308, 95000)"
73,12.97,"(15.09578947368421, 14341, 95000)"
74,13.51,"(15.215789473684211, 14455, 95000)"
75,12.64,"(15.298947368421052, 14534, 95000)"
76,10.39,"(15.349473684210526, 14582, 95000)"
77,13.31,"(15.550526315789474, 14773, 95000)"
78,10.61,"(15.58421052631579, 14805, 95000)"
79,12.18,"(15.476842105263158, 14703, 95000)"
80,12.33,"(15.717894736842105, 14932, 95000)"
81,11.08,"(15.849473684210526, 15057, 95000)"
82,13.29,"(15.774736842105263, 14986, 95000)"
83,13.13,"(15.938947368421053, 15142, 95000)"
84,12.81,"(16.002105263157894, 15202, 95000)"
85,13.81,"(16.018947368421053, 15218, 95000)"
86,12.2,"(16.158947368421053, 15351, 95000)"
87,13.4,"(16.209473684210526, 15399, 95000)"
88,12.47,"(16.173684210526314, 15365, 95000)"
89,11.05,"(16.15684210526316, 15349, 95000)"
90,12.27,"(16.38736842105263, 15568, 95000)"
91,12.32,"(16.42, 15599, 95000)"
92,15.37,"(16.662105263157894, 15829, 95000)"
93,13.72,"(16.52842105263158, 15702, 95000)"
94,13.67,"(16.78842105263158, 15949, 95000)"
95,12.95,"(16.605263157894736, 15775, 95000)"
96,13.77,"(16.96, 16112, 95000)"
97,13.94,"(16.928421052631577, 16082, 95000)"
98,14.76,"(17.141052631578948, 16284, 95000)"
99,12.43,"(17.149473684210527, 16292, 95000)"
100,12.91,"(17.314736842105262, 16449, 95000)"
101,12.08,"(17.428421052631577, 16557, 95000)"
102,11.31,"(17.40736842105263, 16537, 95000)"
103,13.75,"(17.52315789473684, 16647, 95000)"
104,13.21,"(17.582105263157896, 16703, 95000)"
105,11.41,"(17.716842105263158, 16831, 95000)"
106,17.45,"(17.78842105263158, 16899, 95000)"
107,14.27,"(18.00842105263158, 17108, 95000)"
108,13.1,"(18.12842105263158, 17222, 95000)"
109,16.71,"(18.001052631578947, 17101, 95000)"
110,14.88,"(18.30315789473684, 17388, 95000)"
111,14.44,"(18.49473684210526, 17570, 95000)"
112,12.25,"(18.465263157894736, 17542, 95000)"
113,13.02,"(18.47684210526316, 17553, 95000)"
114,12.87,"(18.647368421052633, 17715, 95000)"
115,14.01,"(18.84, 17898, 95000)"
116,17.99,"(18.80315789473684, 17863, 95000)"
117,12.34,"(18.916842105263157, 17971, 95000)"
118,13.75,"(19.033684210526317, 18082, 95000)"
119,17.61,"(19.178947368421053, 18220, 95000)"
120,15.0,"(19.43578947368421, 18464, 95000)"
121,16.79,"(19.58, 18601, 95000)"
122,16.11,"(19.590526315789475, 18611, 95000)"
123,16.53,"(19.642105263157895, 18660, 95000)"
124,16.08,"(19.852631578947367, 18860, 95000)"
125,15.64,"(19.985263157894735, 18986, 95000)"
126,14.94,"(20.105263157894736, 19100, 95000)"
127,16.05,"(20.152631578947368, 19145, 95000)"
128,15.08,"(20.626315789473683, 19595, 95000)"
129,16.41,"(20.543157894736844, 19516, 95000)"
130,16.82,"(20.777894736842104, 19739, 95000)"
131,17.89,"(20.886315789473684, 19842, 95000)"
132,16.58,"(20.985263157894735, 19936, 95000)"
133,16.49,"(21.038947368421052, 19987, 95000)"
134,16.68,"(21.433684210526316, 20362, 95000)"
135,17.86,"(21.55157894736842, 20474, 95000)"
136,18.67,"(21.685263157894738, 20601, 95000)"
137,18.05,"(21.911578947368422, 20816, 95000)"
138,18.63,"(22.05157894736842, 20949, 95000)"
139,16.61,"(22.268421052631577, 21155, 95000)"
140,18.13,"(22.47684210526316, 21353, 95000)"
141,16.89,"(22.49157894736842, 21367, 95000)"
142,17.75,"(22.88736842105263, 21743, 95000)"
143,17.99,"(22.866315789473685, 21723, 95000)"
144,20.29,"(23.03684210526316, 21885, 95000)"
145,18.03,"(23.34526315789474, 22178, 95000)"
146,19.67,"(23.703157894736844, 22518, 95000)"
147,19.92,"(23.911578947368422, 22716, 95000)"
148,19.86,"(23.902105263157896, 22707, 95000)"
149,19.44,"(24.48842105263158, 23264, 95000)"
150,19.94,"(24.34, 23123, 95000)"
151,21.35,"(24.80315789473684, 23563, 95000)"
152,18.52,"(25.027368421052632, 23776, 95000)"
153,20.43,"(25.08421052631579, 23830, 95000)"
154,20.41,"(25.48, 24206, 95000)"
155,19.78,"(26.05157894736842, 24749, 95000)"
156,20.76,"(25.978947368421053, 24680, 95000)"
157,18.86,"(26.21263157894737, 24902, 95000)"
158,22.74,"(26.55894736842105, 25231, 95000)"
159,21.7,"(26.790526315789474, 25451, 95000)"
160,21.21,"(27.33157894736842, 25965, 95000)"
161,20.76,"(27.577894736842104, 26199, 95000)"
162,21.77,"(27.849473684210526, 26457, 95000)"
163,20.04,"(28.230526315789472, 26819, 95000)"
164,21.79,"(28.31157894736842, 26896, 95000)"
165,23.22,"(28.78736842105263, 27348, 95000)"
166,20.21,"(29.193684210526317, 27734, 95000)"
167,21.0,"(29.623157894736842, 28142, 95000)"
168,23.15,"(29.854736842105265, 28362, 95000)"
169,22.83,"(30.228421052631578, 28717, 95000)"
170,23.75,"(30.798947368421054, 29259, 95000)"
171,21.08,"(31.194736842105264, 29635, 95000)"
172,22.28,"(31.416842105263157, 29846, 95000)"
173,23.81,"(32.11684210526316, 30511, 95000)"
174,22.65,"(32.2021052631579, 30592, 95000)"
175,23.68,"(33.234736842105264, 31573, 95000)"
176,23.6,"(33.42315789473684, 31752, 95000)"
177,23.12,"(33.783157894736846, 32094, 95000)"
178,23.23,"(34.42, 32699, 95000)"
179,23.05,"(35.008421052631576, 33258, 95000)"
180,23.59,"(35.26421052631579, 33501, 95000)"
181,23.41,"(35.974736842105266, 34176, 95000)"
182,24.68,"(36.358947368421056, 34541, 95000)"
183,23.77,"(36.753684210526316, 34916, 95000)"
184,24.9,"(37.29263157894737, 35428, 95000)"
185,24.46,"(37.932631578947365, 36036, 95000)"
186,24.49,"(38.3421052631579, 36425, 95000)"
187,24.13,"(38.78947368421053, 36850, 95000)"
188,24.73,"(39.30736842105263, 37342, 95000)"
189,24.75,"(39.89157894736842, 37897, 95000)"
190,24.74,"(40.32526315789474, 38309, 95000)"
191,24.79,"(40.64631578947368, 38614, 95000)"
192,25.33,"(41.01263157894737, 38962, 95000)"
193,24.48,"(41.05684210526316, 39004, 95000)"
194,24.71,"(41.449473684210524, 39377, 95000)"
195,25.17,"(41.717894736842105, 39632, 95000)"
196,25.13,"(41.845263157894735, 39753, 95000)"
197,25.04,"(41.881052631578946, 39787, 95000)"
198,24.78,"(42.062105263157896, 39959, 95000)"
199,24.75,"(42.176842105263155, 40068, 95000)"
200,25.08,"(42.345263157894735, 40228, 95000)"
201,25.14,"(42.241052631578945, 40129, 95000)"
202,24.82,"(41.962105263157895, 39864, 95000)"
203,24.93,"(42.02, 39919, 95000)"
204,25.28,"(41.97157894736842, 39873, 95000)"
205,25.37,"(42.06315789473684, 39960, 95000)"
206,24.81,"(41.69684210526316, 39612, 95000)"
207,24.86,"(41.65263157894737, 39570, 95000)"
208,24.98,"(41.682105263157894, 39598, 95000)"
209,24.56,"(41.46736842105263, 39394, 95000)"
210,24.33,"(41.242105263157896, 39180, 95000)"
211,24.67,"(41.165263157894735, 39107, 95000)"
212,24.55,"(40.59263157894737, 38563, 95000)"
213,24.18,"(40.37684210526316, 38358, 95000)"
214,24.6,"(39.729473684210525, 37743, 95000)"
215,24.4,"(39.461052631578944, 37488, 95000)"
216,22.54,"(39.04736842105263, 37095, 95000)"
217,22.98,"(38.78, 36841, 95000)"
218,23.59,"(37.90421052631579, 36009, 95000)"
219,21.59,"(37.5, 35625, 95000)"
220,22.25,"(37.002105263157894, 35152, 95000)"
221,22.41,"(36.462105263157895, 34639, 95000)"
222,20.97,"(35.64526315789474, 33863, 95000)"
223,20.24,"(35.09368421052631, 33339, 95000)"
224,21.48,"(34.823157894736845, 33082, 95000)"
225,20.91,"(34.01578947368421, 32315, 95000)"
226,18.96,"(33.39684210526316, 31727, 95000)"
227,21.36,"(32.996842105263156, 31347, 95000)"
228,21.96,"(32.870526315789476, 31227, 95000)"
229,19.81,"(32.25578947368421, 30643, 95000)"
230,19.47,"(31.873684210526317, 30280, 95000)"
231,20.18,"(31.59263157894737, 30013, 95000)"
232,21.65,"(31.201052631578946, 29641, 95000)"
233,20.17,"(30.84315789473684, 29301, 95000)"
234,18.39,"(30.84, 29298, 95000)"
235,19.9,"(30.446315789473683, 28924, 95000)"
236,18.25,"(30.422105263157896, 28901, 95000)"
237,19.59,"(29.786315789473683, 28297, 95000)"
238,20.37,"(29.31578947368421, 27850, 95000)"
239,19.28,"(29.346315789473685, 27879, 95000)"
240,21.1,"(29.243157894736843, 27781, 95000)"
241,20.93,"(28.958947368421054, 27511, 95000)"
242,18.01,"(28.77578947368421, 27337, 95000)"
243,17.78,"(28.557894736842105, 27130, 95000)"
244,19.9,"(28.242105263157896, 26830, 95000)"
245,20.3,"(28.18421052631579, 26775, 95000)"
246,19.57,"(28.014736842105265, 26614, 95000)"
247,19.55,"(27.713684210526317, 26328, 95000)"
248,19.6,"(27.556842105263158, 26179, 95000)"
249,19.34,"(27.34315789473684, 25976, 95000)"
250,19.56,"(27.122105263157895, 25766, 95000)"
251,18.83,"(26.76736842105263, 25429, 95000)"
252,18.95,"(26.813684210526315, 25473, 95000)"
253,16.56,"(26.54, 25213, 95000)"
254,18.04,"(26.126315789473683, 24820, 95000)"
255,17.46,"(25.950526315789475, 24653, 95000)"
256,19.37,"(25.885263157894737, 24591, 95000)"
257,19.61,"(25.561052631578946, 24283, 95000)"
258,16.4,"(25.60105263157895, 24321, 95000)"
259,18.56,"(25.145263157894735, 23888, 95000)"
260,18.67,"(25.141052631578948, 23884, 95000)"
261,19.32,"(24.809473684210527, 23569, 95000)"
262,18.65,"(24.54, 23313, 95000)"
263,18.95,"(24.51578947368421, 23290, 95000)"
264,18.36,"(24.06421052631579, 22861, 95000)"
265,17.69,"(24.33473684210526, 23118, 95000)"
266,19.56,"(23.87157894736842, 22678, 95000)"
267,18.65,"(23.623157894736842, 22442, 95000)"
268,18.45,"(23.522105263157894, 22346, 95000)"
269,19.5,"(23.25578947368421, 22093, 95000)"
270,15.22,"(23.054736842105264, 21902, 95000)"
271,17.3,"(22.965263157894736, 21817, 95000)"
272,16.58,"(22.765263157894736, 21627, 95000)"
273,15.06,"(22.416842105263157, 21296, 95000)"
274,17.58,"(22.454736842105262, 21332, 95000)"
275,16.04,"(22.369473684210526, 21251, 95000)"
276,16.47,"(21.903157894736843, 20808, 95000)"
277,17.04,"(21.692631578947367, 20608, 95000)"
278,17.67,"(21.506315789473685, 20431, 95000)"
279,15.61,"(21.423157894736843, 20352, 95000)"
280,16.21,"(21.223157894736843, 20162, 95000)"
281,13.01,"(21.118947368421054, 20063, 95000)"
282,16.83,"(21.00526315789474, 19955, 95000)"
283,15.14,"(20.882105263157897, 19838, 95000)"
284,19.73,"(20.77578947368421, 19737, 95000)"
285,17.41,"(20.38842105263158, 19369, 95000)"
286,16.66,"(20.296842105263156, 19282, 95000)"
287,16.94,"(20.344210526315788, 19327, 95000)"
288,13.45,"(20.01684210526316, 19016, 95000)"
289,14.72,"(20.017894736842106, 19017, 95000)"
290,17.09,"(19.905263157894737, 18910, 95000)"
291,15.1,"(19.701052631578946, 18716, 95000)"
292,15.52,"(19.54842105263158, 18571, 95000)"
293,14.99,"(19.498947368421053, 18524, 95000)"
294,12.28,"(19.4, 18430, 95000)"
295,14.85,"(19.251578947368422, 18289, 95000)"
296,13.06,"(19.009473684210526, 18059, 95000)"
297,12.63,"(18.908421052631578, 17963, 95000)"
298,14.53,"(18.905263157894737, 17960, 95000)"
299,13.46,"(18.805263157894736, 17865, 95000)"
