"Step","resnet_small_normal_small_imagenet_1714153875.9931157_rf_level_7_recording_200 - Test Accuracy","resnet_small_normal_small_imagenet_1714153875.9931157_rf_level_7_recording_200 - Test Accuracy__MIN","resnet_small_normal_small_imagenet_1714153875.9931157_rf_level_7_recording_200 - Test Accuracy__MAX"
"0","10.97","10.97","10.97"
"1","16.58","16.58","16.58"
"2","18.51","18.51","18.51"
"3","18.7","18.7","18.7"
"4","21.46","21.46","21.46"
"5","23.13","23.13","23.13"
"6","22.28","22.28","22.28"
"7","21.28","21.28","21.28"
"8","24.32","24.32","24.32"
"9","25.28","25.28","25.28"
"10","24.13","24.13","24.13"
"11","25.72","25.72","25.72"
"12","25.79","25.79","25.79"
"13","21.49","21.49","21.49"
"14","27.83","27.83","27.83"
"15","24.56","24.56","24.56"
"16","22.93","22.93","22.93"
"17","26.9","26.9","26.9"
"18","27.93","27.93","27.93"
"19","27.35","27.35","27.35"
"20","26.28","26.28","26.28"
"21","26.82","26.82","26.82"
"22","25.35","25.35","25.35"
"23","19.73","19.73","19.73"
"24","28.53","28.53","28.53"
"25","27.01","27.01","27.01"
"26","29.52","29.52","29.52"
"27","25.88","25.88","25.88"
"28","26.47","26.47","26.47"
"29","28.4","28.4","28.4"
"30","26.7","26.7","26.7"
"31","28.05","28.05","28.05"
"32","25.64","25.64","25.64"
"33","26.77","26.77","26.77"
"34","22.67","22.67","22.67"
"35","27.2","27.2","27.2"
"36","28.76","28.76","28.76"
"37","28.9","28.9","28.9"
"38","28.74","28.74","28.74"
"39","26.1","26.1","26.1"
"40","28.29","28.29","28.29"
"41","22.73","22.73","22.73"
"42","29.43","29.43","29.43"
"43","28.18","28.18","28.18"
"44","26.21","26.21","26.21"
"45","29.76","29.76","29.76"
"46","29.66","29.66","29.66"
"47","31.19","31.19","31.19"
"48","30.33","30.33","30.33"
"49","23.4","23.4","23.4"
"50","25.96","25.96","25.96"
"51","25.99","25.99","25.99"
"52","30.51","30.51","30.51"
"53","28.36","28.36","28.36"
"54","27.23","27.23","27.23"
"55","30.59","30.59","30.59"
"56","31.31","31.31","31.31"
"57","34.85","34.85","34.85"
"58","29.48","29.48","29.48"
"59","31.47","31.47","31.47"
"60","31.46","31.46","31.46"
"61","28.13","28.13","28.13"
"62","33.22","33.22","33.22"
"63","31.16","31.16","31.16"
"64","30.39","30.39","30.39"
"65","31.64","31.64","31.64"
"66","29.35","29.35","29.35"
"67","31.54","31.54","31.54"
"68","30.23","30.23","30.23"
"69","33.39","33.39","33.39"
"70","29.31","29.31","29.31"
"71","29.57","29.57","29.57"
"72","30.11","30.11","30.11"
"73","31.48","31.48","31.48"
"74","29.5","29.5","29.5"
"75","29.75","29.75","29.75"
"76","29.24","29.24","29.24"
"77","32.78","32.78","32.78"
"78","34.74","34.74","34.74"
"79","32.23","32.23","32.23"
"80","27.99","27.99","27.99"
"81","24.57","24.57","24.57"
"82","35.13","35.13","35.13"
"83","33.12","33.12","33.12"
"84","34.05","34.05","34.05"
"85","28.35","28.35","28.35"
"86","32.33","32.33","32.33"
"87","37.19","37.19","37.19"
"88","33.26","33.26","33.26"
"89","35.04","35.04","35.04"
"90","34.52","34.52","34.52"
"91","35.58","35.58","35.58"
"92","35.37","35.37","35.37"
"93","35.98","35.98","35.98"
"94","34.19","34.19","34.19"
"95","31.93","31.93","31.93"
"96","33.73","33.73","33.73"
"97","32.86","32.86","32.86"
"98","34","34","34"
"99","30.69","30.69","30.69"
"100","35.35","35.35","35.35"
"101","35.57","35.57","35.57"
"102","34.21","34.21","34.21"
"103","32.23","32.23","32.23"
"104","40.02","40.02","40.02"
"105","36.85","36.85","36.85"
"106","39.18","39.18","39.18"
"107","34.52","34.52","34.52"
"108","37.99","37.99","37.99"
"109","38.62","38.62","38.62"
"110","39.3","39.3","39.3"
"111","39.7","39.7","39.7"
"112","38.93","38.93","38.93"
"113","38.17","38.17","38.17"
"114","38.57","38.57","38.57"
"115","39.34","39.34","39.34"
"116","39.61","39.61","39.61"
"117","39.8","39.8","39.8"
"118","40.92","40.92","40.92"
