;test_accuracy;Epoch;train-saturation_conv1;train-saturation_layer1-0-conv1;train-saturation_layer1-0-conv2;train-saturation_layer1-0-conv3;train-saturation_layer1-0-shortcut-0;train-saturation_layer1-1-conv1;train-saturation_layer1-1-conv2;train-saturation_layer1-1-conv3;train-saturation_layer1-2-conv1;train-saturation_layer1-2-conv2;train-saturation_layer1-2-conv3;train-saturation_layer2-0-conv1;train-saturation_layer2-0-conv2;train-saturation_layer2-0-conv3;train-saturation_layer2-0-shortcut-0;train-saturation_layer2-1-conv1;train-saturation_layer2-1-conv2;train-saturation_layer2-1-conv3;train-saturation_layer2-2-conv1;train-saturation_layer2-2-conv2;train-saturation_layer2-2-conv3;train-saturation_layer2-3-conv1;train-saturation_layer2-3-conv2;train-saturation_layer2-3-conv3;train-saturation_layer3-0-conv1;train-saturation_layer3-0-conv2;train-saturation_layer3-0-conv3;train-saturation_layer3-0-shortcut-0;train-saturation_layer3-1-conv1;train-saturation_layer3-1-conv2;train-saturation_layer3-1-conv3;train-saturation_layer3-2-conv1;train-saturation_layer3-2-conv2;train-saturation_layer3-2-conv3;train-saturation_layer3-3-conv1;train-saturation_layer3-3-conv2;train-saturation_layer3-3-conv3;train-saturation_layer3-4-conv1;train-saturation_layer3-4-conv2;train-saturation_layer3-4-conv3;train-saturation_layer3-5-conv1;train-saturation_layer3-5-conv2;train-saturation_layer3-5-conv3;train-saturation_layer4-0-conv1;train-saturation_layer4-0-conv2;train-saturation_layer4-0-conv3;train-saturation_layer4-0-shortcut-0;train-saturation_layer4-1-conv1;train-saturation_layer4-1-conv2;train-saturation_layer4-1-conv3;train-saturation_layer4-2-conv1;train-saturation_layer4-2-conv2;train-saturation_layer4-2-conv3;train-saturation_linear;eval-saturation_conv1;eval-saturation_layer1-0-conv1;eval-saturation_layer1-0-conv2;eval-saturation_layer1-0-conv3;eval-saturation_layer1-0-shortcut-0;eval-saturation_layer1-1-conv1;eval-saturation_layer1-1-conv2;eval-saturation_layer1-1-conv3;eval-saturation_layer1-2-conv1;eval-saturation_layer1-2-conv2;eval-saturation_layer1-2-conv3;eval-saturation_layer2-0-conv1;eval-saturation_layer2-0-conv2;eval-saturation_layer2-0-conv3;eval-saturation_layer2-0-shortcut-0;eval-saturation_layer2-1-conv1;eval-saturation_layer2-1-conv2;eval-saturation_layer2-1-conv3;eval-saturation_layer2-2-conv1;eval-saturation_layer2-2-conv2;eval-saturation_layer2-2-conv3;eval-saturation_layer2-3-conv1;eval-saturation_layer2-3-conv2;eval-saturation_layer2-3-conv3;eval-saturation_layer3-0-conv1;eval-saturation_layer3-0-conv2;eval-saturation_layer3-0-conv3;eval-saturation_layer3-0-shortcut-0;eval-saturation_layer3-1-conv1;eval-saturation_layer3-1-conv2;eval-saturation_layer3-1-conv3;eval-saturation_layer3-2-conv1;eval-saturation_layer3-2-conv2;eval-saturation_layer3-2-conv3;eval-saturation_layer3-3-conv1;eval-saturation_layer3-3-conv2;eval-saturation_layer3-3-conv3;eval-saturation_layer3-4-conv1;eval-saturation_layer3-4-conv2;eval-saturation_layer3-4-conv3;eval-saturation_layer3-5-conv1;eval-saturation_layer3-5-conv2;eval-saturation_layer3-5-conv3;eval-saturation_layer4-0-conv1;eval-saturation_layer4-0-conv2;eval-saturation_layer4-0-conv3;eval-saturation_layer4-0-shortcut-0;eval-saturation_layer4-1-conv1;eval-saturation_layer4-1-conv2;eval-saturation_layer4-1-conv3;eval-saturation_layer4-2-conv1;eval-saturation_layer4-2-conv2;eval-saturation_layer4-2-conv3;eval-saturation_linear
0;24.37;0;0.140625;0.4375;0.90625;0.2265625;0.14453125;0.890625;0.953125;0.234375;0.90625;0.953125;0.234375;0.84375;0.953125;0.234375;0.392578125;0.921875;0.9609375;0.236328125;0.9296875;0.9609375;0.236328125;0.9296875;0.9609375;0.236328125;0.86328125;0.9296875;0.2275390625;0.375;0.8984375;0.93359375;0.228515625;0.89453125;0.9296875;0.2265625;0.8984375;0.9296875;0.2265625;0.8984375;0.92578125;0.224609375;0.890625;0.921875;0.22265625;0.7734375;0.44921875;0.1103515625;0.1201171875;0.447265625;0.4609375;0.11328125;0.44921875;0.458984375;0.11279296875;0.7;0.140625;0.4375;0.90625;0.2265625;0.140625;0.890625;0.953125;0.234375;0.90625;0.953125;0.234375;0.8515625;0.9453125;0.232421875;0.37890625;0.9140625;0.953125;0.234375;0.921875;0.953125;0.234375;0.921875;0.953125;0.234375;0.84375;0.7109375;0.173828125;0.2041015625;0.6953125;0.71875;0.17578125;0.6953125;0.71484375;0.1748046875;0.69921875;0.71484375;0.1748046875;0.69921875;0.71484375;0.173828125;0.6953125;0.71484375;0.1728515625;0.423828125;0.115234375;0.02880859375;0.029296875;0.115234375;0.1171875;0.029296875;0.1171875;0.1171875;0.029296875;0.3
1;37.78;1;0.140625;0.421875;0.90625;0.2265625;0.140625;0.890625;0.953125;0.234375;0.90625;0.953125;0.234375;0.84375;0.953125;0.234375;0.392578125;0.921875;0.9609375;0.236328125;0.921875;0.9609375;0.236328125;0.9296875;0.9609375;0.236328125;0.86328125;0.9296875;0.2275390625;0.373046875;0.89453125;0.9296875;0.2275390625;0.890625;0.92578125;0.2265625;0.89453125;0.92578125;0.2255859375;0.890625;0.91796875;0.2236328125;0.890625;0.91796875;0.22265625;0.767578125;0.44140625;0.10888671875;0.11962890625;0.44140625;0.453125;0.11181640625;0.443359375;0.453125;0.11181640625;0.7;0.140625;0.4375;0.90625;0.2265625;0.140625;0.890625;0.953125;0.234375;0.90625;0.953125;0.234375;0.84375;0.9453125;0.232421875;0.37890625;0.9140625;0.953125;0.234375;0.921875;0.953125;0.234375;0.921875;0.953125;0.234375;0.83984375;0.7109375;0.1728515625;0.203125;0.6875;0.71484375;0.1748046875;0.6875;0.70703125;0.173828125;0.6875;0.70703125;0.173828125;0.6953125;0.703125;0.1708984375;0.6875;0.69921875;0.1689453125;0.416015625;0.11328125;0.0283203125;0.02880859375;0.11328125;0.115234375;0.02880859375;0.115234375;0.115234375;0.02880859375;0.3
2;44.35;2;0.125;0.421875;0.890625;0.2265625;0.13671875;0.890625;0.9375;0.234375;0.90625;0.953125;0.234375;0.8359375;0.9453125;0.232421875;0.390625;0.921875;0.9609375;0.236328125;0.921875;0.9609375;0.236328125;0.9296875;0.9609375;0.236328125;0.859375;0.92578125;0.2265625;0.3701171875;0.88671875;0.92578125;0.2275390625;0.8828125;0.921875;0.224609375;0.88671875;0.921875;0.2236328125;0.8828125;0.91015625;0.22265625;0.8828125;0.91015625;0.2216796875;0.755859375;0.43359375;0.1064453125;0.11865234375;0.43359375;0.44140625;0.10986328125;0.435546875;0.44140625;0.109375;0.6;0.140625;0.4375;0.90625;0.2265625;0.140625;0.890625;0.953125;0.234375;0.90625;0.953125;0.234375;0.84375;0.9453125;0.232421875;0.376953125;0.9140625;0.953125;0.234375;0.921875;0.953125;0.234375;0.921875;0.953125;0.234375;0.83984375;0.7109375;0.1728515625;0.203125;0.6796875;0.703125;0.1728515625;0.67578125;0.6953125;0.169921875;0.671875;0.6875;0.16796875;0.671875;0.67578125;0.166015625;0.66796875;0.671875;0.1640625;0.404296875;0.111328125;0.02734375;0.0283203125;0.111328125;0.111328125;0.02783203125;0.111328125;0.111328125;0.02783203125;0.4
3;50.22;3;0.140625;0.421875;0.90625;0.2265625;0.140625;0.890625;0.9375;0.234375;0.90625;0.953125;0.234375;0.8359375;0.953125;0.234375;0.390625;0.921875;0.9609375;0.236328125;0.921875;0.9609375;0.234375;0.9296875;0.9609375;0.236328125;0.859375;0.92578125;0.2265625;0.37109375;0.8828125;0.92578125;0.2265625;0.8828125;0.91796875;0.224609375;0.8828125;0.9140625;0.224609375;0.8828125;0.91015625;0.22265625;0.8828125;0.91015625;0.22265625;0.755859375;0.435546875;0.107421875;0.11962890625;0.43359375;0.439453125;0.10888671875;0.4375;0.4375;0.1083984375;0.6;0.140625;0.4375;0.90625;0.2265625;0.140625;0.890625;0.953125;0.234375;0.90625;0.953125;0.234375;0.84375;0.9453125;0.23046875;0.376953125;0.9140625;0.953125;0.232421875;0.9140625;0.953125;0.234375;0.921875;0.953125;0.232421875;0.83203125;0.6953125;0.169921875;0.2021484375;0.6640625;0.69140625;0.1689453125;0.66015625;0.671875;0.166015625;0.65625;0.671875;0.1650390625;0.6484375;0.65234375;0.16015625;0.6484375;0.65234375;0.16015625;0.390625;0.107421875;0.02685546875;0.0283203125;0.109375;0.109375;0.02734375;0.109375;0.109375;0.02734375;0.4
4;55.48;4;0.140625;0.4375;0.90625;0.2265625;0.140625;0.890625;0.9375;0.234375;0.90625;0.953125;0.23046875;0.8359375;0.9453125;0.232421875;0.390625;0.9140625;0.9609375;0.234375;0.921875;0.9609375;0.234375;0.921875;0.9609375;0.234375;0.8515625;0.9140625;0.2236328125;0.3681640625;0.8671875;0.9140625;0.2236328125;0.87109375;0.90625;0.22265625;0.87109375;0.90625;0.2216796875;0.87109375;0.8984375;0.2197265625;0.87109375;0.89453125;0.2197265625;0.740234375;0.416015625;0.10302734375;0.11669921875;0.4140625;0.419921875;0.1044921875;0.419921875;0.412109375;0.10107421875;0.6;0.140625;0.4375;0.90625;0.2265625;0.140625;0.890625;0.953125;0.234375;0.90625;0.953125;0.234375;0.84375;0.9453125;0.23046875;0.376953125;0.9140625;0.9453125;0.232421875;0.9140625;0.953125;0.232421875;0.9140625;0.953125;0.232421875;0.82421875;0.68359375;0.1669921875;0.19921875;0.6484375;0.671875;0.166015625;0.640625;0.65625;0.16015625;0.640625;0.65625;0.162109375;0.6328125;0.63671875;0.158203125;0.6328125;0.63671875;0.1572265625;0.3828125;0.10546875;0.0263671875;0.02783203125;0.107421875;0.109375;0.02734375;0.109375;0.107421875;0.02685546875;0.4
5;59.72;5;0.140625;0.421875;0.90625;0.2265625;0.140625;0.890625;0.9375;0.234375;0.90625;0.953125;0.234375;0.8359375;0.9453125;0.232421875;0.390625;0.9140625;0.953125;0.234375;0.921875;0.9609375;0.234375;0.921875;0.953125;0.234375;0.84765625;0.91015625;0.2216796875;0.365234375;0.85546875;0.90234375;0.2216796875;0.859375;0.8984375;0.220703125;0.86328125;0.89453125;0.220703125;0.86328125;0.890625;0.21875;0.86328125;0.890625;0.21875;0.73046875;0.4140625;0.103515625;0.1171875;0.412109375;0.416015625;0.10400390625;0.419921875;0.40625;0.10009765625;0.7;0.140625;0.4375;0.90625;0.2265625;0.140625;0.890625;0.953125;0.234375;0.90625;0.953125;0.234375;0.84375;0.9375;0.23046875;0.375;0.90625;0.9453125;0.23046875;0.9140625;0.9453125;0.232421875;0.90625;0.9453125;0.23046875;0.8125;0.6640625;0.1630859375;0.1982421875;0.625;0.65625;0.162109375;0.625;0.64453125;0.1591796875;0.625;0.6484375;0.1591796875;0.625;0.62890625;0.15625;0.6171875;0.6328125;0.1572265625;0.376953125;0.10546875;0.02685546875;0.02783203125;0.107421875;0.109375;0.02734375;0.109375;0.107421875;0.02685546875;0.6
6;63.31;6;0.125;0.421875;0.90625;0.2265625;0.13671875;0.890625;0.9375;0.23046875;0.90625;0.953125;0.23046875;0.8359375;0.9453125;0.232421875;0.38671875;0.90625;0.953125;0.234375;0.9140625;0.953125;0.234375;0.9140625;0.953125;0.234375;0.8359375;0.89453125;0.2197265625;0.36328125;0.83984375;0.890625;0.220703125;0.8515625;0.890625;0.2197265625;0.859375;0.88671875;0.2197265625;0.859375;0.88671875;0.21875;0.859375;0.88671875;0.2177734375;0.728515625;0.41015625;0.10302734375;0.11669921875;0.41015625;0.4140625;0.103515625;0.41796875;0.3984375;0.09814453125;0.7;0.140625;0.4375;0.90625;0.2265625;0.140625;0.890625;0.953125;0.234375;0.90625;0.953125;0.234375;0.84375;0.9375;0.23046875;0.373046875;0.8984375;0.9453125;0.23046875;0.8984375;0.9375;0.23046875;0.8984375;0.9375;0.23046875;0.79296875;0.640625;0.158203125;0.1953125;0.60546875;0.6484375;0.1611328125;0.61328125;0.63671875;0.158203125;0.6171875;0.6328125;0.1591796875;0.62109375;0.62890625;0.158203125;0.6171875;0.62890625;0.1552734375;0.37890625;0.10546875;0.02685546875;0.02783203125;0.107421875;0.109375;0.02734375;0.109375;0.107421875;0.0263671875;0.5
7;67.64;7;0.125;0.421875;0.890625;0.2265625;0.140625;0.875;0.9375;0.23046875;0.890625;0.953125;0.23046875;0.828125;0.9453125;0.23046875;0.384765625;0.8984375;0.9453125;0.232421875;0.90625;0.9453125;0.232421875;0.90625;0.9453125;0.232421875;0.82421875;0.875;0.216796875;0.359375;0.82421875;0.875;0.21875;0.83984375;0.87890625;0.21875;0.84765625;0.8828125;0.21875;0.84765625;0.87890625;0.2177734375;0.85546875;0.8828125;0.2177734375;0.720703125;0.40234375;0.10205078125;0.11572265625;0.404296875;0.40625;0.1025390625;0.4140625;0.388671875;0.0947265625;0.7;0.140625;0.4375;0.90625;0.2265625;0.140625;0.890625;0.953125;0.234375;0.90625;0.953125;0.234375;0.8359375;0.9296875;0.228515625;0.373046875;0.8828125;0.9375;0.228515625;0.890625;0.9375;0.228515625;0.8828125;0.9296875;0.2265625;0.77734375;0.6171875;0.1552734375;0.1923828125;0.5859375;0.62890625;0.1591796875;0.60546875;0.62890625;0.1591796875;0.609375;0.62890625;0.1591796875;0.6171875;0.625;0.1572265625;0.6171875;0.625;0.15625;0.375;0.10546875;0.0263671875;0.02783203125;0.107421875;0.109375;0.02734375;0.109375;0.10546875;0.02587890625;0.6
8;68.92;8;0.140625;0.421875;0.890625;0.2265625;0.13671875;0.875;0.9375;0.23046875;0.90625;0.9375;0.23046875;0.8203125;0.9375;0.23046875;0.380859375;0.890625;0.9375;0.232421875;0.8984375;0.9375;0.23046875;0.890625;0.9296875;0.23046875;0.80859375;0.8515625;0.212890625;0.3525390625;0.80078125;0.86328125;0.216796875;0.82421875;0.87109375;0.216796875;0.8359375;0.875;0.2177734375;0.83984375;0.87109375;0.2158203125;0.84765625;0.875;0.216796875;0.71484375;0.3984375;0.1015625;0.115234375;0.3984375;0.404296875;0.10205078125;0.412109375;0.380859375;0.0927734375;0.7;0.140625;0.4375;0.90625;0.2265625;0.140625;0.890625;0.953125;0.23046875;0.90625;0.953125;0.23046875;0.828125;0.921875;0.224609375;0.369140625;0.8671875;0.921875;0.2265625;0.875;0.921875;0.2265625;0.875;0.9140625;0.224609375;0.7578125;0.59765625;0.15234375;0.189453125;0.5625;0.6171875;0.158203125;0.59375;0.62109375;0.158203125;0.6015625;0.62890625;0.1591796875;0.609375;0.6171875;0.15625;0.61328125;0.62109375;0.15625;0.375;0.10546875;0.0263671875;0.02783203125;0.107421875;0.107421875;0.02734375;0.109375;0.103515625;0.02587890625;0.6
9;71.92;9;0.140625;0.4375;0.90625;0.2265625;0.14453125;0.890625;0.9375;0.23046875;0.890625;0.9375;0.23046875;0.8203125;0.9296875;0.228515625;0.380859375;0.875;0.9296875;0.23046875;0.8828125;0.9296875;0.228515625;0.8828125;0.9296875;0.228515625;0.796875;0.83984375;0.2099609375;0.3505859375;0.7890625;0.84765625;0.2158203125;0.81640625;0.86328125;0.2158203125;0.83203125;0.8671875;0.216796875;0.8359375;0.86328125;0.21484375;0.83984375;0.875;0.216796875;0.705078125;0.388671875;0.0986328125;0.1142578125;0.38671875;0.390625;0.09814453125;0.40234375;0.36328125;0.0869140625;0.7;0.140625;0.4375;0.90625;0.2265625;0.140625;0.890625;0.953125;0.23046875;0.890625;0.953125;0.23046875;0.8125;0.90625;0.22265625;0.36328125;0.8515625;0.9140625;0.224609375;0.859375;0.90625;0.224609375;0.859375;0.8984375;0.22265625;0.73828125;0.58203125;0.1494140625;0.185546875;0.546875;0.60546875;0.158203125;0.58203125;0.6171875;0.158203125;0.6015625;0.6171875;0.158203125;0.60546875;0.61328125;0.1552734375;0.609375;0.62109375;0.15625;0.373046875;0.10546875;0.02685546875;0.02783203125;0.10546875;0.107421875;0.02685546875;0.107421875;0.1015625;0.02490234375;0.6
