Epoch,test accuracy,training accuracy
0,22.78,"(18.758, 9379, 50000)"
1,35.02,"(29.68, 14840, 50000)"
2,47.89,"(39.692, 19846, 50000)"
3,54.8,"(47.276, 23638, 50000)"
4,57.84,"(53.184, 26592, 50000)"
5,60.17,"(58.366, 29183, 50000)"
6,53.6,"(61.3, 30650, 50000)"
7,65.0,"(64.226, 32113, 50000)"
8,62.36,"(66.394, 33197, 50000)"
9,61.34,"(67.172, 33586, 50000)"
10,68.56,"(68.562, 34281, 50000)"
11,66.93,"(70.032, 35016, 50000)"
12,70.89,"(71.268, 35634, 50000)"
13,69.15,"(71.47, 35735, 50000)"
14,71.67,"(72.416, 36208, 50000)"
15,71.87,"(73.356, 36678, 50000)"
16,71.57,"(74.858, 37429, 50000)"
17,71.07,"(75.978, 37989, 50000)"
18,69.87,"(77.004, 38502, 50000)"
19,75.51,"(77.432, 38716, 50000)"
20,73.87,"(78.088, 39044, 50000)"
21,71.29,"(78.762, 39381, 50000)"
22,77.91,"(78.962, 39481, 50000)"
23,74.13,"(79.682, 39841, 50000)"
24,74.88,"(79.882, 39941, 50000)"
25,74.26,"(79.85, 39925, 50000)"
26,71.85,"(80.2, 40100, 50000)"
27,71.17,"(80.492, 40246, 50000)"
28,72.92,"(80.838, 40419, 50000)"
29,76.58,"(81.272, 40636, 50000)"
30,74.67,"(81.238, 40619, 50000)"
31,79.34,"(81.294, 40647, 50000)"
32,73.68,"(81.87, 40935, 50000)"
33,76.62,"(81.764, 40882, 50000)"
34,79.31,"(81.844, 40922, 50000)"
35,78.19,"(81.944, 40972, 50000)"
36,74.62,"(82.246, 41123, 50000)"
37,72.77,"(82.464, 41232, 50000)"
38,78.06,"(82.386, 41193, 50000)"
39,82.08,"(82.878, 41439, 50000)"
40,75.62,"(82.692, 41346, 50000)"
41,79.18,"(83.06, 41530, 50000)"
42,79.61,"(82.84, 41420, 50000)"
43,80.44,"(83.314, 41657, 50000)"
44,82.2,"(83.074, 41537, 50000)"
45,83.32,"(83.328, 41664, 50000)"
46,76.92,"(83.584, 41792, 50000)"
47,77.25,"(83.278, 41639, 50000)"
48,79.06,"(83.69, 41845, 50000)"
49,81.64,"(83.77, 41885, 50000)"
50,79.72,"(83.888, 41944, 50000)"
51,78.38,"(84.062, 42031, 50000)"
52,79.59,"(83.99, 41995, 50000)"
53,77.76,"(83.986, 41993, 50000)"
54,79.78,"(84.456, 42228, 50000)"
55,76.09,"(84.446, 42223, 50000)"
56,78.58,"(84.542, 42271, 50000)"
57,78.24,"(84.704, 42352, 50000)"
58,78.83,"(84.82, 42410, 50000)"
59,78.03,"(85.006, 42503, 50000)"
60,78.63,"(84.796, 42398, 50000)"
61,79.09,"(85.202, 42601, 50000)"
62,80.94,"(85.126, 42563, 50000)"
63,78.67,"(85.124, 42562, 50000)"
64,81.19,"(85.364, 42682, 50000)"
65,81.97,"(85.558, 42779, 50000)"
66,82.39,"(85.376, 42688, 50000)"
67,76.78,"(85.326, 42663, 50000)"
68,81.63,"(85.602, 42801, 50000)"
69,79.88,"(85.538, 42769, 50000)"
70,79.07,"(85.676, 42838, 50000)"
71,76.8,"(85.81, 42905, 50000)"
72,79.95,"(86.004, 43002, 50000)"
73,83.42,"(86.188, 43094, 50000)"
74,82.12,"(86.1, 43050, 50000)"
75,81.96,"(86.364, 43182, 50000)"
76,80.21,"(86.47, 43235, 50000)"
77,82.56,"(86.59, 43295, 50000)"
78,82.74,"(86.418, 43209, 50000)"
79,81.47,"(86.552, 43276, 50000)"
80,81.49,"(86.744, 43372, 50000)"
81,82.01,"(86.89, 43445, 50000)"
82,83.28,"(87.108, 43554, 50000)"
83,81.85,"(87.084, 43542, 50000)"
84,78.21,"(87.19, 43595, 50000)"
85,83.3,"(87.368, 43684, 50000)"
86,81.26,"(87.678, 43839, 50000)"
