;test_accuracy;Epoch;train-saturation_features-0;train-saturation_features-4;train-saturation_features-8;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-31;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_classifier;eval-saturation_features-0;eval-saturation_features-4;eval-saturation_features-8;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-31;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_classifier
0;25.43;0;0.109375;0.265625;0.25;0.3125;0.1640625;0.12890625;0.08203125;0.0625;0.009765625;0.005859375;0.005859375;0.005859375;0.005859375;0.005859375;0.009765625;0.0078125;0.2;0.09375;0.25;0.234375;0.2578125;0.11328125;0.10546875;0.078125;0.0703125;0.009765625;0.005859375;0.005859375;0.005859375;0.005859375;0.0078125;0.013671875;0.009765625;0.2
1;33.83;1;0.09375;0.28125;0.2265625;0.28125;0.1328125;0.09765625;0.06640625;0.05078125;0.009765625;0.005859375;0.005859375;0.005859375;0.005859375;0.0078125;0.009765625;0.0078125;0.2;0.109375;0.28125;0.2265625;0.234375;0.09765625;0.0859375;0.06640625;0.05859375;0.009765625;0.005859375;0.005859375;0.005859375;0.005859375;0.009765625;0.013671875;0.01171875;0.2
2;33.72;2;0.109375;0.296875;0.2265625;0.265625;0.1171875;0.08203125;0.05859375;0.046875;0.009765625;0.005859375;0.005859375;0.005859375;0.005859375;0.0078125;0.009765625;0.009765625;0.2;0.109375;0.296875;0.2265625;0.2265625;0.0859375;0.0625;0.0546875;0.046875;0.009765625;0.005859375;0.005859375;0.005859375;0.005859375;0.0078125;0.01171875;0.009765625;0.2
3;41.3;3;0.109375;0.34375;0.265625;0.3203125;0.13671875;0.078125;0.0546875;0.0546875;0.013671875;0.009765625;0.0078125;0.0078125;0.009765625;0.01171875;0.013671875;0.009765625;0.2;0.109375;0.34375;0.265625;0.2890625;0.11328125;0.0703125;0.046875;0.05078125;0.01171875;0.005859375;0.005859375;0.005859375;0.0078125;0.01171875;0.01171875;0.009765625;0.2
4;52.56;4;0.125;0.375;0.3125;0.390625;0.171875;0.10546875;0.0703125;0.06640625;0.015625;0.01171875;0.009765625;0.009765625;0.01171875;0.01171875;0.013671875;0.017578125;0.3;0.125;0.375;0.3046875;0.3828125;0.1484375;0.09375;0.06640625;0.06640625;0.013671875;0.01171875;0.009765625;0.009765625;0.009765625;0.01171875;0.013671875;0.017578125;0.3
5;49.04;5;0.125;0.40625;0.3359375;0.4296875;0.1953125;0.11328125;0.08203125;0.06640625;0.013671875;0.009765625;0.0078125;0.005859375;0.005859375;0.01171875;0.013671875;0.013671875;0.4;0.125;0.40625;0.3359375;0.3984375;0.1640625;0.09765625;0.0703125;0.06640625;0.01171875;0.009765625;0.0078125;0.005859375;0.005859375;0.009765625;0.013671875;0.013671875;0.3
6;57.43;6;0.125;0.40625;0.3515625;0.46875;0.2109375;0.125;0.0859375;0.07421875;0.017578125;0.01171875;0.01171875;0.009765625;0.01171875;0.01171875;0.015625;0.01953125;0.4;0.125;0.40625;0.3515625;0.4375;0.171875;0.1015625;0.07421875;0.078125;0.015625;0.01171875;0.009765625;0.009765625;0.009765625;0.01171875;0.015625;0.01953125;0.3
7;61.15;7;0.125;0.421875;0.3671875;0.5;0.234375;0.1328125;0.08984375;0.0859375;0.017578125;0.01171875;0.01171875;0.009765625;0.01171875;0.01171875;0.017578125;0.021484375;0.5;0.125;0.421875;0.3671875;0.4765625;0.19140625;0.11328125;0.07421875;0.07421875;0.015625;0.01171875;0.009765625;0.0078125;0.009765625;0.013671875;0.015625;0.017578125;0.3
8;65.28;8;0.125;0.421875;0.390625;0.546875;0.265625;0.15234375;0.09765625;0.08984375;0.017578125;0.01171875;0.009765625;0.0078125;0.009765625;0.01171875;0.015625;0.021484375;0.5;0.125;0.4375;0.3828125;0.5078125;0.22265625;0.1328125;0.08203125;0.078125;0.015625;0.009765625;0.005859375;0.005859375;0.0078125;0.01171875;0.015625;0.017578125;0.3
9;66.74;9;0.125;0.453125;0.4140625;0.5625;0.28125;0.15625;0.09375;0.09765625;0.01953125;0.01171875;0.009765625;0.0078125;0.009765625;0.01171875;0.015625;0.021484375;0.5;0.140625;0.453125;0.3984375;0.5234375;0.2265625;0.12890625;0.078125;0.0859375;0.017578125;0.01171875;0.0078125;0.005859375;0.009765625;0.01171875;0.015625;0.017578125;0.3
10;66.4;10;0.140625;0.46875;0.4375;0.5859375;0.296875;0.16796875;0.1015625;0.10546875;0.01953125;0.013671875;0.009765625;0.009765625;0.01171875;0.01171875;0.015625;0.021484375;0.5;0.140625;0.46875;0.4140625;0.546875;0.24609375;0.140625;0.078125;0.078125;0.01953125;0.01171875;0.009765625;0.0078125;0.009765625;0.01171875;0.015625;0.01953125;0.4
11;69.01;11;0.140625;0.46875;0.4453125;0.59375;0.3046875;0.18359375;0.109375;0.109375;0.021484375;0.01171875;0.009765625;0.009765625;0.009765625;0.01171875;0.015625;0.0234375;0.6;0.140625;0.46875;0.421875;0.546875;0.24609375;0.14453125;0.0859375;0.0859375;0.017578125;0.01171875;0.0078125;0.005859375;0.0078125;0.01171875;0.015625;0.017578125;0.4
12;69.59;12;0.140625;0.46875;0.453125;0.6171875;0.32421875;0.18359375;0.10546875;0.11328125;0.01953125;0.01171875;0.009765625;0.009765625;0.009765625;0.01171875;0.015625;0.021484375;0.5;0.140625;0.46875;0.421875;0.5625;0.2578125;0.15234375;0.0859375;0.0859375;0.017578125;0.01171875;0.0078125;0.005859375;0.0078125;0.01171875;0.013671875;0.015625;0.3
13;69.17;13;0.140625;0.46875;0.4609375;0.625;0.33203125;0.1953125;0.11328125;0.12109375;0.021484375;0.013671875;0.01171875;0.01171875;0.01171875;0.01171875;0.015625;0.021484375;0.6;0.140625;0.453125;0.421875;0.578125;0.26953125;0.15234375;0.08203125;0.078125;0.021484375;0.015625;0.01171875;0.009765625;0.01171875;0.013671875;0.015625;0.017578125;0.4
14;70.01;14;0.140625;0.46875;0.46875;0.640625;0.33984375;0.19921875;0.11328125;0.1171875;0.0234375;0.01171875;0.009765625;0.009765625;0.009765625;0.01171875;0.015625;0.021484375;0.5;0.15625;0.46875;0.4375;0.5859375;0.2734375;0.1484375;0.08203125;0.078125;0.021484375;0.013671875;0.009765625;0.009765625;0.01171875;0.01171875;0.015625;0.017578125;0.4
15;69.01;15;0.15625;0.484375;0.46875;0.640625;0.359375;0.203125;0.11328125;0.12890625;0.0234375;0.013671875;0.009765625;0.009765625;0.01171875;0.01171875;0.015625;0.021484375;0.6;0.15625;0.484375;0.4375;0.59375;0.2890625;0.171875;0.09765625;0.10546875;0.01953125;0.01171875;0.0078125;0.0078125;0.009765625;0.01171875;0.015625;0.017578125;0.4
16;72.76;16;0.15625;0.484375;0.484375;0.6484375;0.37109375;0.21484375;0.109375;0.125;0.025390625;0.013671875;0.01171875;0.01171875;0.013671875;0.013671875;0.015625;0.021484375;0.6;0.15625;0.46875;0.453125;0.6015625;0.29296875;0.16796875;0.0859375;0.0859375;0.0234375;0.013671875;0.009765625;0.009765625;0.01171875;0.013671875;0.015625;0.017578125;0.5
17;71.05;17;0.140625;0.46875;0.484375;0.65625;0.37890625;0.21875;0.1171875;0.1328125;0.025390625;0.01171875;0.009765625;0.009765625;0.01171875;0.013671875;0.015625;0.021484375;0.6;0.15625;0.46875;0.4609375;0.609375;0.30078125;0.17578125;0.08984375;0.08984375;0.025390625;0.013671875;0.01171875;0.01171875;0.01171875;0.013671875;0.015625;0.01953125;0.5
18;73.62;18;0.15625;0.484375;0.5;0.671875;0.39453125;0.23828125;0.1171875;0.1328125;0.025390625;0.01171875;0.009765625;0.009765625;0.01171875;0.013671875;0.015625;0.01953125;0.6;0.15625;0.484375;0.46875;0.6328125;0.3125;0.1875;0.09375;0.09765625;0.0234375;0.01171875;0.009765625;0.009765625;0.009765625;0.013671875;0.015625;0.017578125;0.4
19;75.12;19;0.15625;0.515625;0.515625;0.6796875;0.39453125;0.23828125;0.12109375;0.13671875;0.025390625;0.01171875;0.0078125;0.0078125;0.009765625;0.013671875;0.015625;0.021484375;0.6;0.15625;0.5;0.4765625;0.6328125;0.3125;0.1953125;0.09375;0.09375;0.021484375;0.01171875;0.0078125;0.0078125;0.009765625;0.01171875;0.015625;0.017578125;0.5
