;test_accuracy;Epoch;train-saturation_features-0;train-saturation_features-4;train-saturation_features-8;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-31;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_classifier;eval-saturation_features-0;eval-saturation_features-4;eval-saturation_features-8;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-31;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_classifier
0;42.51;0;0.140625;0.703125;0.765625;0.8203125;0.4609375;0.33203125;0.171875;0.09765625;0.01171875;0.015625;0.017578125;0.01953125;0.021484375;0.021484375;0.01953125;0.013671875;0.4;0.125;0.6875;0.6328125;0.6484375;0.1640625;0.12890625;0.0859375;0.06640625;0.0078125;0.009765625;0.009765625;0.009765625;0.01171875;0.01171875;0.009765625;0.009765625;0.3
1;50.39;1;0.140625;0.640625;0.7421875;0.7734375;0.41796875;0.24609375;0.109375;0.08984375;0.009765625;0.013671875;0.015625;0.015625;0.01953125;0.021484375;0.021484375;0.015625;0.5;0.140625;0.65625;0.6328125;0.6328125;0.1640625;0.1171875;0.08203125;0.0625;0.0078125;0.009765625;0.009765625;0.009765625;0.009765625;0.009765625;0.009765625;0.005859375;0.4
2;62.77;2;0.140625;0.640625;0.734375;0.7734375;0.43359375;0.2578125;0.109375;0.08984375;0.01171875;0.013671875;0.015625;0.015625;0.017578125;0.01953125;0.01953125;0.015625;0.5;0.140625;0.640625;0.625;0.6328125;0.171875;0.12109375;0.08984375;0.07421875;0.009765625;0.01171875;0.01171875;0.01171875;0.013671875;0.013671875;0.013671875;0.009765625;0.4
3;65.63;3;0.15625;0.65625;0.71875;0.765625;0.4296875;0.25390625;0.11328125;0.09375;0.01171875;0.013671875;0.015625;0.015625;0.017578125;0.01953125;0.01953125;0.015625;0.5;0.15625;0.65625;0.6015625;0.625;0.171875;0.1171875;0.0859375;0.06640625;0.0078125;0.009765625;0.01171875;0.01171875;0.01171875;0.013671875;0.013671875;0.01171875;0.4
4;65.31;4;0.140625;0.65625;0.7109375;0.7578125;0.4140625;0.21484375;0.109375;0.09375;0.01171875;0.013671875;0.015625;0.015625;0.015625;0.017578125;0.017578125;0.015625;0.5;0.15625;0.65625;0.59375;0.6171875;0.1640625;0.1171875;0.0859375;0.0703125;0.009765625;0.009765625;0.01171875;0.01171875;0.01171875;0.013671875;0.013671875;0.01171875;0.4
5;68.76;5;0.15625;0.65625;0.703125;0.7421875;0.40625;0.1953125;0.10546875;0.09375;0.01171875;0.013671875;0.015625;0.015625;0.015625;0.017578125;0.01953125;0.015625;0.5;0.15625;0.65625;0.5859375;0.625;0.16796875;0.1171875;0.09375;0.078125;0.009765625;0.01171875;0.01171875;0.013671875;0.013671875;0.013671875;0.013671875;0.013671875;0.5
6;70.61;6;0.15625;0.65625;0.6953125;0.75;0.41015625;0.1953125;0.11328125;0.1015625;0.01171875;0.013671875;0.015625;0.015625;0.015625;0.017578125;0.017578125;0.015625;0.6;0.15625;0.640625;0.5859375;0.625;0.16796875;0.1171875;0.0859375;0.0703125;0.009765625;0.009765625;0.009765625;0.01171875;0.01171875;0.013671875;0.013671875;0.01171875;0.4
7;72.81;7;0.15625;0.65625;0.6875;0.7578125;0.39453125;0.171875;0.109375;0.09765625;0.01171875;0.013671875;0.015625;0.015625;0.015625;0.017578125;0.017578125;0.015625;0.6;0.15625;0.65625;0.578125;0.625;0.1640625;0.109375;0.0859375;0.07421875;0.009765625;0.01171875;0.01171875;0.01171875;0.013671875;0.013671875;0.013671875;0.013671875;0.5
8;71.01;8;0.15625;0.65625;0.6796875;0.7421875;0.375;0.16015625;0.109375;0.09765625;0.01171875;0.013671875;0.013671875;0.015625;0.015625;0.017578125;0.01953125;0.015625;0.6;0.15625;0.65625;0.5703125;0.625;0.1640625;0.11328125;0.0859375;0.0703125;0.009765625;0.01171875;0.01171875;0.01171875;0.01171875;0.013671875;0.013671875;0.01171875;0.5
9;73.41;9;0.15625;0.6875;0.6953125;0.7578125;0.390625;0.171875;0.1171875;0.09765625;0.01171875;0.013671875;0.015625;0.015625;0.017578125;0.017578125;0.01953125;0.017578125;0.7;0.15625;0.671875;0.578125;0.6328125;0.1640625;0.11328125;0.08203125;0.06640625;0.009765625;0.009765625;0.01171875;0.01171875;0.01171875;0.01171875;0.013671875;0.01171875;0.5
