;test_accuracy;Epoch;train-saturation_features-0;train-saturation_features-4;train-saturation_features-8;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-31;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_classifier;eval-saturation_features-0;eval-saturation_features-4;eval-saturation_features-8;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-31;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_classifier
0;28.07;0;0.125;0.875;0.8671875;0.921875;0.625;0.6484375;0.6640625;0.66796875;0.119140625;0.123046875;0.125;0.125;0.125;0.126953125;0.126953125;0.126953125;0.8;0.125;0.859375;0.7578125;0.828125;0.20703125;0.21484375;0.21484375;0.21875;0.02734375;0.02734375;0.02734375;0.02734375;0.02734375;0.02734375;0.02734375;0.02734375;0.6
1;38.73;1;0.125;0.875;0.859375;0.921875;0.6171875;0.64453125;0.6640625;0.6640625;0.1171875;0.12109375;0.123046875;0.123046875;0.123046875;0.123046875;0.12109375;0.12109375;0.7;0.125;0.859375;0.7578125;0.828125;0.20703125;0.21484375;0.21484375;0.21875;0.02734375;0.02734375;0.02734375;0.02734375;0.02734375;0.02734375;0.02734375;0.02734375;0.6
2;45.68;2;0.125;0.859375;0.8515625;0.9140625;0.60546875;0.6328125;0.6484375;0.6484375;0.11328125;0.1171875;0.119140625;0.119140625;0.1171875;0.1171875;0.115234375;0.115234375;0.7;0.125;0.859375;0.7578125;0.8203125;0.2109375;0.21484375;0.21484375;0.21484375;0.02734375;0.02734375;0.02734375;0.02734375;0.02734375;0.025390625;0.025390625;0.025390625;0.5
3;50.94;3;0.109375;0.875;0.859375;0.921875;0.62109375;0.64453125;0.640625;0.62890625;0.107421875;0.111328125;0.111328125;0.111328125;0.109375;0.107421875;0.103515625;0.099609375;0.7;0.125;0.859375;0.765625;0.8203125;0.2109375;0.21484375;0.2109375;0.2109375;0.025390625;0.025390625;0.025390625;0.025390625;0.025390625;0.025390625;0.025390625;0.025390625;0.5
4;57.07;4;0.125;0.875;0.859375;0.9140625;0.625;0.625;0.60546875;0.5703125;0.095703125;0.1015625;0.099609375;0.095703125;0.091796875;0.087890625;0.08203125;0.076171875;0.7;0.125;0.875;0.765625;0.8125;0.2109375;0.2109375;0.203125;0.203125;0.0234375;0.025390625;0.025390625;0.025390625;0.0234375;0.0234375;0.0234375;0.0234375;0.5
5;61.7;5;0.125;0.890625;0.8671875;0.921875;0.61328125;0.609375;0.5703125;0.52734375;0.087890625;0.08984375;0.0859375;0.08203125;0.078125;0.07421875;0.0703125;0.06640625;0.7;0.125;0.875;0.765625;0.8125;0.20703125;0.2109375;0.20703125;0.203125;0.0234375;0.025390625;0.025390625;0.0234375;0.0234375;0.0234375;0.021484375;0.021484375;0.6
6;63.92;6;0.140625;0.890625;0.8671875;0.9140625;0.6171875;0.58984375;0.55078125;0.5;0.083984375;0.0859375;0.080078125;0.076171875;0.072265625;0.068359375;0.064453125;0.0625;0.7;0.125;0.875;0.7578125;0.8046875;0.2109375;0.20703125;0.19921875;0.1953125;0.0234375;0.0234375;0.0234375;0.0234375;0.0234375;0.021484375;0.021484375;0.021484375;0.6
7;66.6;7;0.125;0.890625;0.8671875;0.9140625;0.60546875;0.578125;0.52734375;0.46484375;0.076171875;0.076171875;0.072265625;0.068359375;0.064453125;0.060546875;0.05859375;0.05859375;0.7;0.125;0.875;0.7578125;0.796875;0.2109375;0.20703125;0.19921875;0.19140625;0.0234375;0.0234375;0.0234375;0.0234375;0.0234375;0.0234375;0.0234375;0.0234375;0.7
8;68.04;8;0.125;0.890625;0.859375;0.90625;0.60546875;0.57421875;0.5234375;0.453125;0.07421875;0.07421875;0.068359375;0.064453125;0.060546875;0.05859375;0.056640625;0.05859375;0.7;0.140625;0.875;0.7578125;0.796875;0.2109375;0.20703125;0.203125;0.19140625;0.0234375;0.0234375;0.021484375;0.021484375;0.021484375;0.021484375;0.021484375;0.021484375;0.6
9;70.14;9;0.140625;0.890625;0.859375;0.90625;0.60546875;0.5625;0.515625;0.44140625;0.0703125;0.068359375;0.064453125;0.060546875;0.05859375;0.05859375;0.056640625;0.056640625;0.7;0.140625;0.875;0.7578125;0.7890625;0.2109375;0.2109375;0.203125;0.19140625;0.0234375;0.0234375;0.021484375;0.021484375;0.0234375;0.0234375;0.0234375;0.0234375;0.6
10;69.78;10;0.140625;0.890625;0.8671875;0.8984375;0.6015625;0.5546875;0.49609375;0.40625;0.064453125;0.0625;0.05859375;0.0546875;0.052734375;0.052734375;0.052734375;0.052734375;0.7;0.140625;0.875;0.75;0.78125;0.2109375;0.20703125;0.19921875;0.1875;0.0234375;0.0234375;0.0234375;0.0234375;0.0234375;0.0234375;0.0234375;0.0234375;0.7
