;test_accuracy;Epoch;train-saturation_features-0;train-saturation_features-4;train-saturation_features-8;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-31;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_classifier;eval-saturation_features-0;eval-saturation_features-4;eval-saturation_features-8;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-31;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_classifier
0;55.11;0;0.140625;0.78125;0.84375;0.9296875;0.890625;0.9296875;0.9375;0.9375;0.67578125;0.70703125;0.701171875;0.6875;0.671875;0.65625;0.642578125;0.62890625;0.6;0.125;0.78125;0.8359375;0.921875;0.83203125;0.875;0.87890625;0.875;0.232421875;0.23828125;0.23828125;0.234375;0.232421875;0.228515625;0.224609375;0.22265625;0.5
1;63.33;1;0.125;0.78125;0.84375;0.9296875;0.88671875;0.921875;0.921875;0.9140625;0.634765625;0.66796875;0.65234375;0.630859375;0.607421875;0.578125;0.5546875;0.541015625;0.7;0.125;0.78125;0.84375;0.9296875;0.828125;0.85546875;0.8515625;0.83203125;0.228515625;0.236328125;0.234375;0.23046875;0.2265625;0.22265625;0.216796875;0.212890625;0.6
2;67.32;2;0.125;0.78125;0.84375;0.9296875;0.875;0.8984375;0.890625;0.87109375;0.607421875;0.640625;0.626953125;0.599609375;0.5703125;0.533203125;0.50390625;0.48828125;0.7;0.125;0.78125;0.84375;0.921875;0.8046875;0.82421875;0.8046875;0.7734375;0.22265625;0.232421875;0.23046875;0.22265625;0.216796875;0.205078125;0.1953125;0.189453125;0.6
3;73.79;3;0.140625;0.796875;0.84375;0.9140625;0.84765625;0.8671875;0.85546875;0.8359375;0.587890625;0.619140625;0.59765625;0.5625;0.521484375;0.47265625;0.43359375;0.416015625;0.7;0.125;0.78125;0.84375;0.90625;0.76953125;0.78125;0.765625;0.73828125;0.22265625;0.228515625;0.224609375;0.21875;0.208984375;0.1953125;0.185546875;0.181640625;0.6
4;76.39;4;0.125;0.78125;0.8359375;0.8984375;0.82421875;0.84375;0.8359375;0.81640625;0.5703125;0.595703125;0.572265625;0.53515625;0.490234375;0.4375;0.396484375;0.38671875;0.7;0.125;0.796875;0.828125;0.890625;0.7421875;0.75390625;0.73828125;0.703125;0.21875;0.22265625;0.216796875;0.20703125;0.1953125;0.1796875;0.169921875;0.16796875;0.7
5;79.69;5;0.140625;0.78125;0.828125;0.8828125;0.80859375;0.828125;0.81640625;0.80078125;0.564453125;0.587890625;0.552734375;0.5078125;0.45703125;0.3984375;0.35546875;0.34765625;0.8;0.125;0.796875;0.8203125;0.8671875;0.72265625;0.73828125;0.73046875;0.6953125;0.216796875;0.22265625;0.216796875;0.20703125;0.19140625;0.173828125;0.1640625;0.1640625;0.7
6;80.03;6;0.140625;0.796875;0.8203125;0.859375;0.7890625;0.80859375;0.80078125;0.78125;0.55078125;0.572265625;0.5390625;0.49609375;0.44140625;0.384765625;0.3359375;0.326171875;0.8;0.140625;0.796875;0.8046875;0.84375;0.703125;0.71875;0.703125;0.67578125;0.21484375;0.21875;0.2109375;0.197265625;0.1796875;0.162109375;0.150390625;0.1484375;0.6
7;82.86;7;0.125;0.796875;0.8046875;0.8515625;0.7734375;0.79296875;0.78515625;0.765625;0.5390625;0.552734375;0.515625;0.47265625;0.41796875;0.357421875;0.3125;0.3046875;0.8;0.140625;0.796875;0.7890625;0.828125;0.6875;0.70703125;0.69140625;0.6640625;0.21484375;0.21484375;0.205078125;0.19140625;0.171875;0.15234375;0.140625;0.138671875;0.6
8;83.43;8;0.140625;0.796875;0.7890625;0.8359375;0.76171875;0.78515625;0.7734375;0.75;0.525390625;0.53515625;0.49609375;0.443359375;0.380859375;0.314453125;0.26171875;0.25390625;0.8;0.140625;0.796875;0.78125;0.8203125;0.6796875;0.69921875;0.68359375;0.65625;0.21484375;0.21484375;0.203125;0.1875;0.169921875;0.15234375;0.140625;0.140625;0.7
9;83.62;9;0.140625;0.796875;0.78125;0.828125;0.75390625;0.7734375;0.76953125;0.74609375;0.537109375;0.55078125;0.513671875;0.466796875;0.412109375;0.345703125;0.2890625;0.27734375;0.8;0.140625;0.796875;0.7734375;0.8046875;0.66796875;0.6875;0.67578125;0.6484375;0.21484375;0.21484375;0.201171875;0.1875;0.169921875;0.15234375;0.138671875;0.13671875;0.6
10;84.18;10;0.140625;0.796875;0.7734375;0.8203125;0.73828125;0.765625;0.75390625;0.734375;0.513671875;0.513671875;0.47265625;0.423828125;0.369140625;0.3046875;0.251953125;0.240234375;0.8;0.140625;0.796875;0.7578125;0.7890625;0.66015625;0.67578125;0.6640625;0.6328125;0.2109375;0.205078125;0.19140625;0.173828125;0.15234375;0.130859375;0.12109375;0.1171875;0.6
11;85.13;11;0.140625;0.796875;0.765625;0.8125;0.73828125;0.76171875;0.75;0.7265625;0.51171875;0.5078125;0.458984375;0.40625;0.349609375;0.291015625;0.240234375;0.234375;0.8;0.140625;0.796875;0.75;0.78125;0.65234375;0.671875;0.66015625;0.6328125;0.2109375;0.205078125;0.19140625;0.173828125;0.154296875;0.1328125;0.125;0.119140625;0.6
12;84.93;12;0.140625;0.796875;0.7578125;0.8046875;0.73046875;0.7578125;0.75;0.7265625;0.5234375;0.515625;0.470703125;0.4140625;0.357421875;0.294921875;0.2421875;0.234375;0.8;0.140625;0.796875;0.7421875;0.7734375;0.6484375;0.6640625;0.65625;0.625;0.208984375;0.203125;0.1875;0.171875;0.15234375;0.134765625;0.123046875;0.1171875;0.6
13;85.86;13;0.140625;0.78125;0.75;0.796875;0.7265625;0.75;0.7421875;0.7109375;0.509765625;0.505859375;0.462890625;0.41015625;0.34765625;0.27734375;0.22265625;0.216796875;0.8;0.140625;0.796875;0.734375;0.7734375;0.640625;0.6640625;0.6484375;0.609375;0.208984375;0.201171875;0.1875;0.171875;0.15234375;0.130859375;0.12109375;0.115234375;0.6
14;86.42;14;0.140625;0.78125;0.7421875;0.796875;0.71875;0.74609375;0.734375;0.7109375;0.5078125;0.501953125;0.45703125;0.40234375;0.33984375;0.271484375;0.220703125;0.212890625;0.8;0.140625;0.796875;0.7265625;0.7734375;0.640625;0.66015625;0.6484375;0.61328125;0.208984375;0.205078125;0.1875;0.16796875;0.14453125;0.125;0.115234375;0.111328125;0.5
15;86.44;15;0.140625;0.78125;0.734375;0.796875;0.7109375;0.73828125;0.7265625;0.703125;0.498046875;0.478515625;0.431640625;0.376953125;0.322265625;0.26171875;0.208984375;0.201171875;0.8;0.140625;0.78125;0.71875;0.765625;0.6328125;0.65234375;0.640625;0.609375;0.20703125;0.201171875;0.1875;0.16796875;0.146484375;0.12890625;0.1171875;0.11328125;0.6
16;85.8;16;0.15625;0.78125;0.7265625;0.7890625;0.7109375;0.734375;0.72265625;0.69921875;0.5078125;0.486328125;0.435546875;0.373046875;0.30859375;0.2421875;0.19140625;0.185546875;0.8;0.15625;0.78125;0.7109375;0.765625;0.62890625;0.65234375;0.640625;0.60546875;0.20703125;0.197265625;0.1796875;0.16015625;0.140625;0.12109375;0.111328125;0.10546875;0.6
17;87.55;17;0.15625;0.765625;0.71875;0.7890625;0.70703125;0.734375;0.72265625;0.69140625;0.498046875;0.478515625;0.4296875;0.376953125;0.3203125;0.259765625;0.20703125;0.197265625;0.8;0.15625;0.78125;0.703125;0.765625;0.62890625;0.6484375;0.63671875;0.59765625;0.20703125;0.197265625;0.185546875;0.16796875;0.146484375;0.125;0.115234375;0.107421875;0.6
18;87.06;18;0.140625;0.765625;0.71875;0.7890625;0.70703125;0.73046875;0.71875;0.68359375;0.490234375;0.47265625;0.423828125;0.373046875;0.31640625;0.25;0.193359375;0.1875;0.8;0.15625;0.765625;0.703125;0.7578125;0.625;0.64453125;0.62890625;0.58984375;0.205078125;0.1953125;0.1796875;0.16015625;0.138671875;0.12109375;0.11328125;0.107421875;0.6
19;87.52;19;0.15625;0.765625;0.7109375;0.78125;0.703125;0.72265625;0.71484375;0.6796875;0.494140625;0.47265625;0.427734375;0.373046875;0.31640625;0.255859375;0.201171875;0.19140625;0.8;0.15625;0.78125;0.6953125;0.75;0.62109375;0.640625;0.62890625;0.59375;0.205078125;0.1953125;0.177734375;0.16015625;0.138671875;0.12109375;0.11328125;0.10546875;0.6
20;87.54;20;0.15625;0.765625;0.7109375;0.78125;0.69921875;0.7265625;0.71484375;0.6796875;0.4921875;0.478515625;0.427734375;0.37109375;0.30859375;0.244140625;0.19140625;0.185546875;0.8;0.15625;0.765625;0.6953125;0.75;0.6171875;0.640625;0.62890625;0.58984375;0.205078125;0.1953125;0.1796875;0.16015625;0.138671875;0.119140625;0.11328125;0.107421875;0.5
21;87.59;21;0.15625;0.765625;0.7109375;0.78125;0.6953125;0.71875;0.70703125;0.6640625;0.478515625;0.453125;0.408203125;0.359375;0.3046875;0.24609375;0.193359375;0.18359375;0.8;0.15625;0.765625;0.6953125;0.75;0.61328125;0.6328125;0.625;0.5859375;0.203125;0.19140625;0.17578125;0.158203125;0.13671875;0.119140625;0.111328125;0.10546875;0.6
22;88.02;22;0.15625;0.75;0.703125;0.78125;0.69140625;0.71484375;0.70703125;0.6640625;0.4765625;0.44921875;0.3984375;0.341796875;0.28515625;0.224609375;0.1796875;0.17578125;0.8;0.15625;0.765625;0.6875;0.75;0.61328125;0.63671875;0.625;0.58984375;0.205078125;0.193359375;0.17578125;0.158203125;0.1328125;0.1171875;0.109375;0.1015625;0.6
23;88.29;23;0.15625;0.75;0.703125;0.78125;0.69140625;0.71484375;0.70703125;0.66015625;0.47265625;0.4375;0.380859375;0.328125;0.279296875;0.220703125;0.17578125;0.173828125;0.8;0.15625;0.765625;0.6875;0.75;0.6171875;0.63671875;0.62890625;0.5859375;0.205078125;0.19140625;0.173828125;0.158203125;0.13671875;0.123046875;0.115234375;0.107421875;0.7
24;87.85;24;0.15625;0.75;0.703125;0.78125;0.69140625;0.71484375;0.69921875;0.65234375;0.482421875;0.451171875;0.396484375;0.33984375;0.279296875;0.21484375;0.171875;0.166015625;0.8;0.15625;0.765625;0.6875;0.75;0.61328125;0.6328125;0.625;0.5859375;0.205078125;0.189453125;0.171875;0.158203125;0.138671875;0.125;0.11328125;0.103515625;0.7
25;88.05;25;0.15625;0.75;0.703125;0.78125;0.69140625;0.71484375;0.69921875;0.64453125;0.47265625;0.4375;0.384765625;0.330078125;0.275390625;0.21875;0.17578125;0.16796875;0.8;0.15625;0.765625;0.6875;0.75;0.61328125;0.62890625;0.62109375;0.57421875;0.203125;0.185546875;0.166015625;0.150390625;0.1328125;0.119140625;0.111328125;0.1015625;0.6
26;88.72;26;0.15625;0.75;0.703125;0.78125;0.6875;0.7109375;0.6953125;0.64453125;0.4765625;0.435546875;0.37890625;0.322265625;0.26953125;0.208984375;0.16796875;0.162109375;0.8;0.15625;0.75;0.6796875;0.75;0.609375;0.62890625;0.6171875;0.57421875;0.203125;0.185546875;0.16796875;0.150390625;0.1328125;0.119140625;0.111328125;0.099609375;0.6
27;88.18;27;0.15625;0.75;0.6953125;0.78125;0.6875;0.7109375;0.6953125;0.64453125;0.474609375;0.439453125;0.384765625;0.33203125;0.283203125;0.228515625;0.1796875;0.173828125;0.8;0.15625;0.75;0.6796875;0.75;0.609375;0.62890625;0.6171875;0.57421875;0.203125;0.189453125;0.169921875;0.154296875;0.13671875;0.12109375;0.111328125;0.103515625;0.6
28;88.57;28;0.15625;0.75;0.6953125;0.78125;0.68359375;0.70703125;0.69140625;0.640625;0.466796875;0.431640625;0.375;0.32421875;0.271484375;0.216796875;0.173828125;0.162109375;0.8;0.15625;0.75;0.6796875;0.75;0.609375;0.625;0.6171875;0.57421875;0.203125;0.189453125;0.171875;0.15625;0.138671875;0.12109375;0.109375;0.1015625;0.6
29;88.74;29;0.15625;0.75;0.6953125;0.7734375;0.68359375;0.703125;0.69140625;0.6328125;0.46875;0.4296875;0.373046875;0.31640625;0.255859375;0.19921875;0.1640625;0.15625;0.8;0.15625;0.75;0.671875;0.7421875;0.60546875;0.625;0.61328125;0.56640625;0.19921875;0.18359375;0.166015625;0.1484375;0.12890625;0.115234375;0.107421875;0.09765625;0.6
30;89.58;30;0.15625;0.734375;0.6875;0.7734375;0.68359375;0.703125;0.6875;0.625;0.45703125;0.41015625;0.3515625;0.294921875;0.240234375;0.189453125;0.162109375;0.15625;0.8;0.15625;0.75;0.671875;0.75;0.609375;0.625;0.609375;0.5625;0.201171875;0.185546875;0.166015625;0.1484375;0.130859375;0.1171875;0.107421875;0.099609375;0.6
